pid,draft_year,was_drafted,actual_pick,bio_age_at_draft,bio_combine_height_in,bio_combine_weight_lb,bio_combine_wingspan_in,bio_combine_reach_in,bio_combine_vertical_standing_in,bio_combine_vertical_max_in,bio_combine_lane_agility_s,bio_combine_sprint_s,col_gp,col_mpg,col_pts36,col_reb36,col_ast36,col_stl36,col_blk36,col_usg_pct,col_ts_pct,col_efg_pct,col_ast_pct,col_tov_pct,col_orb_pct,col_drb_pct,col_stl_pct,col_blk_pct,col_fg3ar,col_ftar,col_ft_pct,col_fg3_pct,col_fg2_pct,col_minutes_total,cons_mock_consensus_rank,cons_mock_best_rank,cons_mock_n_sources,cons_bigboard_consensus_rank,hs_mcdonalds_aa,hs_jordan_brand,hs_hoop_summit,hs_rsci_rank,intl_gp,intl_minutes,intl_mpg,intl_pts36,intl_reb36,intl_ast36,intl_stl36,intl_blk36,intl_ts_pct,intl_ft_pct,intl_fg3_pct,intl_level,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_age,ctx_base_height,ctx_base_three_share,ctx_team_peer_usage,ctx_team_gap_usage,ctx_team_peer_ts,ctx_team_gap_ts,ctx_team_peer_ast_pct,ctx_team_gap_ast_pct,ctx_team_peer_orb,ctx_team_gap_orb,ctx_team_peer_drb,ctx_team_gap_drb,ctx_team_peer_stl_pct,ctx_team_gap_stl_pct,ctx_team_peer_blk_pct,ctx_team_gap_blk_pct,ctx_team_rotation_depth,ctx_team_creator_competition,ctx_team_guard_competition,ctx_growth_seasons,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume,ctx_growth_usage,ctx_growth_minutes_share,ctx_growth_ts,ctx_growth_ast_pct,ctx_growth_tov_pct,ctx_growth_stl_pct,ctx_growth_blk_pct,ctx_growth_fg3a,ctx_growth_ft_pct,ctx_growth_changed_team
P099a8d0c1c,2005,1,1.0,20.57,83.0,250.6,87.0,110.5,27.5,33.5,12.06,3.51,35.0,36.4,20.205494505494507,12.065934065934066,2.314285714285714,0.9593406593406594,1.83956043956044,27.6,65.7,63.0,17.5,11.5,10.0,20.8,1.8,6.0,0.0551876379690949,0.4589999999999999,0.692,0.36,0.636,1274.0,1.0,1.0,1.0,,0,0,0,,8.0,269.0,33.625,28.104089219330856,18.2007434944238,2.676579925650558,1.204460966542751,1.6059479553903346,65.4,0.7432432432432432,0.3846153846153846,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3470a61a00,2005,1,2.0,19.02,79.0,228.2,87.5,108.0,29.5,35.0,11.11,3.17,36.0,22.3,18.25829596412556,10.59013452914798,1.1623318385650223,1.7434977578475337,0.758744394618834,20.7,63.8,54.5,5.4,14.0,7.9,21.3,2.5,2.0,0.1781376518218623,0.66,0.847,0.432,0.522,802.8000000000001,2.0,2.0,1.0,,0,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5e4491e5c3,2005,1,4.0,20.14,71.75,178.0,76.25,93.0,32.0,38.0,11.09,3.22,32.0,34.0,16.147058823529413,4.764705882352941,7.009411764705883,2.52,0.0317647058823529,20.8,61.1,52.4,33.1,15.6,1.7,11.6,3.9,0.1,0.305993690851735,0.59,0.834,0.474,0.441,1088.0,4.0,4.0,1.0,,1,1,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc047806c80,2005,1,5.0,21.0,71.5,199.4,76.25,98.0,29.0,33.5,10.5,3.06,36.0,31.8,14.592452830188678,4.879245283018868,7.833962264150943,2.2641509433962264,0.350943396226415,20.0,59.6,56.1,34.7,23.7,2.0,11.8,3.3,0.9,0.4818181818181818,0.406,0.701,0.44,0.468,1144.8,5.0,5.0,1.0,,1,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf804162018,2005,1,6.0,18.56,78.0,229.6,83.0,106.0,28.0,30.5,11.39,3.39,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P572a4194e6,2005,1,7.0,20.84,81.0,236.6,84.25,109.0,26.0,31.0,10.86,3.3,31.0,26.6,18.37894736842105,11.219548872180448,1.7458646616541351,0.8796992481203008,2.4902255639097746,24.6,57.4,53.1,9.6,15.0,9.1,20.1,1.3,6.1,0.0393442622950819,0.462,0.688,,0.522,824.6,11.0,11.0,1.0,,1,0,0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcb4360a784,2005,1,9.0,21.79,78.5,255.4,87.5,109.0,28.0,31.0,11.94,3.45,32.0,36.4,22.371428571428577,9.642857142857142,1.3252747252747257,0.553846153846154,2.314285714285714,,67.7,59.8,8.1,15.2,10.3,16.6,0.9,6.8,0.1130653266331658,0.7809999999999999,0.797,0.4,0.598,1164.8,9.0,9.0,1.0,,0,0,0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5afd5b991d,2005,1,3.0,21.0,73.75,202.4,78.25,98.0,30.0,35.0,10.83,3.25,39.0,34.2,13.199999999999998,3.831578947368421,7.126315789473683,1.0210526315789472,0.2210526315789473,22.2,53.9,51.6,35.6,19.1,1.1,11.9,1.7,0.7,0.4549878345498783,0.2339999999999999,0.677,0.364,0.491,1333.8000000000002,3.0,3.0,1.0,,0,0,0,48.0,8.0,189.0,23.625,12.761904761904765,4.9523809523809526,7.238095238095238,0.7619047619047619,0.1904761904761904,47.1,0.8571428571428571,0.282051282051282,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pff47b96114,2005,1,10.0,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,23.0,1.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2f15d5867f,2005,1,12.0,18.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,,0,0,0,,8.0,265.0,33.125,17.660377358490567,8.150943396226415,2.581132075471698,2.309433962264151,0.2716981132075471,61.1,0.7714285714285715,0.3877551020408163,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
