source,name,gain,fold_wins,passed,delta
r7/PANEL5mcombo_runs.json,subspace + cons_unc .5,-0.0037,3,False,"{""cons_unc"": 0.5, ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,subspace + mono_prod,0.0022,4,False,"{""mono_prod"": 1, ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,subspace + pathsplit,0.0048,3,False,"{""pathsplit"": 1, ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,cons_unc .5 + mono_prod,0.0001,3,False,"{""cons_unc"": 0.5, ""mono_prod"": 1}"
r7/PANEL5mcombo_runs.json,subspace + cons_unc + mono_prod,-0.0057,2,False,"{""cons_unc"": 0.5, ""mono_prod"": 1, ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,subspace + market,0.0032,3,False,"{""fx"": ""shoot+prod+market"", ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,pathsplit + market,0.0058,4,True,"{""fx"": ""shoot+prod+market"", ""pathsplit"": 1}"
r7/PANEL5mcombo_runs.json,four near-misses,-0.0046,2,False,"{""cons_unc"": 0.5, ""mono_prod"": 1, ""pathsplit"": 1, ""subspace"": 1}"
r7/PANEL5mcombo_runs.json,icl_n 64,0.002,4,False,"{""icl_n"": 64}"
r7/PANEL5mdata2_runs.json,google trends gt,-0.0011,5,False,"{""gt"": 1}"
r7/PANEL5mdata2_runs.json,rsci recruiting,-0.0051,2,False,"{""rsci"": 1}"
r7/PANEL5mdata2_runs.json,gt + rsci,0.0013,4,False,"{""gt"": 1, ""rsci"": 1}"
r7/PANEL5mdata2_runs.json,window 2000,-0.0267,2,False,"{""win"": 2000}"
r7/PANEL5mdata2_runs.json,window 2003,-0.0236,2,False,"{""win"": 2003}"
r7/PANEL5mdata2_runs.json,window 2000 + gt,-0.0245,2,False,"{""gt"": 1, ""win"": 2000}"
r7/PANEL5mdata2_runs.json,window 2000 + rsci,-0.0279,2,False,"{""rsci"": 1, ""win"": 2000}"
