pid,draft_year,ordinal,season_end,war
P58604dcdcf,2017,1,2018,0.102048089
P16f60c6002,2016,1,2017,0.003804261
P267f5baf8e,2008,1,2009,-0.093271736
P8955b1a9c4,2000,1,2001,-0.037943014
P8955b1a9c4,2000,2,2002,0.531772753
P8955b1a9c4,2000,3,2003,-0.602875998
P8955b1a9c4,2000,4,2004,-0.116524156
P8955b1a9c4,2000,5,2005,0.013651938
P099a8d0c1c,2005,1,2006,4.796840181
P099a8d0c1c,2005,2,2007,1.464955386
P099a8d0c1c,2005,3,2008,2.333524877
P099a8d0c1c,2005,4,2009,2.438516624
P099a8d0c1c,2005,5,2010,7.190148912
P3470a61a00,2005,1,2006,0.479315598
P3470a61a00,2005,2,2007,-1.138096455
P3470a61a00,2005,3,2008,0.835857332
P3470a61a00,2005,4,2009,3.300815154
P3470a61a00,2005,5,2010,4.010809304
P5e4491e5c3,2005,1,2006,13.922928
P5e4491e5c3,2005,2,2007,9.270990058
P5e4491e5c3,2005,3,2008,22.77211369
P5e4491e5c3,2005,4,2009,23.82479393
P5e4491e5c3,2005,5,2010,7.272652543
Pc047806c80,2005,1,2006,3.794402971
Pc047806c80,2005,2,2007,3.820379166
Pc047806c80,2005,3,2008,3.503510706
Pc047806c80,2005,4,2009,5.62322924
Pc047806c80,2005,5,2010,7.094980554
Pf804162018,2005,1,2006,-0.625638294
Pf804162018,2005,2,2007,0.350380817
Pf804162018,2005,3,2008,1.687724224
Pf804162018,2005,4,2009,-0.013097588
Pf804162018,2005,5,2010,3.612101779
P572a4194e6,2005,1,2006,3.015465836
P572a4194e6,2005,2,2007,0.870156695
P572a4194e6,2005,3,2008,-1.920467431
P572a4194e6,2005,4,2009,3.110457196
P572a4194e6,2005,5,2010,-0.237331472
Pcb4360a784,2005,1,2006,-0.608247919
Pcb4360a784,2005,2,2007,-0.497841843
Pcb4360a784,2005,3,2008,-0.150482539
Pcb4360a784,2005,4,2009,0.060115715
Pcb4360a784,2005,5,2011,-0.20220653
P5afd5b991d,2005,1,2006,1.109658936
P5afd5b991d,2005,2,2007,10.57487926
P5afd5b991d,2005,3,2008,13.40467184
P5afd5b991d,2005,4,2009,8.862529687
P5afd5b991d,2005,5,2010,13.81375381
Pff47b96114,2005,1,2006,-0.701041165
Pff47b96114,2005,2,2007,0.632821945
Pff47b96114,2005,3,2008,3.082933516
Pff47b96114,2005,4,2009,3.242743422
Pff47b96114,2005,5,2010,4.705396187
P2f15d5867f,2005,1,2006,-0.09166673
P2f15d5867f,2005,2,2007,0.004417912
P8a3b7b6860,2005,1,2006,-0.005371485
P8a3b7b6860,2005,2,2007,1.02832272
P8a3b7b6860,2005,3,2009,-0.821110684
P8a3b7b6860,2005,4,2010,-0.081272567
P9f246cdbe1,2005,1,2006,0.466177339
P9f246cdbe1,2005,2,2007,-0.005230781
P9f246cdbe1,2005,3,2008,3.103314427
P9f246cdbe1,2005,4,2009,0.354056426
Pf4d4553b6f,2005,1,2006,-0.87932538
Pf4d4553b6f,2005,2,2007,-0.614206406
Pf4d4553b6f,2005,3,2008,-0.337695422
Pf4d4553b6f,2005,4,2009,0.103205917
Pf4d4553b6f,2005,5,2010,0.197508172
Pc295aab61a,2005,1,2006,-1.346562843
Pc295aab61a,2005,2,2007,0.55287083
Pc295aab61a,2005,3,2008,-0.38136797
Pc295aab61a,2005,4,2009,0.104674858
Pc295aab61a,2005,5,2010,-0.070797593
P81f3558def,2005,1,2006,0.211564568
P81f3558def,2005,2,2007,-1.127759908
P81f3558def,2005,3,2008,-0.428875018
P81f3558def,2005,4,2009,-0.573086355
P81f3558def,2005,5,2012,0.794716346
P959d20dcac,2005,1,2006,-0.086618631
P959d20dcac,2005,2,2007,0.096966019
P9cbbbfe0cc,2005,1,2006,1.803449826
P9cbbbfe0cc,2005,2,2007,2.371465282
P9cbbbfe0cc,2005,3,2008,2.787170854
P9cbbbfe0cc,2005,4,2009,5.888584871
P9cbbbfe0cc,2005,5,2010,1.772095993
Pa4dad52ff4,2005,1,2006,-0.828290098
Pa4dad52ff4,2005,2,2007,3.543558401
Pa4dad52ff4,2005,3,2008,1.620398977
Pa4dad52ff4,2005,4,2009,3.641397127
Pa4dad52ff4,2005,5,2010,3.374223116
P311b5f6b41,2005,1,2006,0.805988136
P311b5f6b41,2005,2,2007,2.129635944
P311b5f6b41,2005,3,2008,3.470033497
P311b5f6b41,2005,4,2009,1.531031554
P311b5f6b41,2005,5,2010,0.576195716
P6f59c256f3,2005,1,2006,4.912787323
P6f59c256f3,2005,2,2007,3.049897776
P6f59c256f3,2005,3,2008,2.72470287
P6f59c256f3,2005,4,2009,-0.265387779
P6f59c256f3,2005,5,2010,0.102785912
P5ea12f1777,2005,1,2006,-1.954592772
P5ea12f1777,2005,2,2007,-2.161787557
P5ea12f1777,2005,3,2008,-1.500340639
P5ea12f1777,2005,4,2009,-1.296977205
P5ea12f1777,2005,5,2010,-0.294444807
P17786d3599,2005,1,2006,-0.493775313
P17786d3599,2005,2,2007,0.813662522
P17786d3599,2005,3,2008,3.543685942
P17786d3599,2005,4,2009,0.393168769
P17786d3599,2005,5,2010,-0.238150032
Pd11ab06c36,2005,1,2006,-0.044446368
Pd11ab06c36,2005,2,2007,0.628704132
Pd11ab06c36,2005,3,2008,2.628286985
Pd11ab06c36,2005,4,2009,1.166794916
Pd11ab06c36,2005,5,2011,-0.272272082
P3e3a854ff5,2005,1,2008,0.056587223
P3e3a854ff5,2005,2,2010,0.108660642
P3e3a854ff5,2005,3,2011,0.53520368
P3e3a854ff5,2005,4,2012,2.095449519
P3e3a854ff5,2005,5,2013,-0.719923631
P8c537f5a4d,2005,1,2006,-0.111138465
P8c537f5a4d,2005,2,2007,-0.106841583
P13a7a5112c,2005,1,2006,-0.583423083
P13a7a5112c,2005,2,2007,-0.454333826
P13a7a5112c,2005,3,2008,-0.283054436
Pdb057d444b,2005,1,2006,-0.111938886
Pdb057d444b,2005,2,2007,0.386788681
P690d8b352a,2005,1,2006,-0.42611339
P690d8b352a,2005,2,2007,-0.276825327
P690d8b352a,2005,3,2008,-0.191883008
P690d8b352a,2005,4,2009,0.640742808
P690d8b352a,2005,5,2010,0.452015566
P19de9513b3,2005,1,2006,0.1949704
P19de9513b3,2005,2,2007,-0.666064723
P19de9513b3,2005,3,2008,1.562243888
P19de9513b3,2005,4,2009,1.262085441
P19de9513b3,2005,5,2010,2.291811454
Pc6a39f466a,2005,1,2007,-0.318833557
Pc6a39f466a,2005,2,2010,5.130162739
Pc6a39f466a,2005,3,2011,2.744187123
Pc6a39f466a,2005,4,2012,3.969315968
Pc6a39f466a,2005,5,2013,4.677847876
Pd382320a3c,2005,1,2006,-0.129693081
Pd382320a3c,2005,2,2007,0.822491968
Pd382320a3c,2005,3,2008,1.110557012
Pd382320a3c,2005,4,2009,1.995883715
Pd382320a3c,2005,5,2010,0.652089044
Peb2d46202e,2005,1,2006,0.208285838
Peb2d46202e,2005,2,2007,0.296151577
Peb2d46202e,2005,3,2008,0.697757245
Peb2d46202e,2005,4,2009,1.035418587
Peb2d46202e,2005,5,2010,0.024245461
P83f985b4bd,2005,1,2006,-0.111226799
P83f985b4bd,2005,2,2007,-0.00535093
P83f985b4bd,2005,3,2008,-0.440084761
P83f985b4bd,2005,4,2009,2.021727114
P83f985b4bd,2005,5,2011,0.659396494
Pce1d0d3699,2005,1,2009,-0.255698721
Pce1d0d3699,2005,2,2010,0.048065287
P01bc9a886e,2005,1,2006,0.14729267
P6b0e9b0b2a,2005,1,2007,-0.111175538
P11475d8eed,2005,1,2006,0.03124279
P43e7adb565,2005,1,2006,0.02560425
P43e7adb565,2005,2,2007,0.361518391
Pdacd6ab94d,2005,1,2007,0.197653714
Pdacd6ab94d,2005,2,2008,0.102876272
Pdacd6ab94d,2005,3,2013,0.619423877
P63a21fbef6,2005,1,2006,-0.148867418
P63a21fbef6,2005,2,2007,-0.500242227
P63a21fbef6,2005,3,2008,-0.376590195
P63a21fbef6,2005,4,2009,0.600825981
P63a21fbef6,2005,5,2010,2.177457919
P74b71b0d31,2005,1,2006,1.178089287
P74b71b0d31,2005,2,2007,-1.524259356
P74b71b0d31,2005,3,2008,3.931368476
P74b71b0d31,2005,4,2009,0.996982529
P74b71b0d31,2005,5,2010,2.66630359
P83f12f36b1,2005,1,2006,-0.240361483
P1378011126,2005,1,2006,-0.20572994
P1378011126,2005,2,2007,-0.154081607
P1378011126,2005,3,2008,-0.18863597
P1378011126,2005,4,2011,0.032273572
P2b78092e41,2005,1,2006,0.12755111
P2b78092e41,2005,2,2007,0.004810916
Pbb4d6101de,2005,1,2006,0.20763493
Pbb4d6101de,2005,2,2007,1.052282648
P1dfb3826fd,2005,1,2006,0.068828995
P1dfb3826fd,2005,2,2007,0.298696202
P1dfb3826fd,2005,3,2008,2.571373011
P1dfb3826fd,2005,4,2009,2.081221431
P1dfb3826fd,2005,5,2010,3.842883046
P38dadf836a,2005,1,2008,0.020853137
P38dadf836a,2005,2,2009,1.908575709
P38dadf836a,2005,3,2010,1.341379747
P38dadf836a,2005,4,2011,2.515926524
P38dadf836a,2005,5,2012,4.266459942
Pb5af3844f5,2005,1,2006,-0.126642275
Pb5af3844f5,2005,2,2009,-0.026169839
P0820723beb,2005,1,2007,-0.093788132
P927dcf71a8,2005,1,2006,-0.176978406
P927dcf71a8,2005,2,2007,2.698900883
P927dcf71a8,2005,3,2008,3.084748418
P927dcf71a8,2005,4,2009,0.054043565
P927dcf71a8,2005,5,2010,0.001764134
Pf4d757d073,2005,1,2006,-0.036883959
P5840594df8,2005,1,2006,0.337962389
P5840594df8,2005,2,2007,4.07532973
P5840594df8,2005,3,2008,8.509366806
P5840594df8,2005,4,2009,5.988452284
P5840594df8,2005,5,2010,3.399754962
P5b1d935a26,2005,1,2006,0.195905764
P5b1d935a26,2005,2,2007,-0.348947663
Pc067530e3e,2005,1,2006,0.392290602
Pc067530e3e,2005,2,2007,0.239715798
Pc067530e3e,2005,3,2008,0.038775663
