pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
P05848850fc,2011,34.0,84.0,30.7,43.1,48.63,3.3,9.9,28.1,21.8,156.0,218.0,0.716,155.0,362.0,0.428,40.0,137.0,0.292,1.7,2.3,43.7,3.3,1.09089739,84.0,148.0,67.0,205.0,10.0,11.0,33.5882,0.9706,3.3235,4.2353,1.2941,0.6176,17.2353,0.2745490981963928,0.9302325581395348,1.2324561403508771,-0.1465899999999997,3.8585753585486144
P07a1fb349e,2011,33.0,82.9,27.0,49.3,55.19,2.3,9.8,16.6,15.6,156.0,199.0,0.784,148.0,312.0,0.474,46.0,128.0,0.359,0.2,1.2,45.2,1.9,0.96154174,71.0,109.0,77.0,203.0,4.0,5.0,33.3939,0.6667,2.8788,2.2727,0.6667,0.0606,17.8788,0.2909090909090909,0.4827586206896551,1.0,0.3632999999999998,4.153880815373661
P0c700e1af1,2011,32.0,87.0,25.7,61.0,60.98,19.9,30.9,7.3,18.2,136.0,235.0,0.579,208.0,341.0,0.61,0.0,0.0,0.0,8.1,3.4,68.9,3.6,0.38822381,163.0,231.0,45.0,110.0,70.0,74.0,35.2188,5.75,8.625,1.0312,1.9062,2.1875,17.25,0.0,2.5,0.3802083333333333,0.6258599999999997,3.163558615109828
P109788f4ba,2011,30.0,67.6,24.1,50.9,52.52,3.7,9.6,15.2,14.7,54.0,82.0,0.659,159.0,325.0,0.489,29.0,73.0,0.397,0.7,2.0,20.6,1.6,1.15517506,58.0,93.0,101.0,232.0,7.0,7.0,30.8667,1.0333,2.6667,2.2333,1.1,0.2333,15.3,0.1834170854271356,1.0384615384615383,0.9681528662420382,0.1033200000000001,2.9120159605379583
P13a0e44cab,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P148aecdd52,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16bad3a52e,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22add316a5,2011,34.0,79.6,27.7,46.3,50.78,11.4,25.9,16.4,15.1,110.0,145.0,0.759,175.0,371.0,0.472,23.0,81.0,0.284,1.9,2.8,32.1,3.1,1.15998007,78.0,98.0,97.0,272.0,19.0,19.0,33.0,3.1765,7.5294,2.5588,1.4706,0.5882,15.5588,0.1792035398230088,1.146341463414634,1.0186335403726707,0.06006,3.782557425876627
P2606a3d161,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P268ca85d2e,2011,38.0,70.6,25.9,60.1,62.51,11.5,19.0,11.4,13.7,148.0,215.0,0.688,214.0,345.0,0.62,26.0,76.0,0.342,2.4,1.7,51.1,3.6,0.92536297,114.0,147.0,100.0,198.0,31.0,33.0,28.3158,2.6053,5.0263,1.6316,0.8421,0.6316,17.2105,0.180522565320665,0.8913043478260869,0.7755102040816327,0.7380899999999997,3.6981915444867055
P2c06075e55,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2d49f5a403,2011,38.0,60.7,25.2,62.7,64.16,13.9,24.7,11.0,19.0,103.0,153.0,0.673,170.0,272.0,0.625,25.0,59.0,0.424,4.9,1.9,46.2,4.7,0.67947974,128.0,168.0,42.0,104.0,47.0,50.0,24.3684,2.7105,5.6053,1.3947,0.7895,1.1316,13.6316,0.1782477341389728,1.192982456140351,0.55,0.7363199999999998,3.389869101424373
P2e873db9ac,2011,33.0,83.9,21.7,48.3,51.93,5.3,17.8,16.8,23.6,78.0,106.0,0.736,89.0,203.0,0.438,55.0,152.0,0.362,5.6,1.5,29.9,1.8,0.930007,57.0,98.0,32.0,105.0,17.0,20.0,34.9697,1.5152,5.697,2.8182,0.8788,2.0606,12.7576,0.428169014084507,2.5357142857142856,0.6829268292682926,0.0328099999999999,3.4392020221639625
P2e890c30d2,2011,41.0,92.4,31.5,47.8,54.3,3.9,11.5,28.0,11.8,258.0,315.0,0.819,241.0,512.0,0.471,75.0,227.0,0.33,0.5,3.1,42.6,1.5,1.9784861,115.0,196.0,126.0,316.0,3.0,3.0,37.6341,1.2927,4.1463,4.4878,1.878,0.1707,23.5366,0.3071718538565629,1.44,2.1875,0.4944999999999996,4.713952872927681
P31bc34ca23,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P355f728583,2011,32.0,92.4,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179.0,217.0,0.825,176.0,317.0,0.555,63.0,152.0,0.414,1.8,2.7,46.3,2.1,2.11262838,93.0,139.0,83.0,178.0,0.0,0.0,37.4062,0.5,2.7188,4.6875,1.6562,0.625,22.5,0.32409381663113,1.4516129032258065,2.268115942028986,1.12491,4.442208426800998
P36b818b767,2011,33.0,78.7,24.8,51.0,56.05,12.2,13.6,20.6,16.7,109.0,136.0,0.801,164.0,317.0,0.517,13.0,43.0,0.302,2.0,2.3,37.8,2.4,1.36620961,119.0,173.0,45.0,144.0,43.0,47.0,32.1818,3.2121,3.9697,2.9394,1.2121,0.6061,14.4242,0.1194444444444444,1.2647058823529411,1.163841807909605,0.2903999999999999,3.940904721588328
P39e62f008f,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ce7981258,2011,35.0,79.1,27.2,51.7,56.25,2.5,9.5,32.7,19.0,151.0,210.0,0.719,128.0,250.0,0.512,60.0,172.0,0.349,0.2,2.3,49.8,2.7,2.0480918,85.0,126.0,43.0,124.0,1.0,3.0,31.8571,0.7429,2.7714,6.0857,1.3429,0.0571,16.7714,0.4075829383886256,0.6756756756756757,1.6350000000000002,0.4499999999999999,3.847985997969291
P3d4bf642e0,2011,25.0,69.0,33.5,51.2,58.78,2.9,13.1,15.4,21.5,165.0,195.0,0.846,121.0,254.0,0.476,46.0,117.0,0.393,0.9,2.2,52.6,3.4,0.46534654,42.0,70.0,79.0,184.0,6.0,6.0,32.28,0.84,3.76,1.88,1.2,0.28,21.8,0.3153638814016172,0.7045454545454545,0.6844444444444444,1.1853000000000002,4.465285001709017
P3e5e9d6579,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ef4d7a55a,2011,36.0,89.4,36.6,53.1,59.2,2.0,8.5,28.6,15.3,250.0,280.0,0.893,221.0,450.0,0.491,121.0,308.0,0.393,0.1,2.1,36.9,1.5,1.19232373,109.0,151.0,112.0,299.0,2.0,3.0,36.1389,0.6389,2.8611,4.3056,1.3333,0.0278,29.3056,0.4063324538258575,0.8800000000000001,1.7546012269938651,1.5272000000000006,5.035050719715035
P43d78a0411,2011,37.0,79.4,27.9,49.0,53.25,2.7,14.3,25.1,16.9,120.0,156.0,0.769,107.0,237.0,0.451,85.0,242.0,0.351,0.3,1.4,32.6,2.2,1.41756451,59.0,95.0,48.0,142.0,2.0,2.0,32.1892,0.7297,3.7568,3.4865,0.7297,0.0811,15.9189,0.5052192066805845,0.53125,1.4022346368715086,0.25675,3.888253024312849
P47e2698d94,2011,31.0,79.4,28.7,45.4,51.72,5.8,16.4,25.7,14.6,141.0,175.0,0.806,135.0,285.0,0.474,42.0,151.0,0.278,0.7,5.0,40.1,3.5,1.5000001,79.0,114.0,56.0,171.0,19.0,25.0,32.0,1.7419,4.1935,3.4839,2.7419,0.1935,17.3226,0.3463302752293578,1.2666666666666666,1.6474358974358974,0.1496399999999998,4.16741010000075
P495da5b1cd,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4a7a8900d7,2011,38.0,89.4,26.7,50.8,55.28,2.2,10.2,23.4,19.8,136.0,171.0,0.795,130.0,282.0,0.461,87.0,231.0,0.377,0.6,1.1,33.3,2.4,1.32499436,65.0,117.0,65.0,165.0,5.0,6.0,35.8684,0.6579,3.3684,4.1842,0.6579,0.2105,17.2895,0.4502923976608187,0.5000000000000001,1.125,0.3537600000000001,4.092258109066695
P4d8e3ba87c,2011,36.0,80.4,16.8,50.3,52.57,2.2,9.5,17.3,16.1,51.0,73.0,0.699,84.0,196.0,0.429,52.0,126.0,0.413,0.9,1.9,22.7,2.2,2.01853339,35.0,73.0,49.0,123.0,1.0,1.0,32.3889,0.6389,2.9167,3.0278,1.0278,0.3056,10.4167,0.391304347826087,0.8749999999999999,1.0116959064327484,-0.0822399999999999,3.0085415001497147
P4e1bce542d,2011,32.0,70.9,24.1,60.9,61.08,10.5,25.0,16.9,22.3,85.0,145.0,0.586,148.0,243.0,0.609,0.0,0.0,0.0,7.8,1.1,59.7,3.5,0.96247997,97.0,149.0,45.0,81.0,33.0,37.0,28.5938,2.3125,5.7812,2.4062,0.5312,1.9688,11.9062,0.0,1.977777777777778,0.7253218884120171,0.4542800000000001,2.920393480321085
P4ec69893f6,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4f47ca7b5d,2011,37.0,59.7,24.3,59.3,57.77,10.9,15.0,7.7,17.7,46.0,102.0,0.451,191.0,322.0,0.593,0.0,0.0,0.0,3.1,0.9,31.7,4.0,0.47618489,128.0,168.0,63.0,154.0,32.0,35.0,24.4595,2.2162,3.1622,0.8108,0.3514,0.7027,11.5676,0.0,0.8,0.411764705882353,0.3341100000000001,2.090262773691566
P4f54eef176,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50969329ac,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
