pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
P163aa00374,2012,40.0,80.1,19.1,62.8,65.41,11.6,23.9,7.5,10.0,144.0,203.0,0.709,207.0,317.0,0.653,3.0,20.0,0.15,13.7,2.5,60.2,2.4,1.21951222,152.0,174.0,55.0,143.0,96.0,98.0,32.025,2.975,7.4,1.25,1.35,4.65,14.175,0.059347181008902,4.764705882352941,0.6818181818181818,-0.1386899999999997,3.770547075635549
P272afc1b90,2012,40.0,77.8,21.3,51.1,57.05,10.3,16.1,10.8,19.6,143.0,192.0,0.745,147.0,275.0,0.535,13.0,51.0,0.255,2.8,1.9,58.9,3.1,0.86206898,100.0,143.0,47.0,132.0,34.0,36.0,31.125,2.575,4.85,1.875,0.975,0.925,11.9,0.156441717791411,1.146341463414634,0.5242718446601942,0.09165,3.92070419073414
Pa260a40e68,2012,37.0,84.7,22.4,52.5,57.45,4.8,18.1,12.7,17.0,133.0,173.0,0.769,112.0,207.0,0.541,63.0,186.0,0.339,2.6,2.5,44.0,2.4,1.05063003,89.0,137.0,23.0,70.0,18.0,20.0,34.2432,1.3514,5.3784,2.2432,1.3784,0.8378,14.7568,0.4732824427480916,1.5,0.7055555555555555,0.1787999999999999,3.967313525095973
P43f8251240,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf849910cdc,2012,39.0,79.2,29.4,51.2,54.87,11.1,30.7,13.1,16.8,163.0,239.0,0.682,254.0,503.0,0.505,7.0,14.0,0.5,2.9,2.0,46.2,3.5,0.69231637,169.0,262.0,80.0,229.0,70.0,83.0,31.7949,2.8974,8.9744,1.8462,1.0769,0.8718,17.7436,0.0270793036750483,1.088888888888889,0.7359550561797752,0.4577799999999997,3.737795745719238
Pf9e0178b31,2012,30.0,87.2,32.3,54.5,62.11,1.9,14.1,28.0,12.0,215.0,243.0,0.885,129.0,256.0,0.504,86.0,217.0,0.396,0.7,2.5,51.4,2.3,1.78260869,98.0,169.0,31.0,87.0,13.0,17.0,35.3,0.5333,4.2667,4.1,1.5,0.2333,24.3667,0.4587737843551797,0.9696969696969698,2.1538461538461537,1.4895299999999994,4.864993879384484
Pc3d030ae81,2012,35.0,77.2,23.3,53.4,55.77,4.7,17.6,9.2,15.5,72.0,94.0,0.766,143.0,276.0,0.518,72.0,194.0,0.371,3.0,2.3,20.0,3.6,0.69999999,60.0,87.0,83.0,189.0,22.0,28.0,31.0857,1.3714,5.0571,1.4,1.2571,0.9429,16.4,0.4127659574468085,1.1521739130434785,0.5575757575757575,0.1904100000000001,3.4882696989660142
P4e4e438f6e,2012,34.0,70.3,20.8,53.8,50.93,14.2,15.5,3.4,16.0,26.0,88.0,0.295,157.0,290.0,0.541,0.0,2.0,0.0,9.9,1.8,30.1,3.1,0.28847914,130.0,185.0,27.0,105.0,80.0,89.0,28.4412,3.3529,4.2059,0.4412,0.8235,2.7059,10.0,0.0068493150684931,2.853658536585366,0.1999999999999999,0.00744,1.324147729070981
Pb5ebcb5d6c,2012,38.0,72.9,26.0,48.7,52.8,6.9,11.0,7.2,14.0,141.0,195.0,0.723,180.0,384.0,0.469,49.0,137.0,0.358,1.1,2.0,37.4,2.4,0.58108249,66.0,90.0,113.0,293.0,34.0,34.0,29.2368,1.9474,3.2632,1.1316,1.0789,0.3421,17.0526,0.2629558541266795,0.911764705882353,0.48,0.1679999999999998,3.816076898623664
P3f927eeca6,2012,32.0,78.6,22.0,58.6,61.77,9.1,23.5,9.9,18.7,93.0,127.0,0.732,169.0,280.0,0.604,1.0,11.0,0.091,6.9,0.9,43.6,3.7,0.63237645,109.0,144.0,60.0,136.0,51.0,56.0,31.8125,2.2812,5.9062,1.3438,0.4688,1.875,13.5625,0.0378006872852233,1.6595744680851066,0.5025380710659899,0.2354,3.5516861531891597
P4d2e34ba12,2012,34.0,92.1,22.2,55.6,58.95,3.0,11.1,10.1,15.0,98.0,121.0,0.81,146.0,243.0,0.601,71.0,211.0,0.336,1.7,2.1,26.7,1.8,0.85294998,67.0,85.0,79.0,158.0,23.0,24.0,37.2353,0.9412,3.9412,1.7059,1.2353,0.6176,17.7353,0.4647577092511013,1.3571428571428572,0.63125,0.1969,3.8912570462339384
Pca1e2194fa,2012,36.0,77.9,17.1,52.9,55.8,0.5,7.3,45.1,27.2,55.0,79.0,0.696,77.0,146.0,0.527,28.0,79.0,0.354,0.5,2.0,35.1,1.9,3.47519256,35.0,53.0,42.0,93.0,0.0,0.0,33.0,0.1667,2.4444,9.75,1.1944,0.1667,8.1389,0.3511111111111111,0.8620689655172414,1.599290780141844,-0.1681999999999998,3.049890537733021
P400aecdd2c,2012,35.0,66.8,21.9,50.0,50.51,9.1,25.1,8.0,11.0,69.0,135.0,0.511,205.0,410.0,0.5,0.0,0.0,0.0,9.6,1.1,32.9,2.2,0.97775533,83.0,115.0,122.0,295.0,55.0,57.0,29.1143,2.5429,7.4,1.2571,0.5714,2.8857,13.6857,0.0,3.3437499999999996,0.6666666666666666,0.0096899999999999,2.5103666466111227
P089ae8ca96,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47044d9385,2012,34.0,78.8,29.1,54.0,53.6,9.4,24.6,34.5,24.7,102.0,205.0,0.498,171.0,316.0,0.541,4.0,12.0,0.333,3.0,2.2,62.5,3.3,1.30770239,129.0,176.0,42.0,140.0,46.0,47.0,31.5294,2.5,6.7941,5.0,1.1765,0.9412,13.4118,0.0365853658536585,1.2093023255813955,1.3424124513618678,0.3276000000000001,2.653282332057211
Pbc5d4fc393,2012,38.0,70.2,24.4,55.3,61.56,14.1,20.2,6.3,15.3,181.0,224.0,0.808,220.0,398.0,0.553,0.0,0.0,0.0,5.3,1.7,56.3,3.8,0.49315494,89.0,131.0,131.0,267.0,32.0,34.0,28.1579,3.8421,5.7632,0.9474,0.8947,1.5263,16.3421,0.0,1.4583333333333337,0.3865030674846625,0.5086399999999999,4.376209124981171
Pcfae2f19b7,2012,38.0,69.6,22.3,52.3,54.66,10.8,16.3,8.7,14.9,99.0,158.0,0.627,161.0,305.0,0.528,16.0,49.0,0.327,5.8,2.7,44.6,3.3,0.82256681,123.0,167.0,38.0,138.0,58.0,62.0,29.3158,2.5263,4.6316,1.3421,1.2895,1.7895,12.3421,0.1384180790960452,1.976744186046512,0.5471698113207547,0.1071799999999999,3.1782029347920853
Pc2a67f2add,2012,32.0,74.3,28.1,60.1,63.77,11.2,22.8,9.4,18.1,128.0,165.0,0.776,197.0,332.0,0.593,23.0,53.0,0.434,7.3,1.3,42.9,3.7,0.41248002,109.0,151.0,88.0,181.0,33.0,36.0,30.0625,2.5938,5.8125,1.0312,0.6562,1.9688,18.4688,0.1376623376623376,1.829787234042553,0.4921465968586387,1.1153700000000004,3.966902523764678
P83b3d780d7,2012,37.0,72.0,27.3,53.8,59.11,12.5,24.0,8.6,13.7,175.0,228.0,0.768,212.0,399.0,0.531,16.0,40.0,0.4,4.0,2.3,51.9,3.9,0.64787114,118.0,173.0,94.0,226.0,16.0,17.0,30.3514,3.1351,6.0541,1.2432,1.1622,1.0541,17.4865,0.0911161731207289,1.2857142857142856,0.5850340136054422,0.66503,4.173098498729656
