pid,draft_year,ordinal,season_end,war
P267f5baf8e,2008,1,2009,-0.093271736
P103e95dd1f,2008,1,2009,0.034023831
P103e95dd1f,2008,2,2010,-0.395482075
P103e95dd1f,2008,3,2011,-0.690257297
P1605b30cec,2007,1,2008,-0.03216662
Pc86b9a08db,2007,1,2008,6.263689853
Pc86b9a08db,2007,2,2009,5.150065977
Pc86b9a08db,2007,3,2010,2.065503616
Pc86b9a08db,2007,4,2011,0.36547188
P29710a392c,2010,1,2011,-0.347216494
P49a2cdbcb5,2007,1,2008,-0.070802142
Pd5893ad4c2,2007,1,2008,0.124662318
Pd5893ad4c2,2007,2,2010,-0.151963966
Pd5893ad4c2,2007,3,2011,0.001155351
Pc90f94ed67,2008,1,2009,0.055618876
P71e6d4319f,2007,1,2008,-0.03601146
P5713a8b541,2007,1,2008,-0.529905516
P5713a8b541,2007,2,2009,3.529194635
P5713a8b541,2007,3,2010,17.19781413
P5713a8b541,2007,4,2011,13.48756289
Pba0c961d37,2007,1,2008,1.648217855
Pba0c961d37,2007,2,2009,3.679346348
Pba0c961d37,2007,3,2010,9.670764517
Pba0c961d37,2007,4,2011,7.340360183
Pbcd324b348,2007,1,2008,0.179017647
Pbcd324b348,2007,2,2009,4.651137778
Pbcd324b348,2007,3,2010,3.731162081
Pbcd324b348,2007,4,2011,10.08303762
Pea4d2012e7,2007,1,2008,-2.100934135
Pea4d2012e7,2007,2,2009,1.394506444
Pea4d2012e7,2007,3,2010,1.973358877
Pea4d2012e7,2007,4,2011,0.452431315
P23d9f5804f,2007,1,2008,-1.370302292
P23d9f5804f,2007,2,2009,-0.935043031
P23d9f5804f,2007,3,2010,-0.093399849
P23d9f5804f,2007,4,2011,-1.488653064
P4a79922b86,2007,1,2008,-0.607018066
P4a79922b86,2007,2,2009,0.445176743
P4a79922b86,2007,3,2010,2.878233548
P4a79922b86,2007,4,2011,1.907902073
Pd35ff5934d,2007,1,2008,0.145481337
Pd35ff5934d,2007,2,2009,0.91061392
Pd35ff5934d,2007,3,2011,0.035780347
Pad16010a79,2007,1,2008,3.116512265
Pad16010a79,2007,2,2009,6.604132013
Pad16010a79,2007,3,2010,3.121829893
Pad16010a79,2007,4,2011,6.268147887
P49b077589e,2007,1,2008,-1.217323373
P49b077589e,2007,2,2009,-0.25019418
P49b077589e,2007,3,2010,0.249647196
P49b077589e,2007,4,2011,-0.881583137
P8bc7e2260e,2007,1,2008,4.26645041
P8bc7e2260e,2007,2,2009,5.712728045
P8bc7e2260e,2007,3,2010,0.755428744
P8bc7e2260e,2007,4,2011,4.275516945
P25a045baff,2007,1,2008,1.145266025
P25a045baff,2007,2,2009,0.085679375
P25a045baff,2007,3,2010,0.424424607
P25a045baff,2007,4,2011,1.084515984
Pd84423f7e2,2007,1,2008,-3.212117195
Pd84423f7e2,2007,2,2009,-3.104654052
Pd84423f7e2,2007,3,2010,-0.679578197
Pd84423f7e2,2007,4,2011,0.177099242
P243742fc34,2007,1,2008,1.78838954
P243742fc34,2007,2,2009,3.489338002
P243742fc34,2007,3,2010,4.075909431
P243742fc34,2007,4,2011,4.527244473
Pdd125f24cc,2007,1,2008,-1.956156901
Pdd125f24cc,2007,2,2009,0.67363037
Pdd125f24cc,2007,3,2010,0.669672598
Pdd125f24cc,2007,4,2011,0.772127897
P61624e71c6,2007,1,2008,-0.226694137
P61624e71c6,2007,2,2009,-0.335687142
P61624e71c6,2007,3,2010,-0.176896695
Pc544b8efa0,2007,1,2008,-0.318967037
Pc544b8efa0,2007,2,2009,0.57428251
Pc544b8efa0,2007,3,2010,1.032829699
Pc544b8efa0,2007,4,2011,0.938292056
P2f5200d27c,2007,1,2008,-0.298908221
P2f5200d27c,2007,2,2009,-1.049122226
Pd6f3aa739f,2007,1,2008,-0.740242769
Pd6f3aa739f,2007,2,2010,-0.127944354
Pd6f3aa739f,2007,3,2011,-0.455143712
P41fad117db,2007,1,2008,1.689232189
P41fad117db,2007,2,2009,1.855475551
P41fad117db,2007,3,2010,7.190648718
P41fad117db,2007,4,2011,4.671973658
P42adf8ab25,2007,1,2009,6.401852148
P42adf8ab25,2007,2,2010,2.931388183
P42adf8ab25,2007,3,2011,4.691452758
Pd9ad951135,2007,1,2008,-0.078250798
Pd9ad951135,2007,2,2009,-0.298371506
P168e9ad8d4,2007,1,2008,0.282429807
P168e9ad8d4,2007,2,2009,2.210047572
P168e9ad8d4,2007,3,2010,4.961011406
P168e9ad8d4,2007,4,2011,-0.758122309
P1311f2955b,2007,1,2008,0.892136035
P1311f2955b,2007,2,2009,0.644357597
P1311f2955b,2007,3,2010,3.227140916
P1311f2955b,2007,4,2011,4.713135834
P6950e00d3b,2007,1,2011,0.78010237
P6a22b03d03,2007,1,2008,0.005956333
P6a22b03d03,2007,2,2009,0.044719892
P6a22b03d03,2007,3,2010,-0.043979309
P56d107e80a,2007,1,2008,2.289221182
P56d107e80a,2007,2,2009,1.986420441
P56d107e80a,2007,3,2010,2.580078796
P56d107e80a,2007,4,2011,-0.770048776
P971be31864,2007,1,2008,-0.005515484
P971be31864,2007,2,2009,0.163870119
P7703cc27be,2007,1,2008,0.586779099
P6525188e53,2007,1,2008,0.345813638
P6525188e53,2007,2,2009,1.299369082
P6525188e53,2007,3,2010,-0.154023803
P6525188e53,2007,4,2011,0.805418183
Pf6d18cb839,2007,1,2008,-0.371405188
Pf6d18cb839,2007,2,2009,-0.03979323
P67d2056db6,2007,1,2008,0.041457587
P67d2056db6,2007,2,2009,0.139254275
P67d2056db6,2007,3,2010,0.409918537
P67d2056db6,2007,4,2011,3.911536776
P8e68185705,2007,1,2008,-0.133080898
P8e68185705,2007,2,2009,0.081252217
P8e68185705,2007,3,2010,-0.352466699
P8e68185705,2007,4,2011,-0.8342406
Pb380360b47,2007,1,2008,-0.510248506
Pb380360b47,2007,2,2010,-0.045409355
Pcfbeb8a341,2007,1,2008,0.005376115
P0f110bb83f,2007,1,2008,-0.835192372
P0f110bb83f,2007,2,2009,1.046581021
P0f110bb83f,2007,3,2010,-0.644318153
P0f110bb83f,2007,4,2011,-0.024646544
P93e1b535ab,2007,1,2009,2.586862711
P93e1b535ab,2007,2,2010,7.253721815
P93e1b535ab,2007,3,2011,6.89833719
Pd1415c96b7,2007,1,2008,0.111767365
Pd1415c96b7,2007,2,2009,-0.054729265
Pd1415c96b7,2007,3,2010,0.17687016
Pd1415c96b7,2007,4,2011,0.177588785
Pf5e2b9f7f1,2007,1,2008,-0.119614311
Pac5bd0e496,2007,1,2008,-0.165648396
Pac5bd0e496,2007,2,2009,-0.020330226
P544e2d56ac,2007,1,2008,0.503521508
P544e2d56ac,2007,2,2009,4.931122776
P544e2d56ac,2007,3,2010,0.515349417
P544e2d56ac,2007,4,2011,0.701667515
Pa610141ccc,2007,1,2008,-0.220191488
P586a0d2a81,2007,1,2008,-0.460733769
P586a0d2a81,2007,2,2009,-0.315036801
P586a0d2a81,2007,3,2010,0.52569772
P586a0d2a81,2007,4,2011,0.997819893
P220e9380db,2010,1,2011,-0.254678809
P02f9f17423,2007,1,2008,0.127502251
P02f9f17423,2007,2,2010,-0.144657158
P9bd8ef5672,2007,1,2008,-0.22683373
P801bf131e6,2007,1,2008,-0.056277579
P801bf131e6,2007,2,2009,1.850514748
P801bf131e6,2007,3,2010,3.699267528
P801bf131e6,2007,4,2011,1.660290066
Pc9bef9c2e0,2008,1,2009,-0.076646249
Pc9bef9c2e0,2008,2,2011,-0.127013981
Pd175d5631f,2007,1,2008,-0.017558457
Pd175d5631f,2007,2,2009,-0.014757909
Pc47bd1a1ea,2007,1,2008,0.163603061
Pc47bd1a1ea,2007,2,2009,0.030302716
Pc47bd1a1ea,2007,3,2010,0.174183883
Pc47bd1a1ea,2007,4,2011,0.141041413
Pa5107e2b9c,2007,1,2008,-0.04701066
Pa5107e2b9c,2007,2,2009,-0.005199346
Pda7f31dba8,2007,1,2008,-0.101897616
Pda7f31dba8,2007,2,2009,0.028975431
Pb047bb4747,2008,1,2009,-0.625947907
P722aa856f7,2008,1,2009,-0.61710507
P722aa856f7,2008,2,2010,0.362698235
P722aa856f7,2008,3,2011,1.254876598
P552ea773e2,2008,1,2009,1.473078145
P552ea773e2,2008,2,2010,3.099486194
P552ea773e2,2008,3,2011,2.289094609
P2d45174d7f,2008,1,2009,2.900701299
P2d45174d7f,2008,2,2010,3.805466546
P2d45174d7f,2008,3,2011,14.54526589
P67ee7c4408,2008,1,2009,3.816334053
P67ee7c4408,2008,2,2010,8.40996042
P67ee7c4408,2008,3,2011,11.72133069
Pdfe2a49906,2008,1,2009,0.165447254
Pdfe2a49906,2008,2,2010,3.812253881
Pdfe2a49906,2008,3,2011,8.13755758
Peda84f3898,2008,1,2009,0.840841801
Peda84f3898,2008,2,2010,6.014432004
Peda84f3898,2008,3,2011,3.954474718
Pd43d378f42,2008,1,2009,2.6467329
Pd43d378f42,2008,2,2010,2.285259924
Pd43d378f42,2008,3,2011,5.371354205
P2e38e474e2,2008,1,2009,-0.536807295
P2e38e474e2,2008,2,2010,-0.005143949
P376f10f64c,2008,1,2009,2.196509258
P376f10f64c,2008,2,2010,1.509494512
P376f10f64c,2008,3,2011,3.521077712
Pab86c7dfaf,2008,1,2009,2.242396891
Pab86c7dfaf,2008,2,2010,2.224489903
Pab86c7dfaf,2008,3,2011,2.308193379
Pf1e6555cfc,2008,1,2009,-1.650885212
Pf1e6555cfc,2008,2,2010,0.730654564
Pf1e6555cfc,2008,3,2011,0.138113046
P7c81e9aca5,2008,1,2009,0.109554182
P7c81e9aca5,2008,2,2010,0.307011292
P7c81e9aca5,2008,3,2011,-0.668261799
P7e5e28e6b3,2008,1,2009,-0.378487029
P7e5e28e6b3,2008,2,2010,0.948475854
P7e5e28e6b3,2008,3,2011,-0.670378964
Pdb3f441dab,2008,1,2009,-0.402680506
Pdb3f441dab,2008,2,2010,-1.264659349
Pdb3f441dab,2008,3,2011,-0.007192525
P4afc5fb3f7,2008,1,2009,0.984254886
P4afc5fb3f7,2008,2,2010,3.085547816
P4afc5fb3f7,2008,3,2011,1.668798222
Pfcb4575061,2008,1,2009,-1.55638903
Pfcb4575061,2008,2,2010,0.216979896
Pfcb4575061,2008,3,2011,2.011946439
Pffe825f9b7,2008,1,2009,-0.923290341
Pffe825f9b7,2008,2,2010,-0.687129765
Pffe825f9b7,2008,3,2011,-3.208887837
P3d1eff1bca,2008,1,2009,-0.230726585
P3d1eff1bca,2008,2,2010,-0.042458406
P3d1eff1bca,2008,3,2011,-0.114143095
P969f2b1c13,2008,1,2009,1.679258754
P969f2b1c13,2008,2,2010,2.337648733
P969f2b1c13,2008,3,2011,6.201026539
Pd19bde5a19,2008,1,2009,3.812872879
Pd19bde5a19,2008,2,2010,2.396349561
Pd19bde5a19,2008,3,2011,1.791876198
Pc3a5f10000,2008,1,2009,0.14027725
Pc3a5f10000,2008,2,2010,-0.4907495
Pc3a5f10000,2008,3,2011,-0.511543891
P0157d20b94,2008,1,2010,0.598708131
P0157d20b94,2008,2,2011,4.239114987
Pda7ff44e77,2008,1,2009,2.8879092
Pda7ff44e77,2008,2,2010,2.727998335
Pda7ff44e77,2008,3,2011,3.530924659
P0e7908a570,2008,1,2009,0.949349012
P0e7908a570,2008,2,2010,4.670546685
P0e7908a570,2008,3,2011,4.869632559
P4b0ccf34e0,2008,1,2009,0.518173329
P4b0ccf34e0,2008,2,2010,-0.514348055
P4b0ccf34e0,2008,3,2011,1.796179369
Pab534e249b,2008,1,2009,-1.363859244
Pab534e249b,2008,2,2010,0.901168398
Pab534e249b,2008,3,2011,0.569956495
P9f5758481a,2008,1,2009,0.23717923
P9f5758481a,2008,2,2010,0.324279595
P9f5758481a,2008,3,2011,0.085133961
P41bc73e83b,2008,1,2009,0.033620082
P41bc73e83b,2008,2,2010,-0.217909357
Pe67238da8c,2008,1,2011,-1.249470202
Pbbde966f1e,2008,1,2009,-0.044773765
Pad8df3794d,2008,1,2009,0.004318051
Pad8df3794d,2008,2,2010,-0.024059212
Pad8df3794d,2008,3,2011,0.427678996
P7c1c1e7eac,2008,1,2009,-1.039614467
P7c1c1e7eac,2008,2,2010,-1.535532561
P7c1c1e7eac,2008,3,2011,2.69863867
P246009ab63,2008,1,2011,1.890799064
P486b5c76fa,2008,1,2009,2.850989141
P486b5c76fa,2008,2,2010,2.759455816
P486b5c76fa,2008,3,2011,2.305704566
P82dd1ca59f,2008,1,2009,1.849149952
P82dd1ca59f,2008,2,2010,0.167637416
P82dd1ca59f,2008,3,2011,-0.029751739
P8482acfde2,2008,1,2009,-0.245645356
P8482acfde2,2008,2,2010,0.588863835
P8482acfde2,2008,3,2011,-2.318444665
P2fe87c73a6,2008,1,2009,0.080072529
P2fe87c73a6,2008,2,2010,-1.020281795
P2fe87c73a6,2008,3,2011,0.422443629
P6dfb5df5c6,2008,1,2009,-0.090827669
P6dfb5df5c6,2008,2,2010,-0.155062337
P1ca581fef0,2008,1,2009,-0.348294701
P4b06d66b80,2008,1,2009,-0.291426937
P4b06d66b80,2008,2,2010,2.464544409
P4b06d66b80,2008,3,2011,-0.228258303
Pf14243ec5e,2008,1,2009,-0.126551895
Pf14243ec5e,2008,2,2010,1.186877226
Pf14243ec5e,2008,3,2011,1.133101214
P79f9e777a1,2008,1,2009,0.044314886
P79f9e777a1,2008,2,2010,0.074959715
P951f092ec6,2008,1,2009,-0.63542811
P951f092ec6,2008,2,2010,-0.427058367
P951f092ec6,2008,3,2011,-0.167087788
P2bc925c307,2008,1,2009,0.019738846
P94bbcbe8b9,2008,1,2011,-0.253986859
Pbbe7c2361f,2008,1,2009,1.384583557
Pbbe7c2361f,2008,2,2010,2.827267072
Pbbe7c2361f,2008,3,2011,2.106205573
P2528efc939,2008,1,2009,-1.696567586
P2528efc939,2008,2,2010,-0.714617519
Pc06b79b843,2008,1,2009,0.107566569
Pc06b79b843,2008,2,2010,-0.057738998
P8ff779ec76,2008,1,2009,0.033471401
Pb7bd8922eb,2008,1,2009,0.208265533
Pb7bd8922eb,2008,2,2010,-0.435532727
Pb7bd8922eb,2008,3,2011,0.182837674
Pfa9e39fc67,2008,1,2009,0.093477948
Pb00deeb55d,2008,1,2009,-0.306568478
P9378e87d91,2009,1,2010,-0.06491935
P9378e87d91,2009,2,2011,0.646095024
Pa5aab1aab8,2009,1,2010,0.004377749
P6aab967db9,2009,1,2010,-0.331415999
P13adb32b1d,2010,1,2011,-0.071745134
Pf31133cc3c,2009,1,2010,0.029331923
P6e6a2db0d6,2008,1,2009,0.207905856
P6e6a2db0d6,2008,2,2010,0.119362662
P6e6a2db0d6,2008,3,2011,0.688946553
P146ec7320a,2009,1,2011,7.661477392
P26f8dd510c,2009,1,2010,0.719833825
P26f8dd510c,2009,2,2011,-0.929904515
P2acc089d0e,2009,1,2010,4.720799491
P2acc089d0e,2009,2,2011,8.26360574
Pe2d0a4cddd,2009,1,2010,5.115657879
Pe2d0a4cddd,2009,2,2011,3.531848602
P1738f63a26,2009,1,2010,-2.687174665
P1738f63a26,2009,2,2011,-1.649720902
P7b8c6b66e0,2009,1,2010,6.170612819
P7b8c6b66e0,2009,2,2011,7.197756114
P3391f209f3,2009,1,2010,-0.19501347
P3391f209f3,2009,2,2011,-1.590743744
Pad8e6fd6b0,2009,1,2010,-0.153849786
Pad8e6fd6b0,2009,2,2011,0.838203537
P52f9046b71,2009,1,2010,5.397601487
P52f9046b71,2009,2,2011,4.056707555
P4417860ddd,2009,1,2010,-1.097976082
P4417860ddd,2009,2,2011,-0.610548157
P4c4f563b8c,2009,1,2010,0.118124393
P4c4f563b8c,2009,2,2011,0.041615191
Pc430805a15,2009,1,2010,-0.921840075
Pc430805a15,2009,2,2011,-0.502759895
P7ef2b1cf05,2009,1,2010,0.191154847
P7ef2b1cf05,2009,2,2011,0.902703186
P60425a0c89,2009,1,2010,-0.700146769
P60425a0c89,2009,2,2011,0.427054721
Pab257f8a15,2009,1,2010,1.231443978
Pab257f8a15,2009,2,2011,7.451918707
P0086aec335,2009,1,2010,-0.328380947
P0086aec335,2009,2,2011,1.398466087
Pe79f6d1bdb,2009,1,2010,0.965388948
Pe79f6d1bdb,2009,2,2011,1.688862719
P7d7c4d5568,2009,1,2010,1.864496916
P7d7c4d5568,2009,2,2011,1.449403441
Pcb72b419f2,2009,1,2010,-0.178386394
Pcb72b419f2,2009,2,2011,-0.263225562
P57a6e7dc53,2009,1,2010,1.197710998
P57a6e7dc53,2009,2,2011,0.00473961
P38fd19ed26,2009,1,2010,3.518354776
P38fd19ed26,2009,2,2011,3.124634865
P117b8ca478,2009,1,2010,-0.125037232
P117b8ca478,2009,2,2011,-0.022323344
P6fd4123c4d,2009,1,2010,-0.489521737
P6fd4123c4d,2009,2,2011,-1.004387617
Pc99e2f6730,2009,1,2010,1.026936254
Pc99e2f6730,2009,2,2011,4.178561306
P2805efe438,2009,1,2011,-0.386799523
P4f7ec9f72f,2009,1,2010,-0.142874295
P57802757ed,2009,1,2010,-0.280972277
P57802757ed,2009,2,2011,-0.362352433
P3326a2a68b,2009,1,2010,0.705590952
P3326a2a68b,2009,2,2011,-0.86469104
P977d8b209e,2009,1,2010,-0.46832169
P977d8b209e,2009,2,2011,-0.419281695
Pc643573699,2009,1,2010,-1.527679065
Pc643573699,2009,2,2011,1.054371973
P5e4e4a8cf1,2009,1,2010,2.7622418
P5e4e4a8cf1,2009,2,2011,2.593588915
P16997d7184,2009,1,2010,0.63986549
P16997d7184,2009,2,2011,0.141544225
P8514f39741,2009,1,2010,3.556238404
Pe7ad570728,2009,1,2010,0.568047659
Pe7ad570728,2009,2,2011,0.28576126
Pa0dded8876,2009,1,2010,-0.066300672
Pa0dded8876,2009,2,2011,4.110116309
P922c03ccad,2009,1,2010,1.619170478
P922c03ccad,2009,2,2011,3.642878995
P456fdc6328,2009,1,2010,0.179821534
P456fdc6328,2009,2,2011,0.172998317
P5500e23cae,2009,1,2010,-0.040843133
P322900af3b,2009,1,2010,1.216810092
P322900af3b,2009,2,2011,0.394350497
P1015da4297,2009,1,2010,-0.079363766
P1015da4297,2009,2,2011,-0.338049113
P4b1ba6339f,2009,1,2010,0.012855823
P4b1ba6339f,2009,2,2011,-0.011310489
Pfc3cc92a5c,2009,1,2010,0.147490553
Pfc3cc92a5c,2009,2,2011,-0.304251614
P6f23e4dd26,2009,1,2010,-0.102662541
Pdb8fb82c3b,2010,1,2011,-0.063198144
Pba6ba7bcf4,2010,1,2011,0.176736406
P37b821fb18,2009,1,2010,0.296798198
P37b821fb18,2009,2,2011,-0.099598791
P2d536d911b,2009,1,2010,-0.124287412
P1a8bbe3efe,2009,1,2010,0.440142586
P1a8bbe3efe,2009,2,2011,0.069209026
