feature,real_mean_rho,shuffled_mean_rho,paired_gain,fold2012_gain,fold2013_gain,fold2014_gain
f50_peer_three_diet,0.22163789528121228,0.20629577069148006,0.015342124589732232,0.05839990239812589,-0.017946612698892795,0.005573084069963596
f50_peer_creation_density,0.21537463568585682,0.2012868953247617,0.014087740361095077,0.016801464097385945,-0.015606341273290256,0.041068098259189535
f50_balanced_stocks,0.20700842390974897,0.1938160452272476,0.013192378682501399,-0.0033556984032711797,0.027649948076567493,0.015282886374207882
f50_career_slope_usage,0.21600018870748106,0.2039856598690213,0.012014528838459722,-0.010025307636385428,0.03171804855546353,0.014350845596301065
f50_career_slope_ts,0.21211726095842887,0.20077502304665387,0.011342237911774997,0.0166807099140678,0.002144534589677838,0.015201469231579353
f50_career_slope_ftr,0.21419739853689543,0.2031718252528128,0.01102557328408261,0.002189961213013236,0.014448064417062803,0.016438694222171795
f50_foul_adjusted_rebounds,0.20651092319718853,0.19638431784708238,0.010126605350106123,0.023745898689969167,0.005418517495233551,0.0012153998651156517
f50_career_slope_two_p,0.2145298973552252,0.2044619260176591,0.010067971337566076,-0.0067853508458873375,0.019796381000856872,0.017192883857728696
f50_career_slope_minutes,0.21368408690555593,0.2040405166407408,0.009643570264815113,-0.004298407029804126,0.016308111031429234,0.016921006792820232
f50_posterior_dunk,0.20786961056171457,0.20028212218464886,0.007587488377065759,0.009869010664060754,0.016997393381433374,-0.004103938914296852
f50_peer_rank_stl,0.20691958347662565,0.20013739793865656,0.00678218553796911,0.01466448856539009,-0.011532165669258234,0.017214233717775473
f50_peer_rim_diet,0.21096321742741939,0.2043552930744995,0.006607924352919838,0.02216751971463864,-0.0037297498528907993,0.0013860031970116722
f50_posterior_ft,0.20117516982710196,0.19462684623707968,0.0065483235900222975,0.02866839412191413,-0.004877570210663438,-0.004145853141183801
f50_peer_rank_orb,0.20515602473695582,0.2002771562660334,0.004878868470922403,0.006767153334701658,0.005960363735387404,0.0019090883426781484
f50_nondunk_rim_pct,0.20518798304333377,0.20059413938176543,0.004593843661568316,-0.014880454026589574,0.018611374966565192,0.010050610044729328
f50_team_share_dunk_a,0.19589942279842712,0.19169911341494464,0.0042003093834825185,0.01044407900536489,0.006582145624285283,-0.004425296479202617
f50_posterior_rim,0.20303222801345544,0.19904932923363156,0.003982898779823859,-0.008718725618736428,0.03255886190506919,-0.011891439946861185
f50_peer_sd_ts,0.21006829330372656,0.2063970189939583,0.0036712743097682657,-0.0015965637693607555,0.01413560788990049,-0.0015252211912349378
f50_team_share_rim_a,0.20308143584825913,0.19980859194284992,0.0032728439054092264,-0.003182018997768469,0.01718702701180137,-0.0041864762978052195
f50_rim_ft_pressure,0.20347917661493398,0.20050916716416112,0.0029700094507728314,-0.0048861088543946385,0.012878710461173745,0.0009174267455393884
f50_career_slope_ftp,0.20125167181790712,0.1988630168772888,0.0023886549406183077,-0.014808505966646299,0.02262797677632558,-0.000653505987824358
f50_career_slope_ast_tov,0.2056892125480583,0.20353872123295152,0.0021504913151068,0.008168636858164722,-0.003582542006392825,0.0018653790935485026
f50_posterior_mid,0.19829125542240225,0.19886794552378503,-0.0005766901013827772,-0.012996097702021625,-0.002063659557984293,0.013329686955857586
f50_peer_rank_blk,0.19818026144288028,0.19893045283984512,-0.0007501913969648518,-0.002222508665196419,-0.010478540022533067,0.01045047449683493
f50_assist_usage_efficiency,0.20650887106876625,0.20780115923291856,-0.0012922881641522792,-0.009117521751759899,0.003442677393694508,0.0017979798656085528
f50_team_share_ftm,0.2004375444160754,0.2020406371558162,-0.0016030927397408046,0.008348784171137718,-0.006249087034038324,-0.0069089753563218075
f50_peer_defense_density,0.20662487883974043,0.20836106581687341,-0.0017361869771330017,-0.0018481988191412317,-0.003580976486067191,0.0002206143738094172
f50_peer_sd_tov,0.203601371052289,0.20536125263784566,-0.0017598815855566436,-0.005013684778335674,-0.006881969794925123,0.006616009816590866
f50_posterior_three,0.19897400864954037,0.20132004435069206,-0.002346035701151727,-0.001995931511212417,-0.014376765827387126,0.00933459023514436
f50_usage_concentration,0.19786267502361396,0.20041121705575232,-0.002548542032138393,-0.0051428103652908785,0.0014724079940915031,-0.003975223725215804
f50_peer_sd_blk,0.19762303561764907,0.20098052402614155,-0.003357488408492477,-0.008040509844633795,0.012915734405821852,-0.014947689786665488
