pid,draft_year,f50_peer_sd_usage,f50_peer_rank_usage,f50_peer_sd_ts,f50_peer_rank_ts,f50_peer_sd_ast,f50_peer_rank_ast,f50_peer_sd_tov,f50_peer_rank_tov,f50_peer_sd_orb,f50_peer_rank_orb,f50_peer_sd_drb,f50_peer_rank_drb,f50_peer_sd_stl,f50_peer_rank_stl,f50_peer_sd_blk,f50_peer_rank_blk,f50_team_share_fta,f50_team_share_three_a,f50_team_share_rim_a,f50_team_share_dunk_a,f50_team_share_ftm,f50_team_share_three_m,f50_peer_three_diet,f50_peer_rim_diet,f50_peer_defense_density,f50_peer_creation_density,f50_minutes_concentration,f50_usage_concentration,f50_career_slope_two_p,f50_career_slope_three_p,f50_career_slope_ftp,f50_career_slope_ftr,f50_career_slope_ast_tov,f50_career_slope_orb,f50_career_slope_drb,f50_career_slope_minutes,f50_career_slope_ts,f50_career_slope_usage,f50_posterior_ft,f50_posterior_three,f50_posterior_rim,f50_posterior_mid,f50_posterior_dunk,f50_posterior_two,f50_nondunk_rim_pct,f50_rim_ft_pressure,f50_perimeter_ft_agreement,f50_assist_usage_efficiency,f50_balanced_stocks,f50_foul_adjusted_rebounds
P58604dcdcf,2017,5.545695277594673,0.9285714285714286,6.910439871187099,0.6428571428571429,5.774370612132132,0.7857142857142857,4.080948648142181,0.4642857142857143,4.757538857022208,0.4285714285714285,6.452668843166481,0.7857142857142857,1.1288645472726342,0.4285714285714285,1.5965623326488338,0.5,0.3271692745376955,0.0887198986058301,0.2061459667093469,0.3023255813953488,0.2980132450331126,0.07773851590106,0.4248076640838565,0.3554923785821327,4.271476111243165,0.803151929747784,0.1166019659554714,0.1377333446453335,-0.0206999999999933,0.0839000000000118,-0.0001999999999794,-7.240000000001148,0.2129254479999978,0.2200000000000944,0.809999999999919,11.7500000000004,-1.905999999998886,0.0199999999994891,0.596,0.325,0.6282722513089005,0.3560209424083769,0.9166666666666666,0.489010989010989,0.5777777777777777,0.5294830371567043,0.1058883248730964,0.5643243243243243,1.348148148148148,7.65625
P16f60c6002,2016,4.596420050946848,0.6363636363636364,5.610581045270849,0.8181818181818182,9.5727517360238,0.6363636363636364,3.734110084199733,0.0909090909090909,3.969139329229301,0.1818181818181818,6.236163671959502,0.4545454545454545,0.8896439773565258,0.6363636363636364,1.2736856059849495,0.2727272727272727,0.2474093264248704,0.2146189735614307,0.1664233576642335,0.2735849056603773,0.2768166089965398,0.2323651452282157,0.304576906891477,0.383933034072397,3.860837320574162,0.6819360692703021,0.1229289666695091,0.1312123469512793,0.0185999999999966,0.0268999999999979,0.0161000000000007,0.8600000000002807,0.2137404099999818,-0.7799999999999703,0.1000000000000195,5.179999999999729,2.55999999999978,-0.1599999999998495,0.8246445497630331,0.3882978723404255,0.6805555555555556,0.4108527131782946,0.8974358974358975,0.5573122529644269,0.6352941176470588,0.4552225082751012,0.3242192246931583,0.3973378378378379,1.1259259259259258,3.5312499999999996
P267f5baf8e,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8955b1a9c4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3470a61a00,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5e4491e5c3,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc047806c80,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf804162018,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P572a4194e6,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
