pid,draft_year,was_drafted,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042,cgd_ast_pg,cgd_blk_pg,cgd_drb_pg,cgd_ft_a_pg,cgd_ft_m_pg,cgd_observed_gp,cgd_orb_pg,cgd_pf_pg,cgd_points_pg,cgd_stl_pg,cgd_three_a_pg,cgd_three_m_pg,cgd_tov_pg,cgd_two_a_pg,cgd_two_m_pg,f50_assist_usage_efficiency,f50_balanced_stocks,f50_career_slope_ast_tov,f50_career_slope_drb,f50_career_slope_ftp,f50_career_slope_ftr,f50_career_slope_minutes,f50_career_slope_orb,f50_career_slope_three_p,f50_career_slope_ts,f50_career_slope_two_p,f50_foul_adjusted_rebounds,f50_minutes_concentration,f50_nondunk_rim_pct,f50_peer_creation_density,f50_peer_defense_density,f50_peer_rank_ast,f50_peer_rank_blk,f50_peer_rank_drb,f50_peer_rank_orb,f50_peer_rank_stl,f50_peer_rank_tov,f50_peer_rank_ts,f50_peer_rank_usage,f50_peer_rim_diet,f50_peer_sd_ast,f50_peer_sd_blk,f50_peer_sd_drb,f50_peer_sd_orb,f50_peer_sd_stl,f50_peer_sd_tov,f50_peer_sd_ts,f50_peer_sd_usage,f50_peer_three_diet,f50_perimeter_ft_agreement,f50_posterior_dunk,f50_posterior_ft,f50_posterior_mid,f50_posterior_three,f50_posterior_two,f50_rim_ft_pressure,f50_team_share_dunk_a,f50_team_share_fta,f50_team_share_ftm,f50_team_share_rim_a,f50_team_share_three_a,f50_team_share_three_m,f50_usage_concentration,tctx_assists_per_made_fg,tctx_blocks_per_opponent_fga,tctx_defensive_rebound_share,tctx_efg,tctx_efg_margin,tctx_ft_attempts_per_fga,tctx_margin_pg,tctx_offensive_rebound_share,tctx_opponent_assists_per_made_fg,tctx_opponent_efg,tctx_opponent_ft_attempts_per_fga,tctx_opponent_points_pg,tctx_opponent_shot_attempts_pg,tctx_opponent_three_attempt_share,tctx_opponent_turnovers_per_fga,tctx_points_pg,tctx_shot_attempts_pg,tctx_steals_per_opponent_turnover,tctx_three_attempt_share,tctx_turnovers_per_fga,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_height_with_shoes_in,vcmb_height_without_shoes_in,vcmb_lane_agility_s,vcmb_max_vertical_in,vcmb_modified_lane_agility_s,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_made,vcmb_on_move_15ft_pct,vcmb_on_move_college3_attempted,vcmb_on_move_college3_made,vcmb_on_move_college3_pct,vcmb_spot_15ft_attempted,vcmb_spot_15ft_made,vcmb_spot_15ft_pct,vcmb_spot_college3_attempted,vcmb_spot_college3_made,vcmb_spot_college3_pct,vcmb_spot_nba3_attempted,vcmb_spot_nba3_made,vcmb_spot_nba3_pct,vcmb_standing_reach_in,vcmb_standing_vertical_in,vcmb_three_quarter_sprint_s,vcmb_weight_lb,vcmb_wingspan_in,vcmb_wingspan_minus_height_in,vmb_age_reported_years,vmb_college_class_year,vmb_listed_bmi,vmb_listed_height_in,vmb_listed_weight_lb,vmb_position_c,vmb_position_pf,vmb_position_pg,vmb_position_sf,vmb_position_sg
P58604dcdcf,2017,0,16.800000000000001,2.7027000000000001,1.58730244,1.3,0.37840000000000001,16.5,4.4054000000000002,26,24,48.5,0.48799999999999999,324,158,0.314,70,22,2.2000000000000002,0.58699999999999997,58.399999999999999,37,161,80,32.432400000000001,8,2.2162000000000002,13.973000000000001,161,102,1.3999999999999999,0.75680000000000003,0.17766497461928929,13,51.369999999999997,24.899999999999999,1.2,0.84375,3.1946991960762925,0.067129999999999801,,,,,0.0199999999994891,0.62827225130890052,2.7027027027027026,0.3783783783783784,4.4054054054054053,6.2162162162162158,3.6486486486486487,37,2.2162162162162162,1.8108108108108107,13.972972972972974,0.7567567567567568,1.8918918918918919,0.59459459459459463,1.7027027027027026,8.7567567567567561,4.2702702702702702,0.56432432432432433,1.3481481481481481,0.2129254479999978,0.80999999999991901,-0.00019999999997940001,-7.2400000000011477,11.7500000000004,0.2200000000000944,0.083900000000011798,-1.9059999999988859,-0.0206999999999933,7.65625,0.1166019659554714,0.57777777777777772,0.80315192974778404,4.2714761112431647,0.7857142857142857,0.5,0.7857142857142857,0.42857142857142849,0.42857142857142849,0.4642857142857143,0.6428571428571429,0.9285714285714286,0.35549237858213267,5.7743706121321319,1.5965623326488338,6.4526688431664807,4.7575388570222081,1.1288645472726342,4.0809486481421811,6.9104398711870987,5.5456952775946728,0.42480766408385651,0.10588832487309641,0.91666666666666663,0.59599999999999997,0.35602094240837689,0.32500000000000001,0.48901098901098899,0.52948303715670431,0.30232558139534882,0.32716927453769551,0.29801324503311261,0.2061459667093469,0.0887198986058301,0.077738515901059999,0.13773334464533349,0.51802265705458295,0.06573005519317611,0.74149108589951374,0.52083333333333337,0.045419384512460304,0.32911985018726592,10,0.35897435897435898,0.45742092457420924,0.47541394882087307,0.28048168590065226,62.378378378378379,53.864864864864863,0.33467134972403412,0.23682890115403912,72.378378378378372,57.729729729729726,0.52754237288135597,0.3693820224719101,0.19241573033707865,16,29.18805534718522,11.5,8.75,10,79.5,78.25,11.81,33.5,2.9399999999999999,18,8,0.44444444444444442,,,,32,12,0.375,,,,,,,25,13,0.52000000000000002,25,13,0.52000000000000002,104.5,29,3.27,254.19999999999999,87.25,9,,,,,,,,,,
P16f60c6002,2016,0,9.9000000000000004,1.6000000000000001,1.2727706999999999,0.80000000000000004,0.2571,9.1999999999999993,2.6570999999999998,29,26,58.399999999999999,0.56799999999999995,213,121,0.40600000000000003,138,56,2.2000000000000002,0.83799999999999997,54.399999999999999,35,99,81.900000000000006,32.8857,2.1000000000000001,0.54290000000000005,16.285699999999999,114,80,1.8999999999999999,1.0286,0.3931623931623931,10.9,64.519999999999996,21.199999999999999,0.83193277310924374,0.84375,4.405781121759281,0.17423999999999981,,,,,-0.15999999999984951,0.68055555555555558,1.6000000000000001,0.25714285714285712,2.657142857142857,5.4571428571428573,4.5714285714285712,35,0.54285714285714282,1.7714285714285714,16.285714285714285,1.0285714285714285,3.9428571428571431,1.6000000000000001,1.2571428571428571,6.0857142857142854,3.4571428571428573,0.39733783783783788,1.1259259259259258,0.21374040999998181,0.1000000000000195,0.016100000000000701,0.86000000000028065,5.1799999999997288,-0.77999999999997027,0.026899999999997901,2.5599999999997798,0.018599999999996598,3.5312499999999996,0.1229289666695091,0.63529411764705879,0.68193606927030215,3.860837320574162,0.63636363636363635,0.27272727272727271,0.45454545454545447,0.1818181818181818,0.63636363636363635,0.090909090909090898,0.81818181818181823,0.63636363636363635,0.38393303407239698,9.5727517360238004,1.2736856059849495,6.2361636719595017,3.9691393292293009,0.88964397735652578,3.7341100841997328,5.6105810452708491,4.5964200509468478,0.30457690689147698,0.32421922469315828,0.89743589743589747,0.82464454976303314,0.41085271317829458,0.38829787234042551,0.55731225296442688,0.45522250827510119,0.2735849056603773,0.2474093264248704,0.27681660899653981,0.1664233576642335,0.2146189735614307,0.23236514522821569,0.13121234695127931,0.48291069459757441,0.063247011952191234,0.7053571428571429,0.54221635883905017,0.059148629755384818,0.40738786279683376,7.8285714285714283,0.3010948905109489,0.46011560693641618,0.48306772908366535,0.2908366533864542,67.400000000000006,57.371428571428574,0.30428286852589642,0.20119521912350596,75.228571428571428,54.142857142857146,0.53217821782178221,0.33931398416886543,0.20211081794195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.399999999999999,4,22.880962650978564,78,198,0,0,0,0,1
P267f5baf8e,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8955b1a9c4,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25.575444426995691,,,,84.25,83,12.06,33.5,,,,,,,,,,,,,,,,,,,,,,,110.5,27.5,3.5099999999999998,250.59999999999999,87,4,,,,,,,,,,
P3470a61a00,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25.707495284995385,,,,80.25,79,11.109999999999999,35,,,,,,,,,,,,,,,,,,,,,,,108,29.5,3.1699999999999999,228.19999999999999,87.5,8.5,,,,,,,,,,
P5e4491e5c3,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24.3094144983225,,,,73,71.75,11.09,38,,,,,,,,,,,,,,,,,,,,,,,93,32,3.2200000000000002,178,76.25,4.5,,,,,,,,,,
Pc047806c80,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27.422773569377163,,,,72.25,71.5,10.5,33.5,,,,,,,,,,,,,,,,,,,,,,,98,29,3.0600000000000001,199.40000000000001,76.25,4.75,,,,,,,,,,
Pf804162018,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26.532671841740793,,,,79.5,78,11.390000000000001,30.5,,,,,,,,,,,,,,,,,,,,,,,106,28,3.3900000000000001,229.59999999999999,83,5,,,,,,,,,,
P572a4194e6,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.353797064871987,,,,81.5,81,10.859999999999999,31,,,,,,,,,,,,,,,,,,,,,,,109,26,3.2999999999999998,236.59999999999999,84.25,3.25,,,,,,,,,,
