pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P9305edebac,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc4ba85a58f,2023,39.3,6.5676,2.89283356,1.6,0.5135,19.6,6.2432,0.0,0.0,55.2,0.546,394.0,215.0,0.381,118.0,45.0,2.3,0.763,23.0,37.0,256.0,89.8,36.5135,4.0,1.1622,17.7027,138.0,93.0,1.6,0.9459,0.23046875,13.2,57.65,29.3,2.767605633802817,0.9696969696969698,3.646471225244097,0.7114499999999999,40.0,40.0,,1.0,0.22000000000010023,0.6607142857142857
Pae8a88e0e7,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2dc9628338,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc51154c628,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18c14dbf8f,2023,12.5,2.1944,0.94047056,1.4,0.4722,20.8,6.6944,1.0,0.0,49.0,0.482,367.0,177.0,0.337,208.0,70.0,2.4,0.799,34.6,36.0,186.0,87.8,35.3611,5.2,1.5556,20.0833,180.0,102.0,1.5,0.9444,0.3617391304347826,13.4,53.99,28.2,0.8680555555555556,0.8529411764705882,4.233355575871881,0.3271800000000001,47.0,47.0,,1.0,-6.530000000000456,0.5714285714285714
P8bf21cf88b,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2890042448,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57690f53ec,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5dad28f6cf,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
