pid,draft_year,was_drafted
Pfb1f04f295,2021,0
P3ffd955342,2021,0
P659829b9e5,2021,0
Pdd3a369707,2021,0
P64f9a357ca,2021,0
Pdb02e7ce99,2021,0
P9161b1752d,2021,0
Pcc9fe4d64c,2021,0
P8c6b1e4de6,2021,0
P6a7cb1d3a8,2021,0
P0326e23b0d,2021,1
P88205fde52,2021,1
P90932c4b0a,2021,1
P90d6ceb081,2021,0
P37de3fe8d7,2021,0
P6e0353adf2,2021,0
P18f1dedfcb,2021,0
P86aa3b2a5e,2021,0
Pa9952fefb0,2021,0
P30aaba02d5,2021,1
Pb52cacc824,2021,0
P82dc635a40,2021,1
P64263ced9d,2021,1
Pb1d56c9c96,2021,1
Pe225c37146,2021,0
P7dcdc4ccdd,2021,1
P6675265e20,2021,0
P9fd480084b,2021,1
P72f09d9c22,2021,0
P2e4a40f74c,2021,0
Pe896f378ca,2021,0
P7f3328bd09,2021,0
P29e5d27062,2021,0
P48e5247a2d,2021,0
P46419801dd,2021,0
P0d7f7c89fd,2021,0
Ped12721a79,2021,0
Pd7c45f2e6c,2021,0
P152905cef4,2021,1
P5480a34012,2021,1
Pf6213e9937,2021,1
P21372aaded,2021,1
P54240b8a24,2021,1
P90b2305671,2021,1
Pb2632428b5,2021,1
P9e82692a6d,2021,1
P6680e3073f,2021,1
P1e1b55c58c,2021,1
P05f9ca4653,2021,1
P61d8f8df57,2021,1
P69549f38f2,2021,1
P606c98790a,2021,1
Pa0882490f6,2021,1
P87ada0d006,2021,1
Pfce02776de,2021,1
Pa090759337,2021,1
Pe728a39ea0,2021,1
Pc624860c4a,2021,1
P85bbbd5241,2021,0
P392363bcf2,2021,1
P721d8fa8f9,2021,1
P30169adef4,2021,1
P3364db28a5,2021,1
P0057628fa2,2021,1
P2c8aa67899,2021,1
P41bcb3bebd,2021,0
Pe28113186c,2021,1
P44ea7b86af,2021,0
P4e35bd6add,2021,1
P2b13664da5,2021,1
Pc9a85d9349,2021,0
P45a39b68c1,2021,1
P60da7b4537,2021,1
Pc37129efde,2021,0
P624b2b5afe,2021,1
Pcf11d56327,2021,0
Pd1118f9ab3,2021,1
Pb3cfb2c388,2021,1
Pba95727095,2021,1
Pac178f1473,2021,1
P854a3a23a2,2021,1
Pf2b31fcc76,2021,0
P213b82c86a,2021,1
P71399e9935,2021,0
P4110110f37,2021,1
Pbfadf35dca,2021,1
Pff95561f44,2021,0
Pc97a1282a3,2021,1
P130d4826ef,2021,0
P61afdc25a4,2021,1
Pc3e0235987,2021,1
Pc131e1ee6f,2021,1
P3692b72eac,2021,0
Pa8621489c8,2021,0
P2511a36f77,2021,0
P77f7109f5b,2021,0
P3d136e77bf,2021,0
Pb149e1d8c2,2021,1
Pd89d8db6f9,2021,0
Pcfa1d05a1c,2021,0
P72048f0a4a,2021,0
P479c1cba2f,2021,0
P71e4e7122a,2021,0
P93a802efd4,2021,0
Paf9449af91,2021,0
P40d023c55e,2021,0
Pa09bdf4e64,2021,1
Pd4adc2c99d,2021,0
Pb4df715600,2021,0
P4583d7bf3c,2021,0
P884d72cac4,2021,0
Pd0398785b7,2021,0
P70fd4037fb,2021,0
P31c152a929,2021,0
P03ad9770c3,2021,0
Pf10c6bc653,2021,0
P457b866328,2021,0
Pcad1dc504f,2021,0
P1f0712d029,2021,0
P36846c8c89,2021,0
P5705590403,2021,1
P9badd97dfe,2021,0
P030ee18cdd,2021,0
P9cb019ad12,2021,0
Pfa7ab0de3c,2021,0
Pd7fcef8bed,2021,0
Pe6a7666c97,2021,0
P91c6876a66,2021,0
Pe77b8e73a4,2021,0
P5b6cf4f1ea,2021,0
P5ea4e3ee4a,2021,0
P0aa581f174,2021,0
P8b8dcb5659,2021,0
P44ba277b42,2021,0
Pa74bde45e0,2021,0
P4ff3e30134,2021,0
Pff631d1742,2021,0
Pc4eb6bb8ac,2021,0
Pf0fd005549,2021,0
Pd00c1b3d5c,2021,0
Pe0ef621774,2021,0
Pd2d3c5dc1a,2021,0
Pfc89c2e5d3,2021,0
Pf54b3f87be,2021,0
P300c3416e0,2021,0
Pf9546cce6b,2021,0
P150b11f782,2021,0
P704ac3a95d,2021,0
P621ab8f1c3,2021,0
P969b4447cc,2021,0
Pdda2ebeb84,2021,0
P9951cfb317,2021,0
P588407dc89,2021,0
Pa47e64a2a6,2021,0
P983ac07ff1,2021,0
P65cc7bdb71,2021,0
P0843caad4a,2021,0
P21808403e2,2021,0
P082336d76f,2021,0
P3e86849b89,2021,0
Pa99e47f62c,2021,0
P26d0fde68c,2021,0
P8af3d1371a,2021,0
