pid,draft_year,source_season,team_id,validated_games,min_game_date,max_game_date,college_source_row,college_allowed_values_hash,match,source_file,source_totals_sha256,original_publication_vintage_verified,complete_schedule_verified
P2d45174d7f,2008,2008,team_034e4554eaa313d27a08,40,2007-11-05,2008-04-07,3288,c743dcba0ecaed84380825344af7e0016e7616522811c25f5740e0ac8e23ea9f,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P722aa856f7,2008,2008,team_2ea711f518d46cac6ce3,33,2007-11-09,2008-03-22,2718,d2425c7265aefc397ac9eaf5951cc323fbbb591d901afdbf453199ba2b49b44c,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P552ea773e2,2008,2008,team_3dde180d1d9420842290,33,2007-11-10,2008-03-20,3842,432e570416e7f6a3d54341ec2916d774bf00c9cf4193e25f6ab5c08788475b9b,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P67ee7c4408,2008,2008,team_ea0ccc25daeacc906afd,39,2007-11-09,2008-04-05,2780,300136cbecf5aaaedfe0358a8ab1a7dd90c84909c8e80ba927e315a0dd1677ab,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
Pdfe2a49906,2008,2008,team_ea0ccc25daeacc906afd,39,2007-11-09,2008-04-05,2881,db2de08550de498046122edeff168ec33347193e92392fd680be83dee8c5bdb9,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
Pd43d378f42,2008,2008,team_29750e2fdcd870e7b552,33,2007-11-12,2008-03-21,1304,e854dd3e3aedfc7de602129f2955d4d02b3aac46c7708ee0725003d67768fa86,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P2e38e474e2,2008,2008,team_e59aede82b367aa1791d,37,2007-11-16,2008-03-27,2089,82bcbde8e649f8ed685e819792f000b0301c0bf14d6cc38ba66c4d1b15f218b7,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P376f10f64c,2008,2008,team_4b95ce6272018a31e412,38,2007-11-12,2008-03-30,531,dd3ac310d77e4893e6cc8e4c7fd1020f9e6a899fdc323d1870171b770dfa7d25,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
Pab86c7dfaf,2008,2008,team_bf90d29a5ccb2df54444,36,2007-11-09,2008-03-28,1342,c662fd8cf2cda65aa548a6ae6b0a6c46b3bd96dda534a8fa53d8e070a01be379,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P5f07dfebd6,2008,2008,team_f2274036b50dbde4f969,34,2007-11-13,2008-03-20,2724,248d432b3aec3b90bc5630115f30c4c98e8ee17705a28efc1953b03bdabc5b78,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
Pf1e6555cfc,2008,2008,team_79f6d0732a249abcadee,40,2007-11-09,2008-04-07,2852,f03681aa4a044bc54c69b8563a40165b4d4b092f84c07f2a1d0f85d4fe7b6654,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
P7c81e9aca5,2008,2008,team_9c1e58899aaed75aa214,31,2007-11-12,2008-03-13,307,5b696b8208750b6eb724fde4f39adb88513391fd438e03b22486f5fed19651f8,exact existing focal team and source season,team_season_totals_candidate.csv,2950f0696cf59fcb1f4416403dbbea4500f7c6481e86da5ff5de4b8897a5873d,False,False
