pid,source_season,reason
P4e0fbd7a78,2008,"cached season incomplete, invalid or fewer than20 games"
Pffe825f9b7,2008,"cached season incomplete, invalid or fewer than20 games"
P0e7908a570,2008,"cached season incomplete, invalid or fewer than20 games"
Pb48635a7c4,2008,"cached season incomplete, invalid or fewer than20 games"
Pe7ad570728,2009,"cached season incomplete, invalid or fewer than20 games"
P1015da4297,2009,"cached season incomplete, invalid or fewer than20 games"
P8d411cb20c,2009,"cached season incomplete, invalid or fewer than20 games"
Pcc98298533,2010,"cached season incomplete, invalid or fewer than20 games"
Pe82bc0553e,2010,"cached season incomplete, invalid or fewer than20 games"
P8a6c25e945,2010,"cached season incomplete, invalid or fewer than20 games"
Pf849910cdc,2012,"cached season incomplete, invalid or fewer than20 games"
Pa3f9e715ae,2012,"cached season incomplete, invalid or fewer than20 games"
Pd9273beb4e,2012,"cached season incomplete, invalid or fewer than20 games"
Pbf890a872a,2012,"cached season incomplete, invalid or fewer than20 games"
P00193b3ed9,2013,"cached season incomplete, invalid or fewer than20 games"
Pdbcc4b2801,2013,"cached season incomplete, invalid or fewer than20 games"
Pccb83c9fcb,2013,"cached season incomplete, invalid or fewer than20 games"
P85abb7e5de,2013,"cached season incomplete, invalid or fewer than20 games"
P1497c83aba,2013,"cached season incomplete, invalid or fewer than20 games"
P607c704c53,2013,"cached season incomplete, invalid or fewer than20 games"
Pb5f5bff7e1,2013,"cached season incomplete, invalid or fewer than20 games"
Pfe357344e4,2013,"cached season incomplete, invalid or fewer than20 games"
P83de6de3ec,2014,"cached season incomplete, invalid or fewer than20 games"
Pa76f81d8c3,2014,"cached season incomplete, invalid or fewer than20 games"
P23026d4d13,2014,"cached season incomplete, invalid or fewer than20 games"
P2dd4d0a4f4,2014,"cached season incomplete, invalid or fewer than20 games"
P9075a4686f,2014,"cached season incomplete, invalid or fewer than20 games"
P7632bd626c,2014,"cached season incomplete, invalid or fewer than20 games"
P67cf99c3eb,2015,"cached season incomplete, invalid or fewer than20 games"
Pce2a43b358,2015,"cached season incomplete, invalid or fewer than20 games"
Pcf63b744fe,2015,"cached season incomplete, invalid or fewer than20 games"
P16f77dc0c6,2015,"cached season incomplete, invalid or fewer than20 games"
Pdaafce7eb6,2015,"cached season incomplete, invalid or fewer than20 games"
P3cfad83e39,2015,"cached season incomplete, invalid or fewer than20 games"
Pe7f5f31a46,2015,"cached season incomplete, invalid or fewer than20 games"
P944090784f,2015,"cached season incomplete, invalid or fewer than20 games"
P6f3f385e9b,2015,"cached season incomplete, invalid or fewer than20 games"
P46c8e8cb1c,2015,"cached season incomplete, invalid or fewer than20 games"
P84b2e1b413,2015,"cached season incomplete, invalid or fewer than20 games"
Pbb1af08ea5,2015,"cached season incomplete, invalid or fewer than20 games"
Pc2766e3f86,2015,"cached season incomplete, invalid or fewer than20 games"
P9cedd79bd8,2015,"cached season incomplete, invalid or fewer than20 games"
P9e418f4c91,2015,"cached season incomplete, invalid or fewer than20 games"
Pb88d2f0541,2015,"cached season incomplete, invalid or fewer than20 games"
P88f4dbf943,2016,"cached season incomplete, invalid or fewer than20 games"
Pc5a8d9d1d6,2016,"cached season incomplete, invalid or fewer than20 games"
Pbfe4edf289,2016,"cached season incomplete, invalid or fewer than20 games"
P22b18d36a6,2016,"cached season incomplete, invalid or fewer than20 games"
Pdc4a696341,2016,"cached season incomplete, invalid or fewer than20 games"
P7c761dbe92,2015,"cached season incomplete, invalid or fewer than20 games"
P10187f6389,2017,"cached season incomplete, invalid or fewer than20 games"
P0d567b6867,2017,"cached season incomplete, invalid or fewer than20 games"
P5e4a09f56c,2018,"cached season incomplete, invalid or fewer than20 games"
P82bbff96e6,2018,"cached season incomplete, invalid or fewer than20 games"
P15b4774186,2018,"cached season incomplete, invalid or fewer than20 games"
Pe581c6d22f,2018,"cached season incomplete, invalid or fewer than20 games"
P3e655a07ed,2018,"cached season incomplete, invalid or fewer than20 games"
Pb779a9fa56,2018,"cached season incomplete, invalid or fewer than20 games"
P665ee60687,2018,"cached season incomplete, invalid or fewer than20 games"
