pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
P2e38feab3a,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P76ebdc8d77,2022,75.0,76.5,195.6,77.75,99.0,4.4,8.0,9.5,26.5,35.0,10.46,3.02,3.26,,24.448072849319033,2.75,,,,,,,,,,,,,,,,,,,,,
P3698c87daf,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9d848af991,2022,76.5,77.75,216.8,82.25,104.0,5.4,8.75,9.5,32.0,39.0,10.77,3.11,3.13,,26.045620892096164,5.75,,,,,,,,,,,,,,,,,,,,,
P9e732e040b,2022,77.25,78.5,208.6,83.0,102.5,7.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29,,24.576251076168646,5.75,,,,,,,,,,,,,,,,,,,,,
P6521ad0003,2022,78.25,79.75,212.4,82.0,107.0,7.1,8.75,9.25,28.5,34.5,11.39,3.04,3.14,,24.388445931322348,3.75,,,,,,,,,,,,,,,,,,,16.0,25.0,0.64
P8d79cd923c,2022,72.0,73.5,180.0,77.75,95.5,5.3,7.75,9.0,30.5,37.5,11.07,3.1,3.21,,24.412138181915253,5.75,,,,,,,,,,,,,,,,,,,14.0,25.0,0.56
P7c29e11a29,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe22f69b7a0,2022,77.5,79.0,243.0,83.75,103.5,12.2,8.25,9.25,35.5,38.0,11.11,3.23,3.26,,28.444688091956834,6.25,,,,,,,,,,,,,,,,,,,,,
Pd3eb42d2a8,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13f00227af,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P836329e077,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfd5185bdf5,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc064a30c43,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4e8883caf8,2022,77.25,78.5,196.6,84.75,106.0,5.3,9.0,9.0,,,,,,,23.162468655679557,7.5,,,,,,,,,,,,,,,,,,,,,
Pab39ee5462,2022,78.0,79.5,195.2,82.5,105.0,4.9,8.5,9.75,29.0,34.0,10.81,2.81,3.22,,22.557393482176842,4.5,,,,,,,,,,,,,,,,,,,,,
Paf2b091294,2022,79.75,81.25,236.6,84.25,109.5,6.2,8.75,10.0,28.0,32.5,11.49,3.1,3.22,,26.154815702302475,4.5,,,,,,,,,,,,,,,,,,,14.0,25.0,0.56
P20596267f7,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16b88a2183,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfa7a6f2536,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12c0373e62,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbfdaa31fd0,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pce7c8a9da0,2022,76.5,78.0,204.6,81.0,104.0,5.7,8.5,9.75,,,,,,,24.5799540337771,4.5,,,,,,,,,,,,,,,,,,,,,
P919e355315,2022,76.25,77.75,196.4,80.5,103.5,6.7,8.5,10.25,,,,,,,23.749807546983007,4.25,,,,,,,,,,,,,,,,,,,,,
P86df290cda,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa95793f720,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7d4b1d6e8f,2022,76.25,77.25,198.0,83.5,103.5,4.8,9.0,9.25,,,,,,,23.943288667528694,7.25,,,,,,,,,,,,,,,,,,,,,
Pa408da26a2,2022,74.25,75.75,196.4,80.0,99.5,12.0,8.5,9.25,,,,,,,25.046490120714374,5.75,,,,,,,,,,,,,,,,,,,,,
