pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
P58604dcdcf,2017,78.25,79.5,254.2,87.25,104.5,11.5,8.75,10.0,29.0,33.5,11.81,2.94,3.27,16.0,29.18805534718522,9.0,,,,13.0,25.0,0.52,13.0,25.0,0.52,8.0,18.0,0.4444444444444444,,,,12.0,32.0,0.375,,,
P379acc01ca,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16f60c6002,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P267f5baf8e,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8955b1a9c4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,2005,83.0,84.25,250.6,87.0,110.5,,,,27.5,33.5,12.06,,3.51,13.0,25.57544442699569,4.0,,,,,,,,,,,,,,,,,,,,,
P3470a61a00,2005,79.0,80.25,228.2,87.5,108.0,,,,29.5,35.0,11.11,,3.17,12.0,25.707495284995385,8.5,,,,,,,,,,,,,,,,,,,,,
P5e4491e5c3,2005,71.75,73.0,178.0,76.25,93.0,,,,32.0,38.0,11.09,,3.22,10.0,24.3094144983225,4.5,,,,,,,,,,,,,,,,,,,,,
Pc047806c80,2005,71.5,72.25,199.4,76.25,98.0,,,,29.0,33.5,10.5,,3.06,6.0,27.422773569377163,4.75,,,,,,,,,,,,,,,,,,,,,
Pf804162018,2005,78.0,79.5,229.6,83.0,106.0,,,,28.0,30.5,11.39,,3.39,7.0,26.532671841740793,5.0,,,,,,,,,,,,,,,,,,,,,
P572a4194e6,2005,81.0,81.5,236.6,84.25,109.0,,,,26.0,31.0,10.86,,3.3,11.0,25.353797064871987,3.25,,,,,,,,,,,,,,,,,,,,,
Pcb4360a784,2005,78.5,80.0,255.4,87.5,109.0,,,,28.0,31.0,11.94,,3.45,21.0,29.139351801670056,9.0,,,,,,,,,,,,,,,,,,,,,
P5afd5b991d,2005,73.75,74.75,202.4,78.25,98.0,,,,30.0,35.0,10.83,,3.25,15.0,26.162832826239054,4.5,,,,,,,,,,,,,,,,,,,,,
Pff47b96114,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2f15d5867f,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
