pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P0f110bb83f,2007,36,36,,1
P12dc2a4dac,2007,7.5,7,1,2
P1311f2955b,2007,30,21,18,2
P168e9ad8d4,2007,36.5,26,21,2
P2224af8be2,2007,1,1,0,2
P23d9f5804f,2007,8,6,4,2
P243742fc34,2007,19,15,8,2
P25a045baff,2007,13.5,11,5,2
P2f5200d27c,2007,14.5,14,1,2
P40c501f5d6,2007,34,34,,1
P41fad117db,2007,28,28,,1
P42adf8ab25,2007,23,21,4,2
P473b24f6eb,2007,38,38,,1
P49b077589e,2007,11,11,,1
P4a79922b86,2007,8.5,8,1,2
P544e2d56ac,2007,43,43,,1
P56d107e80a,2007,53,53,,1
P5713a8b541,2007,2,2,0,2
P61624e71c6,2007,25,25,,1
P6525188e53,2007,31,31,,1
P67d2056db6,2007,19,19,,1
P6950e00d3b,2007,23,18,10,2
P6a22b03d03,2007,32,29,6,2
P7703cc27be,2007,26,26,,1
P8bc7e2260e,2007,17,14,6,2
P8e68185705,2007,32,32,,1
P93e1b535ab,2007,35.5,27,17,2
P971be31864,2007,26.5,20,13,2
P9bd8ef5672,2007,60,60,,1
Pa610141ccc,2007,52,52,,1
Pac5bd0e496,2007,37,37,,1
Pad16010a79,2007,9.5,9,1,2
Pb70d7d0b57,2007,23.5,23,1,2
Pba0c961d37,2007,3.5,3,1,2
Pc544b8efa0,2007,20,16,8,2
Pcb5c1e8ac6,2007,49,49,,1
Pcd53db286a,2007,22.5,18,9,2
Pd1415c96b7,2007,35.5,30,11,2
Pd35ff5934d,2007,4.5,3,3,2
Pd6f3aa739f,2007,15,13,4,2
Pd84423f7e2,2007,12,12,0,2
Pd9ad951135,2007,22,22,0,2
Pdd125f24cc,2007,15,13,4,2
Pea4d2012e7,2007,6,5,2,2
Pf5e2b9f7f1,2007,30,30,,1
Pf6d18cb839,2007,54,54,,1
P16bd14d8e6,2008,47,47,,1
P246009ab63,2008,43,43,,1
P2d45174d7f,2008,1.5,1,1,2
P2e38e474e2,2008,18.5,14,9,2
P2fe87c73a6,2008,20.5,19,3,2
P376f10f64c,2008,11.5,10,3,2
P3d1eff1bca,2008,17,17,,1
P41bc73e83b,2008,38,38,,1
P4afc5fb3f7,2008,15.5,11,9,2
P4b06d66b80,2008,50,50,,1
P4b0ccf34e0,2008,16,10,12,2
P4b40cf78ae,2008,30.5,26,9,2
P4e0fbd7a78,2008,27,26,2,2
P51f87bc5f4,2008,27,20,14,2
P552ea773e2,2008,4.5,4,1,2
P5f07dfebd6,2008,4.5,3,3,2
P67ee7c4408,2008,11.5,11,1,2
P6dfb5df5c6,2008,32.5,23,19,2
P722aa856f7,2008,1.5,1,1,2
P7c1c1e7eac,2008,10.5,9,3,2
P7c81e9aca5,2008,8.5,8,1,2
P7e5e28e6b3,2008,23,21,4,2
P82dd1ca59f,2008,45,45,,1
P8482acfde2,2008,53,53,,1
P94bbcbe8b9,2008,51,51,,1
P969f2b1c13,2008,32,32,,1
P9f5758481a,2008,40,40,,1
Pab534e249b,2008,15.5,14,3,2
Pab86c7dfaf,2008,3.5,3,1,2
Pad8df3794d,2008,46,46,,1
Pc3a5f10000,2008,18.5,13,11,2
Pd19bde5a19,2008,27,27,0,2
Pd2241d6e4b,2008,29,29,,1
Pd43d378f42,2008,11,7,8,2
Pda7ff44e77,2008,16.5,15,3,2
Pdb3f441dab,2008,25,21,8,2
Pdfe2a49906,2008,7.5,7,1,2
Pe67238da8c,2008,33,33,,1
Peda84f3898,2008,5.5,5,1,2
Pf14243ec5e,2008,39,39,,1
Pf1e6555cfc,2008,24.5,24,1,2
Pfcb4575061,2008,17,16,2,2
Pffe825f9b7,2008,30,30,0,2
P0086aec335,2009,13,8,10,2
P117b8ca478,2009,57,57,,1
P146ec7320a,2009,1,1,0,2
P16997d7184,2009,60,60,,1
P1738f63a26,2009,20.5,13,15,2
P20418f8d52,2009,15,13,4,2
P22c8154970,2009,2,2,,1
P26f8dd510c,2009,3.5,3,1,2
P2acc089d0e,2009,3.5,2,3,2
P322900af3b,2009,45,42,6,2
P3326a2a68b,2009,36,36,,1
P3391f209f3,2009,3.5,3,1,2
P38fd19ed26,2009,42,29,26,2
P4417860ddd,2009,25,25,0,2
P456fdc6328,2009,45.5,45,1,2
P4b1ba6339f,2009,52,52,,1
P4b68bd7095,2009,54,52,4,2
P4c4f563b8c,2009,27.5,26,3,2
P52f9046b71,2009,6.5,6,1,2
P56bb4beeed,2009,38,32,12,2
P57802757ed,2009,38,38,,1
P57a6e7dc53,2009,45,41,8,2
P5e4e4a8cf1,2009,20,19,2,2
P60425a0c89,2009,16,11,10,2
P6fd4123c4d,2009,16,16,,1
P7b8c6b66e0,2009,8.5,8,1,2
P7d7c4d5568,2009,28.5,22,13,2
P8514f39741,2009,39.5,34,11,2
P8afd917a6c,2009,27,23,8,2
