pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_rank
P0f110bb83f,2007,36,,
P12dc2a4dac,2007,7,,8
P1311f2955b,2007,39,,21
P168e9ad8d4,2007,47,,26
P2224af8be2,2007,1,,1
P23d9f5804f,2007,10,,6
P243742fc34,2007,15,,23
P25a045baff,2007,16,,11
P2f5200d27c,2007,14,,15
P40c501f5d6,2007,34,,
P41fad117db,2007,28,,
P42adf8ab25,2007,21,,25
P473b24f6eb,2007,38,,
P49b077589e,2007,11,,
P4a79922b86,2007,8,,9
P544e2d56ac,2007,43,,
P56d107e80a,2007,53,,
P5713a8b541,2007,2,,2
P61624e71c6,2007,25,,
P6525188e53,2007,31,,
P67d2056db6,2007,19,,
P6950e00d3b,2007,18,,28
P6a22b03d03,2007,35,,29
P7703cc27be,2007,26,,
P8bc7e2260e,2007,20,,14
P8e68185705,2007,32,,
P93e1b535ab,2007,44,,27
P971be31864,2007,33,,20
P9bd8ef5672,2007,60,,
Pa610141ccc,2007,52,,
Pac5bd0e496,2007,37,,
Pad16010a79,2007,9,,10
Pb70d7d0b57,2007,23,,24
Pba0c961d37,2007,3,,4
Pc544b8efa0,2007,24,,16
Pcb5c1e8ac6,2007,49,,
Pcd53db286a,2007,27,,18
Pd1415c96b7,2007,41,,30
Pd35ff5934d,2007,6,,3
Pd6f3aa739f,2007,17,,13
Pd84423f7e2,2007,12,,12
Pd9ad951135,2007,22,,22
Pdd125f24cc,2007,13,,17
Pea4d2012e7,2007,5,,7
Pf5e2b9f7f1,2007,30,,
Pf6d18cb839,2007,54,,
P16bd14d8e6,2008,47,,
P246009ab63,2008,43,,
P2d45174d7f,2008,2,,1
P2e38e474e2,2008,23,,14
P2fe87c73a6,2008,19,,22
P376f10f64c,2008,10,,13
P3d1eff1bca,2008,17,,
P41bc73e83b,2008,38,,
P4afc5fb3f7,2008,20,,11
P4b06d66b80,2008,50,,
P4b0ccf34e0,2008,22,,10
P4b40cf78ae,2008,35,,26
P4e0fbd7a78,2008,26,,28
P51f87bc5f4,2008,34,,20
P552ea773e2,2008,5,,4
P5f07dfebd6,2008,3,,6
P67ee7c4408,2008,11,,12
P6dfb5df5c6,2008,42,,23
P722aa856f7,2008,1,,2
P7c1c1e7eac,2008,12,,9
P7c81e9aca5,2008,9,,8
P7e5e28e6b3,2008,25,,21
P82dd1ca59f,2008,45,,
P8482acfde2,2008,53,,
P94bbcbe8b9,2008,51,,
P969f2b1c13,2008,32,,
P9f5758481a,2008,40,,
Pab534e249b,2008,14,,17
Pab86c7dfaf,2008,4,,3
Pad8df3794d,2008,46,,
Pc3a5f10000,2008,13,,24
Pd19bde5a19,2008,27,,27
Pd2241d6e4b,2008,29,,
Pd43d378f42,2008,7,,15
Pda7ff44e77,2008,15,,18
Pdb3f441dab,2008,21,,29
Pdfe2a49906,2008,8,,7
Pe67238da8c,2008,33,,
Peda84f3898,2008,6,,5
Pf14243ec5e,2008,39,,
Pf1e6555cfc,2008,24,,25
Pfcb4575061,2008,18,,16
Pffe825f9b7,2008,30,,30
P0086aec335,2009,8,18,
P117b8ca478,2009,,57,
P146ec7320a,2009,1,1,
P16997d7184,2009,,60,
P1738f63a26,2009,28,13,
P20418f8d52,2009,13,17,
P22c8154970,2009,,2,
P26f8dd510c,2009,4,3,
P2acc089d0e,2009,2,5,
P322900af3b,2009,42,48,
P3326a2a68b,2009,,36,
P3391f209f3,2009,3,4,
P38fd19ed26,2009,55,29,
P4417860ddd,2009,25,25,
P456fdc6328,2009,46,45,
P4b1ba6339f,2009,52,,
P4b68bd7095,2009,56,52,
P4c4f563b8c,2009,29,26,
P52f9046b71,2009,6,7,
P56bb4beeed,2009,44,32,
P57802757ed,2009,,38,
P57a6e7dc53,2009,49,41,
P5e4e4a8cf1,2009,19,21,
P60425a0c89,2009,21,11,
P6fd4123c4d,2009,,16,
P7b8c6b66e0,2009,9,8,
P7d7c4d5568,2009,35,22,
P8514f39741,2009,45,34,
P8afd917a6c,2009,23,31,
P922c03ccad,2009,24,14,
P977d8b209e,2009,32,30,
Pab257f8a15,2009,,23,
Pad8e6fd6b0,2009,20,6,
Pc430805a15,2009,11,12,
Pc643573699,2009,34,28,
Pc99e2f6730,2009,,40,
Pe2d0a4cddd,2009,15,15,
Pe79f6d1bdb,2009,27,10,
Pe7ad570728,2009,,27,
Pef77516e2b,2009,10,9,
Pfd96fb33e5,2009,40,,
P0aa146e53e,2010,41,31,
P0d0da4d2bc,2010,18,25,
P10d0b75bed,2010,11,15,
P11d27a665c,2010,47,41,
P1402e898dc,2010,8,14,
P24b8a1c556,2010,32,28,
P297adbbd5f,2010,7,6,
P2c1e066057,2010,27,36,
P38bff88a77,2010,20,27,
P3d55371834,2010,19,33,
P3f25ee2633,2010,13,12,
P433bbb1ab7,2010,56,39,
P440f6cc00f,2010,22,32,
P4570803785,2010,54,51,
P4793f789c0,2010,28,43,
P4d2f3d5dbd,2010,21,18,
P502aba077e,2010,16,23,
P54e531f2ec,2010,35,22,
P581e368d46,2010,58,59,
P6f36cd1fed,2010,15,8,
P6ff85cb7e1,2010,52,49,
P7072c546bd,2010,57,38,
P780225999f,2010,34,30,
P7e584efe40,2010,14,9,
P7f86ce09cc,2010,12,11,
P809c73ddd0,2010,,50,
P815e63680a,2010,36,24,
P830611c613,2010,23,17,
P871b04878c,2010,17,13,
P8fac339738,2010,9,10,
P966e81614a,2010,38,21,
P96ac6f0cd3,2010,33,53,
P97ae54051b,2010,10,16,
P9c4bb7f4c2,2010,,56,
Pa56ca2c36c,2010,24,29,
Pabb4255b19,2010,26,,
Pb3be83363c,2010,6,7,
Pb46ac34cd7,2010,30,19,
Pc58bcc8049,2010,5,5,
Pc62b6f4e46,2010,60,55,
Pc781d37e72,2010,,54,
Pcc98298533,2010,3,3,
Pd01ecb3669,2010,1,1,
Pd646388a2b,2010,25,20,
Pdc16ca4e2e,2010,29,35,
Pdcb8ac9b93,2010,48,42,
Pe03992058c,2010,42,45,
Pe6ceea2b5e,2010,51,,
Pe82bc0553e,2010,39,26,
Pe97fa79993,2010,50,40,
Peb88f22502,2010,4,4,
Pec2bc35d4f,2010,37,37,
Ped95bfcd7e,2010,2,2,
P0c700e1af1,2011,21,21,
P13a0e44cab,2011,58,54,
P148aecdd52,2011,8,16,
