pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P00e7133fc6,2019,1.0,1,0.0,2
P023bbe5ec1,2019,34.0,34,,1
P14a01dedf9,2019,39.0,39,,1
P18facb688d,2019,53.0,53,,1
P1a41a85440,2019,54.0,54,,1
P2084d7c5fc,2019,36.0,36,,1
P273938bb97,2019,18.0,18,,1
P297d12820e,2019,6.5,6,1.0,2
P2f4b26e6e1,2019,22.0,22,,1
P338a42b9d0,2019,33.0,33,,1
P37457bff4f,2019,46.0,46,,1
P43dec358d1,2019,5.5,5,1.0,2
P4832cf3ea3,2019,26.0,26,,1
P4a79c6caeb,2019,27.0,27,,1
P4ebfdd4833,2019,21.0,21,,1
P5277c76d51,2019,20.0,20,,1
P5cd98708f1,2019,13.0,12,2.0,2
P6a3fce0af3,2019,31.0,31,,1
P6a5f6ac2d8,2019,13.0,11,4.0,2
P6b5b70ee01,2019,57.0,57,,1
P6f1d3c64d2,2019,11.0,11,,1
P714602a9aa,2019,17.0,17,,1
P7c5888ec9d,2019,38.0,38,,1
P7ff4af5e7c,2019,48.0,48,,1
P8209ad6040,2019,18.5,12,13.0,2
P846172a369,2019,4.5,4,1.0,2
P8df31bfe17,2019,24.0,24,,1
P90a39c14ab,2019,41.0,41,,1
P9540818d9f,2019,13.0,13,0.0,2
P9b3e496395,2019,44.0,44,,1
Pa4c28f80ad,2019,15.0,15,,1
Pa9cae64430,2019,3.0,3,0.0,2
Pab169ed872,2019,40.0,40,,1
Pb0f44d6b69,2019,58.0,58,,1
Pb14e5c1c97,2019,55.0,55,,1
Pb14f594f0a,2019,29.0,29,,1
Pb16e641fe9,2019,30.0,30,,1
Pb1eb09fa94,2019,35.0,35,,1
Pb69fbd28c6,2019,52.0,52,,1
Pbc4309c829,2019,5.5,4,3.0,2
Pbea2d75e26,2019,10.0,10,0.0,2
Pc3b8b90cf8,2019,50.0,50,,1
Pc53511377b,2019,45.0,45,,1
Pd17e70140c,2019,16.0,16,,1
Pd50729b5d0,2019,49.0,49,,1
Pd88f1bdac2,2019,56.0,56,,1
Ped6b9a1a7c,2019,9.0,9,0.0,2
Peecc71d248,2019,23.0,23,,1
Pf1b3205a09,2019,37.0,37,,1
Pf450c7fe3d,2019,43.0,43,,1
Pfe4fcea486,2019,2.0,2,0.0,2
P04526b8576,2020,19.0,19,,1
P076dcdb147,2020,30.0,30,,1
P08bc96e9be,2020,40.0,40,,1
P0cd98a270c,2020,22.0,22,,1
P1388f2fd26,2020,11.0,11,,1
P170284fab5,2020,36.0,36,,1
P173da90181,2020,42.0,42,,1
P1cf3ac09b1,2020,50.0,50,,1
P272ac40c3c,2020,10.0,10,,1
P289da7f9c1,2020,12.0,12,,1
P2b95cb9990,2020,53.0,53,,1
P32d7e7e1eb,2020,32.0,32,,1
P34a08a87d4,2020,48.0,48,,1
P35f0fb7731,2020,1.5,1,1.0,2
P388cb0d5da,2020,11.0,4,14.0,2
P3c885ec031,2020,14.0,3,22.0,2
P3ff36ffdc1,2020,5.5,3,5.0,2
P41612ab4e2,2020,5.0,5,,1
P429838957d,2020,26.0,26,,1
P48772fff87,2020,35.0,35,,1
P4cd6438cc3,2020,57.0,57,,1
P6142a39d2b,2020,59.0,59,,1
P6232d5a44f,2020,6.0,6,,1
