pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P0ba0d4e186,2015,48.5,43,11.0,2
P11ed05516e,2015,6.5,6,1.0,2
P128f74a48f,2015,31.5,29,5.0,2
P16f77dc0c6,2015,23.0,21,4.0,2
P1b292d5147,2015,21.5,19,5.0,2
P1c43036b93,2015,22.5,22,1.0,2
P2297a93a7f,2015,10.5,8,5.0,2
P2c58b86e78,2015,53.5,53,1.0,2
P2e8c779b09,2015,38.5,36,5.0,2
P3cfad83e39,2015,22.5,17,11.0,2
P3e493925a2,2015,5.5,4,3.0,2
P4a125216bc,2015,35.0,33,4.0,2
P4ba2b4830d,2015,43.0,43,,1
P5492e07ad3,2015,14.5,13,3.0,2
P5849f19551,2015,37.5,31,13.0,2
P5a591d3e24,2015,1.0,1,,1
P67cf99c3eb,2015,3.0,3,0.0,2
P7d77f683c0,2015,12.0,9,6.0,2
P831df49905,2015,41.0,32,18.0,2
P83f630794b,2015,43.5,41,5.0,2
P84b2e1b413,2015,41.5,37,9.0,2
P8d6369038a,2015,20.0,19,2.0,2
P944090784f,2015,47.0,45,4.0,2
P94d904f95a,2015,18.0,16,4.0,2
P9a02cf437c,2015,18.0,18,0.0,2
P9b0b27ae5d,2015,11.0,11,,1
P9e418f4c91,2015,55.0,53,4.0,2
Pa24dadc449,2015,35.0,34,2.0,2
Pa48064fa8c,2015,52.0,52,,1
Pb067831a66,2015,27.0,27,0.0,2
Pb4e1522182,2015,22.0,22,,1
Pb88d2f0541,2015,55.0,55,,1
Pb9c495a67d,2015,2.0,2,0.0,2
Pc3390f55d0,2015,5.5,5,1.0,2
Pce2a43b358,2015,11.5,9,5.0,2
Pcf63b744fe,2015,21.5,17,9.0,2
Pcfe0d93659,2015,43.5,39,9.0,2
Pd0eaa15469,2015,27.0,25,4.0,2
Pd3473cff83,2015,47.0,38,18.0,2
Pdaafce7eb6,2015,58.0,58,,1
Pe71646e585,2015,27.0,24,6.0,2
Pe7f5f31a46,2015,38.5,30,17.0,2
Pea73008ab4,2015,44.5,42,5.0,2
Peaf1686cc0,2015,12.0,12,0.0,2
Pec96a14b85,2015,12.0,10,4.0,2
Pf1eb0b11c1,2015,4.5,4,1.0,2
Pf21d262b1c,2015,42.5,40,5.0,2
Pf634b73f97,2015,40.5,31,19.0,2
Pfd690eb68d,2015,38.0,38,,1
Pff77feae98,2015,9.0,8,2.0,2
P07954fea73,2016,19.0,15,8.0,2
P0edb7d3b99,2016,39.0,33,12.0,2
P0fde3dedb2,2016,1.0,1,0.0,2
P117a6c6fb1,2016,2.0,2,0.0,2
P16f60c6002,2016,59.0,59,,1
P1a32cd4176,2016,28.5,27,3.0,2
P25bfc6427b,2016,25.0,22,6.0,2
P3ea09a4d42,2016,50.0,50,,1
P47380ec945,2016,4.0,4,0.0,2
P4a1b07df85,2016,23.0,20,6.0,2
P4b59f5fe56,2016,31.5,27,9.0,2
P4ec4ee54f1,2016,4.0,3,2.0,2
P521ea871d2,2016,60.0,60,,1
P53f786523f,2016,7.0,7,0.0,2
P55d1c5e102,2016,41.0,34,14.0,2
P55f0d03e7b,2016,47.0,44,6.0,2
P620501ed0d,2016,10.5,8,5.0,2
P64adb31e4d,2016,20.0,19,2.0,2
P6f92e02de4,2016,14.5,12,5.0,2
P83cf60968a,2016,46.0,39,14.0,2
P85b94bf602,2016,57.0,57,,1
P85fbcb1dce,2016,37.5,33,9.0,2
P88064c1c05,2016,20.0,18,4.0,2
P88f4dbf943,2016,9.0,9,0.0,2
P8935abbbb4,2016,46.0,46,,1
P8a2a3c7c07,2016,9.0,8,2.0,2
P8e900c2247,2016,51.5,45,13.0,2
P9155961dd2,2016,4.0,3,2.0,2
P9260f65add,2016,55.0,55,,1
P9264b6e63a,2016,13.0,10,6.0,2
P9668122fb9,2016,15.0,14,2.0,2
P9c2d575f48,2016,38.5,34,9.0,2
Pa307fde308,2016,45.0,38,14.0,2
Pa466887b08,2016,25.0,24,2.0,2
Pa7cb2c7354,2016,52.5,49,7.0,2
Pa8fc4b7ad7,2016,54.0,54,,1
Paca468f5b5,2016,35.0,35,,1
Pb3a7a6f86b,2016,33.5,24,19.0,2
Pb3e495f583,2016,59.0,59,,1
Pbd6175d1ad,2016,57.0,57,,1
Pbfe4edf289,2016,26.5,23,7.0,2
Pc1c99fe2be,2016,14.0,13,2.0,2
Pc5a8d9d1d6,2016,25.5,20,11.0,2
Pcf60b82b9d,2016,40.5,32,17.0,2
Pd46f6361f5,2016,49.0,40,18.0,2
Pd50459cb6d,2016,19.5,18,3.0,2
Pd5a40a7ee0,2016,41.5,36,11.0,2
Pd7c989b67a,2016,33.0,31,4.0,2
Pd856e50561,2016,11.0,11,0.0,2
Pddcf4609af,2016,25.0,25,0.0,2
Pe2eac4ddf4,2016,38.0,38,,1
Pf20205fffb,2016,39.0,37,4.0,2
Pf5fb4e36b6,2016,42.5,41,3.0,2
Pf8b83ac1f0,2016,49.0,42,14.0,2
Pf9ebd1b271,2016,6.0,6,0.0,2
Pfa4c05beee,2016,30.5,29,3.0,2
Pfd95ad31d4,2016,51.0,51,,1
P032d23c9d9,2017,25.0,18,14.0,2
P0af0ac79ae,2017,16.5,16,1.0,2
P0d567b6867,2017,45.0,40,10.0,2
P10187f6389,2017,58.0,58,,1
P16938f3fa9,2017,30.5,23,15.0,2
P1804943702,2017,46.0,43,6.0,2
P1e22570fac,2017,22.5,20,5.0,2
P1ea9c7c88d,2017,39.0,38,2.0,2
P204a101867,2017,32.5,32,1.0,2
P22340c4458,2017,45.0,45,,1
P24e5e8b7dc,2017,17.5,16,3.0,2
P25e61f80f8,2017,1.0,1,0.0,2
P27a35575e9,2017,53.0,53,,1
P2acab9acdb,2017,49.5,44,11.0,2
P2ad4235514,2017,30.0,30,0.0,2
P2c3a1eb46b,2017,15.0,15,0.0,2
P2e6be7d23b,2017,32.0,31,2.0,2
P38e6db5ca1,2017,33.0,31,4.0,2
P3e5c820c70,2017,50.0,49,2.0,2
P4396f0664b,2017,56.0,56,,1
P459acdec33,2017,24.5,22,5.0,2
P46cfb45fde,2017,11.0,8,6.0,2
P49d50fc2b5,2017,13.0,13,0.0,2
P4a000d48b0,2017,7.5,7,1.0,2
P5351e63d76,2017,50.0,47,6.0,2
P54d4de841c,2017,26.0,24,4.0,2
P551a484de7,2017,30.0,26,8.0,2
P5f230da818,2017,51.0,51,,1
P63f00af37c,2017,29.0,23,12.0,2
P6e7d02b021,2017,2.0,2,0.0,2
P6f43cf2ee3,2017,5.0,5,0.0,2
P71b16faf7a,2017,12.0,12,0.0,2
P74d19df6a2,2017,37.0,37,,1
P86ef73625c,2017,51.0,45,12.0,2
P8a2034c01d,2017,4.5,3,3.0,2
P964dd1e5f4,2017,41.5,36,11.0,2
P9d178fdf5d,2017,48.0,46,4.0,2
