pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
P0035c2f0b3,2023,,24.0,
P0057628fa2,2021,,17.0,
P00e7133fc6,2019,,1.0,1.0
P011de6a94b,2026,,19.0,
P023bbe5ec1,2019,,34.0,
P0326e23b0d,2021,,34.0,
P032d23c9d9,2017,32.0,18.0,
P03f35a2855,2026,,20.0,
P04526b8576,2020,,19.0,
P05f9ca4653,2021,,15.0,
P07268bf0e1,2025,,4.0,
P076dcdb147,2020,,30.0,
P07954fea73,2016,23.0,15.0,
P07bb9cb58f,2023,,51.0,
P08bc96e9be,2020,,40.0,
P0af0ac79ae,2017,17.0,16.0,
P0b253c1504,2023,,17.0,
P0b55371179,2026,,35.0,
P0ba0d4e186,2015,43.0,54.0,
P0cd98a270c,2020,,22.0,
P0d567b6867,2017,50.0,40.0,
P0d5beb0152,2026,,7.0,
P0d7bcc4d57,2024,,38.0,
P0db0d3c576,2023,,21.0,
P0edb7d3b99,2016,33.0,45.0,
P0edbaa5011,2024,,33.0,
P0f6f43de8d,2024,,54.0,
P0fc299eb1c,2026,,16.0,
P0fde3dedb2,2016,1.0,1.0,
P10187f6389,2017,58.0,,
P117a6c6fb1,2016,2.0,2.0,
P1191691c20,2022,,23.0,
P11ed05516e,2015,6.0,7.0,
P123f055136,2022,,45.0,
P128f74a48f,2015,29.0,34.0,
P12ee990c18,2025,,5.0,
P1388f2fd26,2020,,11.0,
P13f5a8ca49,2024,,15.0,
P144ed94c77,2023,,1.0,
P14882ceff6,2022,,15.0,
P14a01dedf9,2019,,39.0,
P152905cef4,2021,,45.0,
P155e770e32,2025,,43.0,
P15b5ca7021,2018,,44.0,
P15b8c13058,2025,,17.0,
P16938f3fa9,2017,38.0,23.0,
P169cb5be9a,2026,,55.0,
P16b88a2183,2022,,4.0,
P16f60c6002,2016,59.0,,
P16f77dc0c6,2015,21.0,25.0,
P170284fab5,2020,,36.0,
P1715fe72c5,2026,,44.0,
P1723d857f7,2026,,54.0,
P173da90181,2020,,42.0,
P17f11f33c2,2018,,,5.0
P1804943702,2017,49.0,43.0,
P18c14dbf8f,2023,,47.0,
P18facb688d,2019,,53.0,
P1999b4880f,2023,,4.0,
P1a135db58f,2025,,8.0,
P1a32cd4176,2016,27.0,30.0,
P1a41a85440,2019,,54.0,
P1a46c41bff,2018,,49.0,
P1a8fd8dc98,2024,,39.0,
P1b292d5147,2015,24.0,19.0,
P1c43036b93,2015,23.0,22.0,
P1ccfa6c1ee,2024,,21.0,
P1cf3ac09b1,2020,,50.0,
P1e1b55c58c,2021,,35.0,
P1e22570fac,2017,20.0,25.0,
P1e59a7a7a1,2023,,5.0,
P1ea9c7c88d,2017,40.0,38.0,
P1f3e01b488,2018,,13.0,
P204a101867,2017,33.0,32.0,
P20596267f7,2022,,21.0,
P2084d7c5fc,2019,,36.0,
P2086e31fc5,2026,,17.0,
P212def8838,2018,,43.0,
P21372aaded,2021,,41.0,
P22340c4458,2017,45.0,,
P2297a93a7f,2015,13.0,8.0,
P22caf129cd,2022,,59.0,
P23152d31e2,2024,,1.0,
P24c85e006b,2025,,29.0,
P24e5e8b7dc,2017,16.0,19.0,
P259fbebd69,2025,,40.0,
P25bfc6427b,2016,28.0,22.0,
P25e61f80f8,2017,1.0,1.0,
P26ad072598,2023,,34.0,
P26d2a90c5b,2018,,19.0,
P272ac40c3c,2020,,10.0,
P273938bb97,2019,,18.0,
P277e56e049,2025,,51.0,
P279cdc2712,2026,,22.0,
P27a35575e9,2017,53.0,,
P27d264f43c,2018,,39.0,
P289da7f9c1,2020,,12.0,
P297d12820e,2019,,6.0,7.0
P2a6c79e3dc,2023,,26.0,
P2a77fa93f7,2024,,4.0,
P2acab9acdb,2017,44.0,55.0,
P2ad4235514,2017,30.0,30.0,
P2b95cb9990,2020,,53.0,
P2bc6f2a3aa,2024,,28.0,
P2c3a1eb46b,2017,15.0,15.0,
P2c58b86e78,2015,54.0,53.0,
P2c7c71307b,2024,,46.0,
P2c8aa67899,2021,,13.0,
P2db6f2cc8f,2023,,36.0,
P2e6be7d23b,2017,31.0,33.0,
P2e8c779b09,2015,36.0,41.0,
P2f4b26e6e1,2019,,22.0,
P307cead4af,2025,,32.0,
P30aaba02d5,2021,,46.0,
P318e86822c,2025,,20.0,
P328a9a467a,2026,,50.0,
P32d7e7e1eb,2020,,32.0,
P32fecc73d2,2025,,13.0,
P32ff4229d3,2024,,11.0,
P3364db28a5,2021,,52.0,
P338a42b9d0,2019,,33.0,
P34a08a87d4,2020,,48.0,
P35654567c0,2024,,29.0,
P35f0fb7731,2020,,1.0,2.0
P3651ab0a99,2025,,33.0,
P37457bff4f,2019,,46.0,
P3778eacc6f,2026,,42.0,
P379ec45447,2018,,47.0,
P388cb0d5da,2020,,18.0,4.0
P38e6db5ca1,2017,35.0,31.0,
P392363bcf2,2021,,10.0,
P3a3a5bbbef,2022,,13.0,
P3a5b76349f,2022,,10.0,
P3b1e823247,2022,,36.0,
P3c885ec031,2020,,25.0,3.0
P3cfad83e39,2015,17.0,28.0,
P3d8ccdb639,2025,,1.0,
P3dfb31f267,2026,,11.0,
P3e065b4b4e,2018,,46.0,
P3e493925a2,2015,7.0,4.0,
P3e5c820c70,2017,51.0,49.0,
P3ea09a4d42,2016,,50.0,
P3ebbedffb1,2022,,52.0,
P3ee6bf444e,2025,,6.0,
P3f654a33fe,2025,,19.0,
P3f77f707c0,2018,,42.0,
P3ff36ffdc1,2020,,3.0,8.0
P4110110f37,2021,,33.0,
P416088a2b5,2022,,27.0,
P41612ab4e2,2020,,5.0,
P424c3aa3f2,2024,,12.0,
