candidate_id,draft_year,player_name_source,name_normalized,source_category,affiliation_source,eligibility_status,positive_eligibility_evidence,registry_cutoff_date,latest_evidence_available_date,first_observed_entry_evidence_date,event_ids,latest_source_id,global_person_identity_status,complete_eligible_cohort
elig_2012_00ada074e8dc998345c5,2012,Perry Jones III,perryjonesiii,college,Baylor,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L80,2012_final,unresolved_source_local_id,False
elig_2012_017e564963c711022bed,2012,Moe Harkless,moeharkless,college,St. John’s,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L75,2012_final,unresolved_source_local_id,False
elig_2012_0623b71cc44f29d78ce0,2012,Andre Drummond,andredrummond,college,Connecticut,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L69,2012_final,unresolved_source_local_id,False
elig_2012_090538a849b4a8c0f224,2012,Jeremy Lamb,jeremylamb,college,Connecticut,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L90,2012_final,unresolved_source_local_id,False
elig_2012_09a217feafa8b0ac9baf,2012,Jonathon Simmons,jonathonsimmons,college,Houston,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L122,2012_final,unresolved_source_local_id,False
elig_2012_13a2cb0047538ef2ff03,2012,Marquis Teague,marquisteague,college,Kentucky,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L130,2012_final,unresolved_source_local_id,False
elig_2012_1a785c11e92af0f8f6bc,2012,Nika Metreveli,nikametreveli,international,Sassari (Italy),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L38,2012_final,unresolved_source_local_id,False
elig_2012_232510123dc0fc0bb550,2012,J’Covan Brown,jcovanbrown,college,Texas,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L61,2012_final,unresolved_source_local_id,False
elig_2012_23a8d772053474018847,2012,Thomas Robinson,thomasrobinson,college,Kansas,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L115,2012_final,unresolved_source_local_id,False
elig_2012_26994a0839f0b3d78026,2012,Meyers Leonard,meyersleonard,college,Illinois,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L92,2012_final,unresolved_source_local_id,False
elig_2012_2f2aa9f8a51225cfffb5,2012,Hollis Thompson,hollisthompson,college,Georgetown,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L134,2012_final,unresolved_source_local_id,False
elig_2012_3b28b477834e9e60d4ce,2012,Jared Cunningham,jaredcunningham,college,Oregon State,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L65,2012_final,unresolved_source_local_id,False
elig_2012_3b88249197e259215ea1,2012,Abdoulaye Loum,abdoulayeloum,international,Gravelines (France),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L36,2012_final,unresolved_source_local_id,False
elig_2012_3e57026bd03e91d7840f,2012,Mathieu Wojciechowski,mathieuwojciechowski,international,Gravelines (France),eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L162,2012_final,unresolved_source_local_id,False
elig_2012_422ef2d25d68f21594fb,2012,John Jenkins,johnjenkins,college,Vanderbilt,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L78,2012_final,unresolved_source_local_id,False
elig_2012_44d1cbcc5fd6bdf6ebb8,2012,Quincy Roberts,quincyroberts,college,Grambling State,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L113,2012_final,unresolved_source_local_id,False
elig_2012_44d2b5440b9849304e52,2012,Nemanja Nedovic,nemanjanedovic,international,Crvena Zvezda (Serbia),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L40,2012_final,unresolved_source_local_id,False
elig_2012_453992ff8044371a1d76,2012,Maximilian Klebers,maximilianklebers,international,Oliver Baskets (Germany),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L29,2012_final,unresolved_source_local_id,False
elig_2012_4a16e6f1d69fea70c3ea,2012,Tony Mitchell,tonymitchell,college,Alabama,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L103,2012_final,unresolved_source_local_id,False
elig_2012_4d85f3079c20887cca98,2012,Jared Sullinger,jaredsullinger,college,Ohio State,eligible_final_early_entry,True,2012-06-19,2012-06-19,,nba_pr_2012_final_L128,2012_final,unresolved_source_local_id,False
elig_2012_5274312c71fcd5904550,2012,Lahaou Konate,lahaoukonate,international,Evreux (France),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L31,2012_final,unresolved_source_local_id,False
elig_2012_545506ec30b7974db21a,2012,Jakub Parzenski,jakubparzenski,international,PGB Basket (Poland),withdrawn,False,2012-06-19,2012-06-19,,nba_pr_2012_final_L42,2012_final,unresolved_source_local_id,False
