event_id,candidate_id,draft_year,player_name_source,name_normalized,source_category,affiliation_source,status,evidence_available_date,event_effective_date,evidence_date_basis,source_id,source_url,source_view_line,source_capture_sha256
nba_pr_2014_initial_L20,elig_2014_ab05519aec2b2cee20bd,2014,Jordan Adams,jordanadams,college,UCLA,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,20,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L21,elig_2014_38372a609ebe534e60de,2014,William Alston,williamalston,college,CC of Baltimore County Dundalk,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,21,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L22,elig_2014_fd93b422886ceab68ae0,2014,Mychal Ammons,mychalammons,college,South Alabama,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,22,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L23,elig_2014_fe298b23c59028c193a2,2014,Kyle Anderson,kyleanderson,college,UCLA,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,23,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L24,elig_2014_b90b24c4ffeed1acc838,2014,Isaiah Austin,isaiahaustin,college,Baylor,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,24,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L25,elig_2014_522da5a4f092d0b77729,2014,Chane Behanan,chanebehanan,college,Louisville,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,25,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L26,elig_2014_b064a388e43bd8210056,2014,Sim Bhullar,simbhullar,college,New Mexico State,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,26,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L27,elig_2014_16e17287bd2094cb58dd,2014,Khem Birch,khembirch,college,UNLV,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,27,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L28,elig_2014_f837b5df4d42ea9f5a4f,2014,Jabari Brown,jabaribrown,college,Missouri,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,28,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L29,elig_2014_7f872d9db8c2047dd57e,2014,Jahii Carson,jahiicarson,college,Arizona State,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,29,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L30,elig_2014_4fa5586dd380261e3567,2014,Semaj Christon,semajchriston,college,Xavier,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,30,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L31,elig_2014_f11e4c5529af5d89c180,2014,Jordan Clarkson,jordanclarkson,college,Missouri,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,31,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L32,elig_2014_42002b9e290190c99ec1,2014,DeAndre Daniels,deandredaniels,college,Connecticut,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,32,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L33,elig_2014_daa63c32df2289560bf9,2014,Spencer Dinwiddie,spencerdinwiddie,college,Colorado,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,33,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L34,elig_2014_5bf15c194a08f0fafd0a,2014,Joel Embiid,joelembiid,college,Kansas,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,34,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L35,elig_2014_a45d24490bcc69c503bd,2014,Tyler Ennis,tylerennis,college,Syracuse,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,35,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
nba_pr_2014_initial_L36,elig_2014_2e1cfbe2a705e202f30e,2014,Aaron Gordon,aarongordon,college,Arizona,declared_unresolved,2014-04-30,,publisher_release_date; exact player filing/withdrawal date unknown,2014_initial,https://pr.nba.com/2014-nba-draft-early-entry-candidates/,36,280bf137c38f8d7c5b27969d668b7aab39cd1228114769cba14960ac4535139f
