pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P00e7133fc6,2019,,78.0,280.0,32.3569168801717,1.0,0.0,0.0,0.0,1.0,0.0
P023bbe5ec1,2019,,79.0,240.0,27.036804857138005,3.0,0.0,0.0,0.0,1.0,0.0
P14a01dedf9,2019,,72.0,200.0,27.124597979905836,3.0,1.0,0.0,0.0,0.0,0.0
P18facb688d,2019,,78.0,205.0,23.689885572982853,4.0,0.0,1.0,0.0,0.0,0.0
P1a41a85440,2019,,80.0,215.0,23.618743691003008,1.0,0.0,0.0,1.0,1.0,0.0
P2084d7c5fc,2019,,77.0,240.0,28.459554581446827,4.0,0.0,0.0,1.0,0.0,0.0
P273938bb97,2019,,86.0,210.0,19.962765241241677,1.0,0.0,0.0,0.0,0.0,1.0
P297d12820e,2019,,74.0,175.0,22.46843981681024,1.0,1.0,0.0,0.0,0.0,0.0
P2f4b26e6e1,2019,,82.0,240.0,25.09469052846494,2.0,0.0,0.0,0.0,1.0,1.0
P338a42b9d0,2019,,81.0,190.0,20.360192063929322,2.0,0.0,0.0,0.0,1.0,0.0
P37457bff4f,2019,,76.0,220.0,26.77896598348599,1.0,0.0,1.0,0.0,0.0,0.0
P43dec358d1,2019,,77.0,190.0,22.53048071031207,1.0,1.0,1.0,0.0,0.0,0.0
P4832cf3ea3,2019,,78.0,200.0,23.11208348583693,4.0,0.0,1.0,1.0,0.0,0.0
P4a79c6caeb,2019,,80.0,230.0,25.266563018282287,2.0,0.0,0.0,0.0,1.0,0.0
P4ebfdd4833,2019,,78.0,195.0,22.534281398691007,1.0,0.0,1.0,0.0,0.0,0.0
P5277c76d51,2019,,83.0,250.0,25.514210322222358,,0.0,0.0,0.0,0.0,1.0
P5cd98708f1,2019,,82.0,240.0,25.09469052846494,2.0,0.0,0.0,0.0,0.0,1.0
P6a3fce0af3,2019,,80.0,195.0,21.421651254630635,1.0,0.0,0.0,1.0,0.0,0.0
P6a5f6ac2d8,2019,,78.0,225.0,26.001093921566547,1.0,0.0,0.0,1.0,0.0,0.0
P6b5b70ee01,2019,,76.0,185.0,22.51867594065867,,1.0,1.0,0.0,0.0,0.0
P6f1d3c64d2,2019,,77.0,,,2.0,0.0,1.0,0.0,0.0,0.0
P714602a9aa,2019,,78.0,210.0,24.267687660128775,1.0,0.0,1.0,0.0,0.0,0.0
P7c5888ec9d,2019,,80.0,235.0,25.815836127375377,2.0,0.0,0.0,1.0,1.0,0.0
P7ff4af5e7c,2019,,79.0,255.0,28.72660516070913,4.0,0.0,0.0,0.0,1.0,0.0
P8209ad6040,2019,,82.0,255.0,26.663108686494002,2.0,0.0,0.0,0.0,1.0,1.0
P846172a369,2019,,79.0,225.0,25.34700455356688,2.0,0.0,0.0,1.0,1.0,0.0
