pid,draft_year,source_id,publisher,archive_url,source_url,capture_utc,draft_date,source_last_updated_date,table_sha256,html_sha256,rank_facts_sha256,cell_sha256,profile_href,source_row_ordinal,age_precision_years,layout,raw_typed_tokens_json,missing_reasons_json
Pb9c495a67d,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,85f18f07d81b6817ac141563ddeafc0e90f6a36d5690740e13ef201b04d41056,/profile/Jahlil-Okafor-6469/,2,0.1,dx_text,{},{}
P67cf99c3eb,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,3192353f28b10b20b821379d28468a8e012f42c4976254bff56929d652338ef2,/profile/D-Angelo-Russell-7175/,3,0.1,dx_text,{},{}
Pf1eb0b11c1,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,45b4165ec21c861bf46ec0ee4de5c23747a042ff327b070d2c7e27b181145ca7,/profile/Kristaps-Porzingis-7119/,4,0.1,dx_text,{},{}
Pc3390f55d0,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,14b75d4cde2b4e1dcc46e362012d9f2b9e1db209fc043b743efb7deeb38cca58,/profile/Justise-Winslow-7190/,5,0.1,dx_text,{},{}
P11ed05516e,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,e2c82291123ce3b302ecaa3b70f345b1f4fe6703d0f09070118f3c0a506adeaf,/profile/Mario-Hezonja-6392/,6,0.1,dx_text,{},{}
P3e493925a2,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,6d57be16a79e827c1fa92a69f5f547c947fe99888187a18fc9ec85e0cc307da2,/profile/Emmanuel-Mudiay-6472/,7,0.1,dx_text,{},{}
Pff77feae98,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,3cc36e11c7877d94ad0b51cba6b08e810b097829bf678972ae4b401e3e2ad330,/profile/Stanley-Johnson-46065/,8,0.1,dx_text,{},{}
P7d77f683c0,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,5742586919acca2a3c1ef90ca4cf95445a98229e31dae3ac96789748036fa965,/profile/Devin-Booker-7216/,9,0.1,dx_text,{},{}
Pec96a14b85,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,cfb4876289864737de25fe1b89fb77866ecda7bc43ef8079d01c1808cba78a06,/profile/Frank-Kaminsky-41066/,10,0.1,dx_text,{},{}
P9b0b27ae5d,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2022c53c7f4f6b24de05291aa0dbf564b76c143c2f7086c99f9b835af196681c,/profile/Willie-Cauley-Stein-6441/,11,0.1,dx_text,{},{}
