pid,draft_year,source_id,publisher
P0ba0d4e186,2015,dx_2015,dx
P11ed05516e,2015,dx_2015,dx
P128f74a48f,2015,dx_2015,dx
P16f77dc0c6,2015,dx_2015,dx
P1b292d5147,2015,dx_2015,dx
P1c43036b93,2015,dx_2015,dx
P2297a93a7f,2015,dx_2015,dx
P2c58b86e78,2015,dx_2015,dx
P2e8c779b09,2015,dx_2015,dx
P3cfad83e39,2015,dx_2015,dx
P3e493925a2,2015,dx_2015,dx
P4a125216bc,2015,dx_2015,dx
P4ba2b4830d,2015,nbadraft_2015,nbadraft
P5492e07ad3,2015,dx_2015,dx
P5849f19551,2015,dx_2015,dx
P5a591d3e24,2015,nbadraft_2015,nbadraft
P67cf99c3eb,2015,dx_2015,dx
P7d77f683c0,2015,dx_2015,dx
P831df49905,2015,dx_2015,dx
P83f630794b,2015,dx_2015,dx
P84b2e1b413,2015,dx_2015,dx
P8d6369038a,2015,dx_2015,dx
P944090784f,2015,dx_2015,dx
P94d904f95a,2015,dx_2015,dx
P9a02cf437c,2015,dx_2015,dx
P9b0b27ae5d,2015,dx_2015,dx
P9e418f4c91,2015,dx_2015,dx
Pa24dadc449,2015,dx_2015,dx
Pa48064fa8c,2015,nbadraft_2015,nbadraft
Pb067831a66,2015,dx_2015,dx
Pb4e1522182,2015,dx_2015,dx
Pb88d2f0541,2015,dx_2015,dx
Pb9c495a67d,2015,dx_2015,dx
Pc3390f55d0,2015,dx_2015,dx
Pce2a43b358,2015,dx_2015,dx
Pcf63b744fe,2015,dx_2015,dx
Pcfe0d93659,2015,dx_2015,dx
Pd0eaa15469,2015,dx_2015,dx
Pd3473cff83,2015,dx_2015,dx
Pdaafce7eb6,2015,nbadraft_2015,nbadraft
Pe71646e585,2015,dx_2015,dx
Pe7f5f31a46,2015,dx_2015,dx
Pea73008ab4,2015,dx_2015,dx
Peaf1686cc0,2015,dx_2015,dx
Pec96a14b85,2015,dx_2015,dx
Pf1eb0b11c1,2015,dx_2015,dx
Pf21d262b1c,2015,dx_2015,dx
Pf634b73f97,2015,dx_2015,dx
Pfd690eb68d,2015,nbadraft_2015,nbadraft
Pff77feae98,2015,dx_2015,dx
P07954fea73,2016,dx_2016,dx
P0edb7d3b99,2016,dx_2016,dx
P0fde3dedb2,2016,dx_2016,dx
P117a6c6fb1,2016,dx_2016,dx
P16f60c6002,2016,dx_2016,dx
P1a32cd4176,2016,dx_2016,dx
P25bfc6427b,2016,dx_2016,dx
P3ea09a4d42,2016,nbadraft_2016_fallback,nbadraft
P47380ec945,2016,dx_2016,dx
P4a1b07df85,2016,dx_2016,dx
P4b59f5fe56,2016,dx_2016,dx
P4ec4ee54f1,2016,dx_2016,dx
P521ea871d2,2016,nbadraft_2016_fallback,nbadraft
P53f786523f,2016,dx_2016,dx
P55d1c5e102,2016,dx_2016,dx
P55f0d03e7b,2016,dx_2016,dx
P620501ed0d,2016,dx_2016,dx
P64adb31e4d,2016,dx_2016,dx
P6f92e02de4,2016,dx_2016,dx
P83cf60968a,2016,dx_2016,dx
P85b94bf602,2016,nbadraft_2016_fallback,nbadraft
P85fbcb1dce,2016,dx_2016,dx
P88064c1c05,2016,dx_2016,dx
P88f4dbf943,2016,dx_2016,dx
P8935abbbb4,2016,dx_2016,dx
P8a2a3c7c07,2016,dx_2016,dx
P8e900c2247,2016,dx_2016,dx
P9155961dd2,2016,dx_2016,dx
P9260f65add,2016,dx_2016,dx
P9264b6e63a,2016,dx_2016,dx
P9668122fb9,2016,dx_2016,dx
P9c2d575f48,2016,dx_2016,dx
Pa307fde308,2016,dx_2016,dx
Pa466887b08,2016,dx_2016,dx
Pa7cb2c7354,2016,dx_2016,dx
Pa8fc4b7ad7,2016,nbadraft_2016_fallback,nbadraft
Paca468f5b5,2016,dx_2016,dx
Pb3a7a6f86b,2016,dx_2016,dx
Pb3e495f583,2016,nbadraft_2016_fallback,nbadraft
Pbd6175d1ad,2016,dx_2016,dx
Pbfe4edf289,2016,dx_2016,dx
Pc1c99fe2be,2016,dx_2016,dx
Pc5a8d9d1d6,2016,dx_2016,dx
Pcf60b82b9d,2016,dx_2016,dx
Pd46f6361f5,2016,dx_2016,dx
Pd50459cb6d,2016,dx_2016,dx
Pd5a40a7ee0,2016,dx_2016,dx
Pd7c989b67a,2016,dx_2016,dx
Pd856e50561,2016,dx_2016,dx
Pddcf4609af,2016,dx_2016,dx
Pe2eac4ddf4,2016,dx_2016,dx
Pf20205fffb,2016,dx_2016,dx
Pf5fb4e36b6,2016,dx_2016,dx
Pf8b83ac1f0,2016,dx_2016,dx
Pf9ebd1b271,2016,dx_2016,dx
Pfa4c05beee,2016,dx_2016,dx
Pfd95ad31d4,2016,dx_2016,dx
P032d23c9d9,2017,dx_2017,dx
P0af0ac79ae,2017,dx_2017,dx
P0d567b6867,2017,dx_2017,dx
P10187f6389,2017,dx_2017,dx
P16938f3fa9,2017,dx_2017,dx
P1804943702,2017,dx_2017,dx
P1e22570fac,2017,dx_2017,dx
P1ea9c7c88d,2017,dx_2017,dx
P204a101867,2017,dx_2017,dx
P22340c4458,2017,dx_2017,dx
P24e5e8b7dc,2017,dx_2017,dx
P25e61f80f8,2017,dx_2017,dx
P27a35575e9,2017,dx_2017,dx
P2acab9acdb,2017,dx_2017,dx
P2ad4235514,2017,dx_2017,dx
P2c3a1eb46b,2017,dx_2017,dx
P2e6be7d23b,2017,dx_2017,dx
P38e6db5ca1,2017,dx_2017,dx
P3e5c820c70,2017,dx_2017,dx
P4396f0664b,2017,nbadraft_2017,nbadraft
P459acdec33,2017,dx_2017,dx
P46cfb45fde,2017,dx_2017,dx
P49d50fc2b5,2017,dx_2017,dx
P4a000d48b0,2017,dx_2017,dx
P5351e63d76,2017,dx_2017,dx
P54d4de841c,2017,dx_2017,dx
P551a484de7,2017,dx_2017,dx
P5f230da818,2017,nbadraft_2017,nbadraft
P63f00af37c,2017,dx_2017,dx
P6e7d02b021,2017,dx_2017,dx
P6f43cf2ee3,2017,dx_2017,dx
