candidate_id,draft_year,player_name_source,membership_basis,membership_available_date,primary_source_id,corroborating_source_id,source_names_agree_normalized,global_identity_verified,cohort_selected_population_complete
prior_2012_00e34b3bea72837d1703,2012,Jeremy Lamb,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_013d1adbe7ff3e6b511e,2012,Austin Rivers,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_05ed9e0622bc7e6b94c4,2012,Mike Scott,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_18fe79d96082badd0211,2012,Terrence Ross,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_1eb9320de9784e258b59,2012,Bernard James,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_29a0edbe61e50877a2e4,2012,Darius Miller,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_2d23455bfc7e7193ab9b,2012,Ilkan Karaman,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_329051e8279b2922ff9c,2012,Robert Sacre,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_33e1c2cf7ae237690233,2012,Will Barton,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_342797a425e270f555ab,2012,Orlando Johnson,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_35c21be7802d7e76126f,2012,Draymond Green,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_3648aa751cd7247ce939,2012,Doron Lamb,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_37a6d966d31f14a1c54e,2012,Tyler Zeller,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_3a61d68d966830971698,2012,Khris Middleton,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_409bb32bda3298451a02,2012,Dion Waiters,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_468140c7f28c2db4c86f,2012,Tornike Shengelia,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_4ac5b3678f146233916b,2012,Jared Sullinger,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_4eeab00e61159cbc547a,2012,Quincy Miller,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_51576a4ce19cf87e2da3,2012,Meyers Leonard,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_54e0d020d2d68d7b4876,2012,Thomas Robinson,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_55b683c6030c1b517504,2012,Marcus Denmon,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_562341f5fd0ca2fc2376,2012,Justin Hamilton,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_58a3b706cc8b2d0c9094,2012,Perry Jones III,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,False,False,True
prior_2012_59483fa022bde93f627b,2012,Tyshawn Taylor,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_5e6ed88756a20aa46273,2012,Izzet Turkyilmaz,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_60fe5c408bf4d9ece9bd,2012,Bradley Beal,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_63d6bc49127f3e7226bd,2012,Quincy Acy,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_661282497327b793eddf,2012,Jared Cunningham,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_662e80c738433ea0e1be,2012,Royce White,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_705f30be343b1d238d6d,2012,Fab Melo,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_777250ebe479874545b2,2012,Kyle O'Quinn,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,False,False,True
prior_2012_7b57216a129a0cf45eef,2012,Michael Kidd-Gilchrist,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_7f822deb9639ff9d021c,2012,Ognjen Kuzmic,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_918f65215df2be51c16c,2012,Miles Plumlee,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_9648e187b3479b8b0edf,2012,Jae Crowder,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_9797ab64e569b0945bee,2012,Andre Drummond,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_9a9b204b7d25f5dd0552,2012,Damian Lillard,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_9f43ed937169e1cf36fc,2012,Jeff Taylor,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,False,False,True
prior_2012_9f9d9bfba562b1aa215b,2012,Darius Johnson-Odom,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_a4e1e7c2813466f0c9de,2012,John Henson,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_ab2c30c42d7af61c296f,2012,Kendall Marshall,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_b18b558f284c821c999e,2012,Festus Ezeli,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_b4c46a2c01bc7a4dadc1,2012,Moe Harkless,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,False,False,True
prior_2012_b98fd31447f7d9000b52,2012,Evan Fournier,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_bb860e03c2670051d03c,2012,Anthony Davis,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_bbeaee826b5e0a826578,2012,Tomas Satoransky,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_c5a90bed9a13f584f991,2012,Furkan Aldemir,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_caa522b7dc169cef3de7,2012,Marquis Teague,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_cb4639cdd86027b2e95e,2012,Tony Wroten,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_cd337c631f83d0036fd0,2012,Terrence Jones,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_d7c69711cc7cdb7b9c7a,2012,Andrew Nicholson,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_dca2104027918d4023f3,2012,Kris Joseph,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_df0b288c86ee4ab40fde,2012,Kostas Papanikolaou,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_e2314e5a58ec1618e3ea,2012,Kevin Murphy,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_e31509139cf8a4edcad5,2012,Arnett Moultrie,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_e7e3221d60c1e55246fe,2012,Harrison Barnes,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_f961288534e88153e1bf,2012,Robbie Hummel,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_fa69c6cc24729bb11396,2012,Tomislav Zubcic,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_fb95bf438b3dd0fda101,2012,Kim English,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2012_fc737fb9bbceadc5de3e,2012,John Jenkins,contemporary_complete_actual_draft_results,2012-06-29,hr_2012,ap_2012,True,False,True
prior_2013_0950116b6a0cff1f8bb1,2013,Joffrey Lauvergne,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_0e2e9742acd3839bf129,2013,Reggie Bullock,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_199e74dac7cd7e187bb6,2013,Solomon Hill,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_1dd2c831d23ed0f5fa50,2013,Ricky Ledo,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_20bad6f5287845605346,2013,Bojan Dubljevic,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_2287fa76522ca68c3462,2013,Sergey Karasev,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_2d1d6f769830bbec69eb,2013,Steven Adams,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_30186921e82baa03b70f,2013,Jamaal Franklin,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_30b7af754962c6b0c107,2013,Lucas Nogueira,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,False,False,True
prior_2013_34b044c1a4e6683ebb20,2013,Nemanja Nedovic,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_3df4fc1cfb236e67e95a,2013,James Ennis,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_4a3d7c704e84e58bc426,2013,Tony Snell,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_50ea7f952afa88aba8ef,2013,Andre Roberson,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
prior_2013_5185f7a684aeeba8a747,2013,Giannis Antetokounmpo,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,False,False,True
prior_2013_52343d5cf73c2981ff20,2013,Ryan Kelly,contemporary_complete_actual_draft_results,2013-06-28,hr_2013,ap_2013,True,False,True
