candidate_id,draft_year,legacy_same_cohort_name_match_count,broad_key_name_match_count,suggested_pid,crosswalk_method,identity_verified,matched_existing_training_pid,gap_status,player_name_source
prior_2012_2d23455bfc7e7193ab9b,2012,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Ilkan Karaman
prior_2012_55b683c6030c1b517504,2012,0,1,P1dd670ce86,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Marcus Denmon
prior_2012_5e6ed88756a20aa46273,2012,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Izzet Turkyilmaz
prior_2012_9f43ed937169e1cf36fc,2012,1,2,Pb172e7dcfc,unique_legacy_cohort_name_suggestion,False,False,legacy_candidate_absent_from_training,Jeff Taylor
prior_2012_fa69c6cc24729bb11396,2012,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Tomislav Zubcic
prior_2013_20bad6f5287845605346,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Bojan Dubljevic
prior_2013_3df4fc1cfb236e67e95a,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,James Ennis
prior_2013_5e71e9f425ee1afc59aa,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Dennis Schroeder
prior_2013_6bcdbd04e54854f493a7,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Glen Rice Jr.
prior_2013_7a3be7b85a9f3745a0ba,2013,0,1,P3941cfe9a5,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Romero Osby
prior_2013_8a8a5402b9d5f7647e6b,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Marko Todorovic
prior_2013_8b4eefab725749ffd8d5,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Livio Jean-Charles
prior_2013_8d4b7eef1d8eb3408548,2013,1,1,P607c704c53,unique_legacy_cohort_name_suggestion,False,False,legacy_candidate_absent_from_training,Deshaun Thomas
prior_2013_a655d0b2c6b6f00d324f,2013,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Janis Timma
prior_2013_bae03b5b587609fb5226,2013,0,1,P7e54aaf9bc,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Alex Oriakhi
prior_2013_d616227bb51c1667ada6,2013,0,1,Pfd94beba6f,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Arsalan Kazemi
prior_2013_f7b8346f1c94cb4b3e93,2013,0,1,Pda3bb1f661,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Colton Iverson
prior_2014_36e79ecfc1fee1c4503f,2014,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Nemanja Dangubic
prior_2014_46f69d954a5d90114fda,2014,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Alessandro Gentile
prior_2014_a8505b9bcef90a9f6893,2014,0,1,Pd7193a9932,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Alec Brown
prior_2014_bf8a0bc39fd20ffb51f8,2014,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match,Louis Labeyrie
prior_2014_e3c4cbe104ccf32796a8,2014,1,1,Pd35ff11e6d,unique_legacy_cohort_name_suggestion,False,False,legacy_candidate_absent_from_training,DeAndre Daniels
prior_2014_f1a7058a9b8cd07bc21f,2014,1,1,Pbed27928bf,unique_legacy_cohort_name_suggestion,False,False,legacy_candidate_absent_from_training,Vasilije Micic
prior_2014_f52603a5b83b5c19f2ae,2014,0,1,Pf18585a2b1,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match,Xavier Thames
