candidate_id,draft_year,membership_retained,mapping_status,existing_research_row,population_resolution,identity_link_ready,feature_row_built,label_row_built,model_ready
prior_2012_2d23455bfc7e7193ab9b,2012,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2012_55b683c6030c1b517504,2012,True,dated_combine_id_corroborated,False,broad_identity_only_research_row_absent,True,False,False,False
prior_2012_5e6ed88756a20aa46273,2012,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2012_9f43ed937169e1cf36fc,2012,True,dated_combine_id_corroborated,False,legacy_identity_present_research_row_absent,True,False,False,False
prior_2012_fa69c6cc24729bb11396,2012,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2013_20bad6f5287845605346,2013,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2013_3df4fc1cfb236e67e95a,2013,True,dated_combine_id_corroborated,True,existing_research_row_recovered_by_alias,True,False,False,False
prior_2013_5e71e9f425ee1afc59aa,2013,True,dated_combine_id_corroborated,True,existing_research_row_recovered_by_alias,True,False,False,False
prior_2013_6bcdbd04e54854f493a7,2013,True,dated_combine_id_corroborated,False,legacy_identity_present_research_row_absent,True,False,False,False
prior_2013_7a3be7b85a9f3745a0ba,2013,True,unique_exact_name_reviewed_provisional,False,broad_identity_only_research_row_absent,False,False,False,False
prior_2013_8a8a5402b9d5f7647e6b,2013,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2013_8b4eefab725749ffd8d5,2013,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2013_8d4b7eef1d8eb3408548,2013,True,dated_combine_id_corroborated,False,legacy_identity_present_research_row_absent,True,False,False,False
prior_2013_a655d0b2c6b6f00d324f,2013,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2013_bae03b5b587609fb5226,2013,True,unique_exact_name_reviewed_provisional,False,broad_identity_only_research_row_absent,False,False,False,False
prior_2013_d616227bb51c1667ada6,2013,True,unique_exact_name_reviewed_provisional,False,broad_identity_only_research_row_absent,False,False,False,False
prior_2013_f7b8346f1c94cb4b3e93,2013,True,dated_combine_id_corroborated,False,broad_identity_only_research_row_absent,True,False,False,False
prior_2014_36e79ecfc1fee1c4503f,2014,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2014_46f69d954a5d90114fda,2014,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2014_a8505b9bcef90a9f6893,2014,True,dated_combine_id_corroborated,False,broad_identity_only_research_row_absent,True,False,False,False
prior_2014_bf8a0bc39fd20ffb51f8,2014,True,unresolved_global_identity_source_membership_retained,False,source_only_identity_research_row_absent,False,False,False,False
prior_2014_e3c4cbe104ccf32796a8,2014,True,dated_combine_id_corroborated,False,legacy_identity_present_research_row_absent,True,False,False,False
prior_2014_f1a7058a9b8cd07bc21f,2014,True,unique_exact_name_reviewed_provisional,False,legacy_identity_present_research_row_absent,False,False,False,False
prior_2014_f52603a5b83b5c19f2ae,2014,True,dated_combine_id_corroborated,False,broad_identity_only_research_row_absent,True,False,False,False
