pid,rsci_top100,rsci_rank,rsci_n_ranked,rsci_n_services,rsci_frac_ranked,rsci_best,rsci_worst,rsci_range,rsci_std,rsci_total_norm,rsci_chg,rsci_avg,rsci_dev,hs_height_in,hs_pos_code,hs_to_nba,hs_prep_5th,hs_years_to_draft
Pe09c2486c8,1,1,4,4,1.0,1.0,2.0,1.0,0.43,1.0,0.0,,,80,4,1,0,4
P780ecd00c5,1,4,4,4,1.0,5.0,6.0,1.0,0.5,0.9574,0.0,,,83,5,0,0,4
Pb9c8134dba,1,5,4,4,1.0,4.0,11.0,7.0,2.86,0.9499,0.0,,,80,5,0,0,2
P180bfe573f,1,9,4,4,1.0,8.0,14.0,6.0,2.6,0.9173,-1.0,,,77,3,0,0,2
P70ecb2ee9d,1,11,4,4,1.0,10.0,20.0,10.0,4.06,0.8822,-1.0,,,78,3,0,0,4
Pd2dc1d3e0e,1,12,4,4,1.0,9.0,18.0,9.0,3.35,0.8672,0.0,,,80,3,0,0,4
Pe4182c4c9a,1,13,4,4,1.0,9.0,21.0,12.0,5.07,0.8496,3.0,,,80,3,0,0,2
Pf596e595fa,1,19,4,4,1.0,14.0,36.0,22.0,8.44,0.7945,1.0,,,74,1,0,0,2
Pb74259d44e,1,21,4,4,1.0,12.0,30.0,18.0,7.0,0.782,-2.0,,,75,1,0,0,4
P6d3c0c239e,1,26,4,4,1.0,19.0,46.0,27.0,9.72,0.6717,6.0,,,78,3,0,0,3
P8b719e2981,1,29,3,4,0.75,10.0,17.0,7.0,3.09,0.6516,1.0,,,71,1,0,1,2
Pdcd864f0fb,1,33,4,4,1.0,21.0,58.0,37.0,14.43,0.6266,2.0,,,79,3,0,0,3
Pc1693478f0,1,67,3,7,0.429,29.0,37.0,8.0,3.56,0.3031,0.0,,,79,3,0,1,4
P2cb7a6fa13,1,70,3,7,0.429,32.0,39.0,7.0,3.09,0.284,2.0,,,76,2,0,1,4
Pdacee2a50f,1,37,4,4,1.0,36.0,47.0,11.0,4.39,0.6065,-1.0,,,79,3,0,0,4
P842a2f3c2e,1,46,4,4,1.0,27.0,69.0,42.0,17.8,0.5088,12.0,,,81,4,0,0,3
P540f972282,1,54,4,4,1.0,33.0,90.0,57.0,20.69,0.406,0.0,,,76,2,0,0,4
P3514cc9b35,1,54,4,4,1.0,53.0,71.0,18.0,7.43,0.406,-1.0,,,79,3,0,0,4
P830efff813,1,58,2,4,0.5,13.0,34.0,21.0,10.5,0.3885,17.0,,,81,4,0,0,4
P1f7c85948b,1,66,3,4,0.75,37.0,82.0,45.0,18.55,0.2982,-6.0,,,83,5,0,0,2
P08c56d3590,1,71,4,4,1.0,36.0,100.0,64.0,25.39,0.2456,0.0,,,80,4,0,0,5
Pd073d30524,1,72,3,4,0.75,63.0,78.0,15.0,6.65,0.2431,1.0,,,81,5,0,0,5
P2225ba1e79,1,75,1,4,0.25,8.0,8.0,0.0,,0.2331,0.0,,,83,4,0,1,2
P47eee57e35,1,80,3,4,0.75,66.0,80.0,14.0,5.89,0.203,-2.0,,,80,,0,0,4
