pid,ordinal,season_start_year,minutes
P83de6de3ec,1,2014,130.0
P83de6de3ec,2,2015,66.0
P542c8bbfa1,1,2011,1088.0
P542c8bbfa1,2,2012,1469.0
P542c8bbfa1,3,2013,429.0
Pbbdf67d0e0,1,2014,672.0
Pbbdf67d0e0,2,2017,228.0
P8c6b1e4de6,1,2021,52.0
P3d55371834,1,2010,59.0
P3d55371834,2,2011,122.0
P4516ced6d5,1,2019,33.0
P4516ced6d5,2,2020,920.0
P4516ced6d5,3,2021,689.0
P4516ced6d5,4,2022,588.0
P4516ced6d5,5,2023,200.0
P4516ced6d5,6,2024,238.0
Pb7f87f6748,1,2002,441.0
Pb7f87f6748,2,2003,262.0
Pb7f87f6748,3,2004,105.0
Pb7f87f6748,4,2009,44.0
Pc2cfb81ac1,1,2024,112.0
P1cb017a474,1,2025,88.0
P9f5758481a,1,2008,130.0
P9f5758481a,2,2009,102.0
P9f5758481a,3,2010,1370.0
P9f5758481a,4,2011,1098.0
P9f5758481a,5,2012,86.0
P9f5758481a,6,2013,10.0
Pf2c709b50b,1,2012,619.0
Pf2c709b50b,2,2013,784.0
Pf2c709b50b,3,2015,203.0
P4b06d66b80,1,2008,728.0
P4b06d66b80,2,2009,1442.0
P4b06d66b80,3,2010,2468.0
P4b06d66b80,4,2011,1752.0
P4b06d66b80,5,2012,2581.0
P4b06d66b80,6,2013,2668.0
P4b06d66b80,7,2014,5280.0
P4b06d66b80,8,2015,2363.0
P51f87bc5f4,1,2008,2626.0
P51f87bc5f4,2,2009,1807.0
P51f87bc5f4,3,2010,1579.0
P51f87bc5f4,4,2011,1825.0
P51f87bc5f4,5,2012,2068.0
P51f87bc5f4,6,2013,2178.0
P51f87bc5f4,7,2014,2368.0
P51f87bc5f4,8,2015,2746.0
P67ee7c4408,1,2008,2668.0
P67ee7c4408,2,2009,2813.0
P67ee7c4408,3,2010,2847.0
P67ee7c4408,4,2011,2331.0
P67ee7c4408,5,2012,2861.0
P67ee7c4408,6,2013,1412.0
P67ee7c4408,7,2014,2302.0
P67ee7c4408,8,2015,2750.0
P155e770e32,1,2025,1843.0
Pcc92138fb2,1,2004,220.0
Pcc92138fb2,2,2005,570.0
Pafffac98b2,1,2024,1286.0
Pafffac98b2,2,2025,249.0
P9e30954b9f,1,2015,395.0
P9e30954b9f,2,2016,40.0
Pe237a28a37,1,2020,397.0
Pe237a28a37,2,2021,698.0
Pe237a28a37,3,2022,728.0
Pe237a28a37,4,2023,576.0
Pe237a28a37,5,2024,608.0
Pe237a28a37,6,2025,626.0
P360a02c8f3,1,2000,1809.0
P360a02c8f3,2,2001,1990.0
P360a02c8f3,3,2002,2949.0
P360a02c8f3,4,2003,2150.0
P360a02c8f3,5,2004,2511.0
P360a02c8f3,6,2005,3140.0
P360a02c8f3,7,2006,1515.0
P360a02c8f3,8,2007,1796.0
P2bdd03741b,1,2020,56.0
P2bdd03741b,2,2021,258.0
P0fde3dedb2,1,2017,2732.0
P0fde3dedb2,2,2018,2700.0
P0fde3dedb2,3,2019,2017.0
P0fde3dedb2,4,2020,1877.0
P0fde3dedb2,5,2022,1105.0
P0fde3dedb2,6,2023,359.0
P0fde3dedb2,7,2024,2240.0
Pba0c961d37,1,2007,2540.0
Pba0c961d37,2,2008,2242.0
Pba0c961d37,3,2009,2845.0
Pba0c961d37,4,2010,2704.0
Pba0c961d37,5,2011,348.0
Pba0c961d37,6,2012,2756.0
Pba0c961d37,7,2013,958.0
Pba0c961d37,8,2014,2318.0
Pa0da0f38dc,1,2000,305.0
Pa0da0f38dc,2,2002,24.0
Pd6e0b051bb,1,2014,368.0
Pd6e0b051bb,2,2015,857.0
Pd6e0b051bb,3,2016,161.0
Pd6e0b051bb,4,2017,379.0
P0820723beb,1,2006,72.0
P25609e2dfe,1,2014,924.0
P25609e2dfe,2,2015,173.0
P25609e2dfe,3,2016,23.0
Pdff50197cb,1,2024,7.0
Pdff50197cb,2,2025,116.0
P2c24c6affb,1,2019,53.0
P2c24c6affb,2,2020,196.0
Pe6c95cf044,1,2024,21.0
Pe6c95cf044,2,2025,276.0
Pd6b4848f72,1,2022,40.0
Pd6b4848f72,2,2023,63.0
Paa36360f59,1,2012,638.0
Paa36360f59,2,2013,1188.0
Paa36360f59,3,2014,824.0
Paa36360f59,4,2015,764.0
Paa36360f59,5,2016,1229.0
Paa36360f59,6,2017,1387.0
Paa36360f59,7,2018,371.0
Paa36360f59,8,2019,313.0
P3f25ee2633,1,2010,868.0
P3f25ee2633,2,2011,1483.0
P3f25ee2633,3,2012,3550.0
P3f25ee2633,4,2013,3065.0
P3f25ee2633,5,2014,2156.0
P3f25ee2633,6,2015,2020.0
P3f25ee2633,7,2016,1599.0
P3f25ee2633,8,2017,1270.0
P625909539a,1,2020,1068.0
P625909539a,2,2021,1656.0
P625909539a,3,2022,2292.0
P625909539a,4,2023,1493.0
P625909539a,5,2024,1824.0
P9d5ce33ec0,1,2020,211.0
P9d5ce33ec0,2,2021,374.0
P67cf99c3eb,1,2015,2259.0
P67cf99c3eb,2,2016,1811.0
P67cf99c3eb,3,2017,1234.0
P67cf99c3eb,4,2018,2448.0
P67cf99c3eb,5,2019,2904.0
P67cf99c3eb,6,2020,1196.0
P67cf99c3eb,7,2021,2077.0
P67cf99c3eb,8,2022,4608.0
P4b1ba6339f,1,2009,262.0
P4b1ba6339f,2,2010,73.0
P4b1ba6339f,3,2011,668.0
P4b1ba6339f,4,2014,56.0
Pa5d86611c0,1,2015,55.0
Pa5d86611c0,2,2016,31.0
Pa5d86611c0,3,2017,982.0
P49827cf895,1,2014,614.0
P49827cf895,2,2015,1070.0
P49827cf895,3,2016,2048.0
P49827cf895,4,2017,2142.0
P49827cf895,5,2018,1360.0
P49827cf895,6,2019,2202.0
P49827cf895,7,2020,117.0
P49827cf895,8,2022,1374.0
Pfa2560441b,1,2019,204.0
Pfa2560441b,2,2020,766.0
Pfa2560441b,3,2021,479.0
P969f2b1c13,1,2008,1312.0
P969f2b1c13,2,2009,911.0
P969f2b1c13,3,2010,1424.0
P969f2b1c13,4,2011,1964.0
P969f2b1c13,5,2012,2503.0
P969f2b1c13,6,2013,795.0
P969f2b1c13,7,2014,1675.0
P969f2b1c13,8,2015,2008.0
Pcabff956fe,1,2018,730.0
Pcabff956fe,2,2019,1782.0
Pcabff956fe,3,2020,1047.0
Pcabff956fe,4,2021,1055.0
Pcabff956fe,5,2022,1860.0
Pcabff956fe,6,2023,1654.0
Pe6c9de6d86,1,2020,669.0
Pe6c9de6d86,2,2021,574.0
Pe6c9de6d86,3,2022,1816.0
Pe6c9de6d86,4,2023,1995.0
Pe6c9de6d86,5,2024,1122.0
Pe6c9de6d86,6,2025,1335.0
Paeace7e70c,1,2001,1110.0
Paeace7e70c,2,2002,632.0
Paeace7e70c,3,2005,192.0
Pd1e82d8666,1,2001,161.0
Pd1e82d8666,2,2002,2318.0
Pd1e82d8666,3,2003,616.0
Pd1e82d8666,4,2004,1038.0
Pd1e82d8666,5,2005,701.0
Pd1e82d8666,6,2006,638.0
Pd1e82d8666,7,2007,2192.0
Pd1e82d8666,8,2008,579.0
Pd01ecb3669,1,2010,2606.0
Pd01ecb3669,2,2011,2386.0
Pd01ecb3669,3,2012,1602.0
Pd01ecb3669,4,2013,2980.0
Pd01ecb3669,5,2014,2837.0
Pd01ecb3669,6,2015,2784.0
Pd01ecb3669,7,2016,2836.0
Pd01ecb3669,8,2017,1410.0
P086a09588e,1,2024,339.0
P086a09588e,2,2025,538.0
P8a97dbabe6,1,2019,28.0
P9990134f41,1,2015,244.0
P9990134f41,2,2017,21.0
P3ea09a4d42,1,2017,28.0
P3ea09a4d42,2,2018,204.0
Pc067530e3e,1,2005,487.0
Pc067530e3e,2,2006,179.0
Pc067530e3e,3,2007,27.0
Pc067530e3e,4,2008,37.0
Pc067530e3e,5,2009,106.0
Pc067530e3e,6,2012,198.0
Pc067530e3e,7,2013,95.0
Pc067530e3e,8,2014,252.0
P2e873db9ac,1,2011,88.0
P2e873db9ac,2,2012,32.0
P3b0e47f5ec,1,2025,253.0
P3bedf956bf,1,2024,35.0
P3bedf956bf,2,2025,26.0
P6d016b475a,1,2001,402.0
P6d016b475a,2,2002,168.0
P6d016b475a,3,2003,17.0
