pid,name,draft_year,split,path,intl_level,intl_gp,age,drafted
P58604dcdcf,Nigel Hayes,2017,train,other,,,,0
P16f60c6002,Sheldon McClellan,2016,train,other,,,,0
P3e493925a2,Emmanuel Mudiay,2015,train,international,,,19.3,1
Pa779a7b0cf,Willy Hernangomez,2015,train,international,4.0,16.0,21.08,1
P6c859977a5,Joe Young,2015,train,college_pre2008_or_unlinked,,,22.99,1
P49f423e70e,Vincent Hunter,2017,train,college_pre2008_or_unlinked,3.0,9.0,22.639999999999997,0
P5849f19551,Cedi Osman,2015,train,international,4.0,39.0,20.21,1
P4ba2b4830d,Luis Montero,2015,train,international,,,,0
P04e5776a76,Cristiano Felicio,2015,train,international,1.0,8.0,23.13,0
Pfc32d168da,Boban Marjanovic,2015,train,international,4.0,33.0,26.61,0
P1ef5f1c321,Axel Toupane,2015,train,international,4.0,14.0,22.68,0
P35fcccf6c9,Salah Mejri,2015,train,international,4.0,27.0,,0
Pf326870436,Marcelo Huertas,2015,train,international,3.0,29.0,31.84,0
P96a831649e,Jacob Pullen,2017,train,college_pre2008_or_unlinked,4.0,17.0,27.38,0
Pcb1e0b77ca,Jonathan Gibson,2016,train,college_pre2008_or_unlinked,3.0,30.0,28.38,0
P4879fe4868,Malcolm Delaney,2016,train,college_pre2008_or_unlinked,4.0,31.0,27.04,0
Pe528778159,Walter Lemon Jr.,2017,train,college_pre2008_or_unlinked,2.0,47.0,24.15,0
Pef9b8757a6,Alex Stepheson,2015,train,college_pre2008_or_unlinked,3.0,29.0,27.639999999999997,0
P53f786523f,Dragan Bender,2016,train,international,4.0,7.0,18.6,1
P4b59f5fe56,Thon Maker,2016,train,international,,,19.33,1
P9c2d575f48,Zhou Qi,2016,train,international,,,20.44,1
P9260f65add,Kay Felder,2016,train,college_pre2008_or_unlinked,,,21.24,1
Pcb0e772806,Timothe Luwawu-Cabarrot,2016,train,international,3.0,28.0,21.13,1
P1a32cd4176,Ante Zizic,2016,train,international,3.0,13.0,19.47,1
P83cf60968a,Petr Cornelie,2016,train,international,3.0,10.0,20.92,1
P7222e0f90b,Juancho Hernangomez,2016,train,international,1.0,10.0,20.74,1
Pd7c989b67a,Guerschon Yabusele,2016,train,international,1.0,9.0,20.52,1
P64adb31e4d,Ivica Zubac,2016,train,international,3.0,2.0,19.27,1
Paca468f5b5,Georgios Papagiannis,2016,train,international,4.0,6.0,18.98,1
Pcf60b82b9d,Paul Zipser,2016,train,international,4.0,40.0,22.35,1
P049f342950,Mindaugas Kuzminskas,2016,train,international,4.0,34.0,,0
P41923cb473,Nicolas Brussino,2016,train,international,,,,0
P2bc89b6490,Nicolas Laprovittola,2016,train,international,3.0,20.0,,0
Pb2b564e4f2,Jordan Loyd,2018,train,college_pre2008_or_unlinked,2.0,49.0,24.15,0
P55c2defaf8,Mitchell Creek,2018,train,international,3.0,24.0,25.919999999999998,0
P46cfb45fde,Frank Ntilikina,2017,train,international,4.0,14.0,18.91,1
P54d4de841c,Terrance Ferguson,2017,train,college_pre2008_or_unlinked,3.0,27.0,19.11,1
P2ad4235514,Isaiah Hartenstein,2017,train,international,4.0,29.0,19.14,1
Pe5fb05fea3,Anzejs Pasecniks,2017,train,international,3.0,32.0,21.51,1
