pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
Pef380f9642,-0.309,-0.464,0.001,0.011,-0.078,-8.6,-0.519,0.894,0.738,27.0,0,18.9,14.667,5.7,3,1,2.85,1.879,2
P90844406b5,0.229,0.352,-0.072,-0.04,0.061,0.55,0.237,-0.73,-0.319,72.0,0,25.1,12.335,14.5,12,0,0.823,0.064,11
Pa5bdbe06a8,-0.82,0.081,0.068,0.137,0.054,10.0,1.829,1.289,0.037,35.0,0,34.7,18.882,9.2,3,1,4.6,-0.583,3
Pbe6ed6fd51,,,,,,,,,,32.0,1,34.8,18.724,0.0,1,1,,,0
P77f7109f5b,1.218,-0.145,0.007,-0.019,0.002,7.3,1.709,-0.247,-0.131,31.0,1,32.2,18.335,15.1,3,1,7.55,1.799,2
P8884c4fd03,-0.272,-0.203,0.0,0.034,-0.016,-0.3,-1.052,0.24,-0.196,32.0,0,35.0,20.263,8.8,4,1,2.63,2.802,3
Pa466887b08,1.484,-0.011,-0.057,-0.098,0.068,1.3,2.935,-0.235,-0.46,35.0,1,36.0,15.8,13.8,3,1,6.9,3.035,2
P53f54898a1,-1.034,0.53,0.055,0.066,0.053,-0.72,1.822,-0.707,0.21,53.0,1,33.41,17.366,-0.72,2,0,-0.717,1.822,1
P53a27c701d,-0.235,-0.023,-0.04,-0.019,0.02,5.05,1.426,-0.058,0.073,71.0,0,23.33,15.873,-0.88,6,0,-0.712,-0.455,5
P58604dcdcf,0.017,0.047,0.089,0.021,-0.149,-3.8,-0.058,1.565,-0.205,37.0,0,32.4,15.556,15.0,4,1,4.83,0.092,3
P7f14bdd3aa,0.966,0.092,0.005,0.073,0.058,16.3,0.856,-0.855,-0.28,38.0,1,31.6,9.797,16.3,2,1,16.3,0.856,1
