pid,ts_ap_rank,ts_coach_prev_hit_rate,ts_coach_prev_mean_war5,ts_coach_prev_n,ts_conf_champ,ts_in_ncaa,ts_ncaa_round,ts_win_pct
Pd01ecb3669,,,,0,1,1,4,0.921
Ped95bfcd7e,,,,0,1,1,3,0.784
Pcc98298533,,,,0,1,1,2,
Pb3be83363c,,,,0,1,1,4,0.921
Pc58bcc8049,,,,0,1,1,1,0.676
P297adbbd5f,,,,0,1,1,2,
P1402e898dc,,,,0,1,1,0,0.868
P7f86ce09cc,,,,0,1,0,1,0.5
P7e584efe40,,,,0,1,1,2,0.917
P10d0b75bed,,,,0,1,1,2,0.917
P8fac339738,,,,0,1,0,0,0.541
P3f25ee2633,,,,0,1,1,4,0.921
P502aba077e,,,,0,1,0,0,
P6f36cd1fed,,,,0,1,0,2,0.618
P0d0da4d2bc,,,,0,1,1,4,0.921
P871b04878c,,,,0,1,1,1,
Pb46ac34cd7,,,,0,1,0,0,0.419
Pd646388a2b,,,,0,1,0,2,0.706
P780225999f,,,,0,1,1,1,0.656
P38bff88a77,,,,0,1,1,1,
Pa56ca2c36c,,,,0,1,0,1,0.606
Pdc16ca4e2e,,,,0,1,1,3,0.722
P2c1e066057,,,,0,1,1,3,
P4793f789c0,,,,0,1,1,2,
P4d2f3d5dbd,,,,0,1,1,4,0.921
P7072c546bd,,,,0,1,1,1,
P581e368d46,,,,0,1,1,1,
P830611c613,,,,0,1,0,0,0.706
P815e63680a,,,,0,1,0,2,0.618
P24b8a1c556,,,,0,1,1,4,0.921
P96ac6f0cd3,,,,0,1,1,2,
P7a82e40751,,,,0,1,1,3,
P27a3420564,,,,0,1,0,0,0.438
P0aa146e53e,,,,0,1,0,2,
Pe03992058c,,,,0,1,1,4,0.921
Pbd2eb786d3,,,,0,1,1,5,0.816
P966e81614a,,,,0,1,1,5,0.816
P433bbb1ab7,,,,0,1,0,0,0.657
Pe82bc0553e,,,,0,1,1,2,
P3d55371834,,,,0,1,1,1,
Pc62b6f4e46,,,,0,1,1,1,
Pec2bc35d4f,,,,0,1,0,0,0.419
P544c115a68,,,,0,1,1,1,
P6ff85cb7e1,,,,0,1,1,1,0.788
P19913201dd,,,,0,1,0,0,0.657
P4570803785,,,,0,1,1,2,0.917
P11d27a665c,,,,0,1,1,1,0.606
P467d53ba82,,,,0,1,1,1,0.774
Pebc69ca1f1,,,,0,1,1,5,0.861
Pcdba4ddbae,,,,0,1,0,1,0.636
P9c4bb7f4c2,,,,0,1,0,0,0.469
P06e60a886f,,,,0,1,0,0,
P29b17f6d68,,,,0,1,0,1,0.75
Pc9579c50f4,,,,0,1,1,2,0.595
P64a7a54879,,,,0,1,0,0,0.735
P8030960284,,,,0,1,1,1,0.647
P809c73ddd0,,,,0,1,1,1,0.606
P0b3e754c0e,,,,0,1,0,0,0.484
Pdcb8ac9b93,,,,0,1,0,0,0.419
Pbd387aad50,,,,0,1,0,0,0.419
P575f19a655,,,,0,1,1,3,0.865
Pb035a35ee9,,,,0,1,1,4,0.789
Pc8dae45369,,,,0,1,1,2,0.778
P4a7a8900d7,,,,0,1,1,5,0.763
P2e890c30d2,,,,0,1,1,0,0.78
P3ef4d7a55a,,,,0,1,1,3,
Pb0e43997bd,,,,0,1,1,1,0.636
P9e7b32dc92,,,,0,1,0,0,0.632
P2d49f5a403,,,,0,1,1,4,0.921
P268ca85d2e,,,,0,1,1,4,0.921
P22add316a5,,,,0,1,1,3,0.919
Pbbfb6a2c4a,,,,0,1,1,0.5,0.559
P47e2698d94,,,,0,1,0,0,
P701bdb09e4,,,,0,1,1,4,0.784
Pce627023f0,,,,0,1,0,0,0.676
Pa98bcc077b,,,,0,1,1,3,0.865
P0c700e1af1,,,,0,1,1,2,0.714
P9cc36d2c64,,,,0,1,0,2,0.618
Pc5e44c9142,,,,0,1,0,0,
Pe1228b6b2c,,,,0,1,1,2,0.778
P53502448c1,,,,0,1,1,2,0.765
Pd9bc466fd2,,,,0,1,0,2,0.75
P4d8e3ba87c,,,,0,1,1,2,0.778
P85135a294f,,,,0,1,1,3,0.595
P74ab2a2c37,,,,0,1,1,3,0.784
P69e13b90fc,,,,0,1,1,3,0.865
P43d78a0411,,,,0,1,1,0,0.737
P2e873db9ac,,,,0,1,1,2,
P629d2ef8de,,,,0,1,0,0,0.576
P749792a28d,,,,0,1,1,4,0.784
P96af95e7fd,,,,0,1,1,3,0.735
Pde91f9542b,,,,0,1,1,2,0.6
P52af59d765,,,,0,1,1,2,
P355f728583,,,,0,1,0,1,0.636
P50ca99530f,,,,0,1,1,5,0.763
Pd11fd10026,,,,0,1,0,0,0.703
P36b818b767,,,,0,1,0,0,
Pe6bde91a1f,,,,0,1,1,1,0.714
Pc4acbf93e3,,,,0,1,1,4,0.921
Pbb988d44ca,,,,0,0,1,2,0.765
P4f47ca7b5d,,,,0,1,1,4,0.784
P7f14bdd3aa,,,,0,1,1,5,0.763
Paef9538004,,,,0,1,1,2,0.765
P3ce7981258,,,,0,1,1,2,0.686
Pa2b1e0c1b9,,,,0,1,0,0,0.676
P07a1fb349e,,,,0,1,1,2,
P05848850fc,,,,0,1,0,2,
P8a6c25e945,,,,0,1,1,0,0.875
Pf755f2c0c0,,,,0,1,1,1,0.606
Pc6eddeb128,,,,0,1,0,0,0.438
P109788f4ba,,,,0,1,1,1,0.794
P762dcd7f87,,,,0,1,0,0,0.632
P9ee45f9ea5,,,,0,1,1,1,0.636
Pa5d1a1783b,,,,0,1,0,1,
Pf7cebccf2c,,,,0,1,0,2,0.556
P0736b54145,,,,0,1,1,1,
P4e1bce542d,,,,0,1,1,3,0.853
P3d4bf642e0,,,,0,1,0,0,0.3
Pe0ab16a2ed,,,,0,1,1,3,
P7c4530d600,,,,0,1,1,3,0.919
P13a0e44cab,,,,0,1,1,3,
P47e4bd26a8,,,,0,1,0,0,0.467
P10819fb965,,,,0,1,1,2,0.794
P477dab5e0e,,,,0,1,1,1,0.636
P42d7cc83b1,,,,0,1,1,2,0.588
Pc5bce4fd0c,,,,0,1,0,0,0.484
P7df7e92bd1,,,,0,1,0,0,0.703
Pbb710ba6e6,,,,0,1,1,1,0.714
Pd30706ab20,,,,0,1,0,0,
P163aa00374,,,,0,1,1,0,0.95
P272afc1b90,,,,0,1,1,0,0.95
Pa260a40e68,,,,0,0,1,4,0.703
P43f8251240,,,,0,1,1,4,0.0
Pf849910cdc,,,,0,1,1,0,0.821
Pf9e0178b31,,,,0,1,1,1,0.706
Pb5ebcb5d6c,,,,0,1,1,4,0.842
Pc3d030ae81,,,,0,1,0,0,0.686
P4e4e438f6e,,,,0,1,1,1,0.588
P2320c27578,,,,0,1,1,1,0.794
P3f927eeca6,,,,0,1,0,0,0.531
P4d2e34ba12,,,,0,1,1,1,0.588
Pca1e2194fa,,,,0,1,1,4,0.842
P400aecdd2c,,,,0,1,1,4,0.842
P47044d9385,,,,0,1,1,2,0.676
Pbc5d4fc393,,,,0,1,1,4,0.842
Pcfae2f19b7,,,,0,1,1,0,0.95
Pc2a67f2add,,,,0,1,1,1,0.625
P83b3d780d7,,,,0,1,1,3,0.784
Pa3f9e715ae,,,,0,1,1,4,0.0
P6d4d3ba13b,,,,0,1,1,2,0.694
P52c65c114a,,,,0,1,0,0,0.686
P4bc4764e2a,,,,0,1,1,1,0.794
P8d6fb61ea0,,,,0,1,1,0,0.95
P838aeb9cb6,,,,0,1,1,0,0.95
Pc6c9992e46,,,,0,1,1,2,0.694
P86f7665380,,,,0,1,1,2,0.714
P0267b55e6b,,,,0,1,1,3,0.771
Pa548aa166c,,,,0,1,1,1,0.706
Pf2c709b50b,,,,0,1,0,1,0.645
P319cf0c2e0,,,,0,1,0,0,0.438
P798e5b71ce,,,,0,1,1,1,0.743
Pd9273beb4e,,,,0,1,1,0,0.821
P47e358160b,,,,0,1,1,0,0.95
P1ba89514b1,,,,0,1,1,1,0.688
P4b46fb5c89,,,,0,1,1,1,0.857
Pc8a80657b3,,,,0,1,1,0,0.95
P337fb06bb7,,,,0,1,0,1,
Paa36360f59,,,,0,1,1,2,0.722
Pbf890a872a,,,,0,1,1,4,0.0
P2db62bcb6f,,,,0,1,1,3,0.771
P2cdeb4bf00,,,,0,1,1,2,0.629
P711641b36d,,,,0,1,1,2,0.788
Pbe0e1f0064,,,,0,1,0,0,0.406
P093d3a11ad,,,,0,1,1,1,0.576
P9926013d5a,,,,0,1,1,2,0.794
Pee7c22ed91,,,,0,1,0,1,0.606
