pid,tv_conf_tier,tv_ht_growth,tv_jersey,tv_mates_best_bpm,tv_mates_bpm_sum,tv_mates_drafted,tv_star_mate_minshare,tv_team_adjde,tv_team_adjoe,tv_team_barthag,tv_team_losses,tv_team_ncsos,tv_team_rank,tv_team_sos,tv_team_tempo,tv_team_wins
Pd01ecb3669,3,,11.0,9.53,47.77,7,0.818,89.08702487995032,115.52054627295571,0.9520335788658537,3,0.5202525065094739,4.0,0.6846497445081429,,35
Ped95bfcd7e,3,0,21.0,7.64,31.42,0,0.924,92.76473087986079,118.0115404983027,0.9409348562925032,8,0.4872830813609114,5.0,0.6702003432981866,,29
Pcc98298533,3,,14.0,7.33,29.63,2,0.646,91.67288607972363,109.80681146136288,0.8885191066881466,13,0.49493971373177814,31.0,0.7220590805424364,,22
Pb3be83363c,3,,15.0,9.04,45.25,7,0.839,89.08702487995032,115.52054627295571,0.9520335788658537,3,0.5202525065094739,4.0,0.6846497445081429,,35
P97ae54051b,3,0,13.0,7.43,33.69,1,0.823,95.25553052067647,120.39724505289726,0.9366530465591857,8,0.48765066277695185,7.0,0.7156255958045806,,27
Pc58bcc8049,3,0,10.0,5.9,25.76,0,0.879,95.8681197337147,116.75173881892763,0.906053884501357,11,0.5896906619348801,16.0,0.7404585732725151,,23
P297adbbd5f,3,0,1.0,5.14,15.65,0,0.898,93.62808469795854,107.57515964588478,0.8315822627179376,11,0.5101718028151305,54.0,0.7099879249171857,,20
P1402e898dc,2,1,20.0,7.42,26.94,1,0.769,89.55460967328666,109.80346670821098,0.9124721256491637,5,0.7369182397753143,14.0,0.6562055799182224,,33
P7f86ce09cc,2,1,24.0,2.2,-12.33,0,0.749,99.7894937508136,98.8184778007691,0.47191698776570856,18,0.4871086246083794,182.0,0.5446304693026301,,14
P7e584efe40,3,0,45.0,8.69,48.84,5,0.819,91.03983576895055,120.99474073337713,0.9634265611606779,3,0.5669193546829384,2.0,0.7149603053123675,,33
P10d0b75bed,3,,1.0,11.59,52.31,5,0.819,91.03983576895055,120.99474073337713,0.9634265611606779,3,0.5669193546829384,2.0,0.7149603053123675,,33
P8fac339738,3,0,32.0,7.34,17.81,2,0.711,95.69107795750475,106.91377169114335,0.7816524399252109,17,0.5291874493397207,71.0,0.7134085487939821,,20
P3f25ee2633,3,0,54.0,9.53,45.75,7,0.839,89.08702487995032,115.52054627295571,0.9520335788658537,3,0.5202525065094739,4.0,0.6846497445081429,,35
P502aba077e,2,1,1.0,4.79,24.61,0,0.817,98.60067505303556,113.80723148797344,0.8388128503726076,9,0.5373445193701699,51.0,0.5492886110230101,,27
P6f36cd1fed,2,0,5.0,4.29,14.9,1,0.864,102.94723228221989,113.37901232792348,0.7521248439694157,13,0.6155115041564205,80.0,0.5980693492940434,,20
P0d0da4d2bc,3,,24.0,9.53,50.58,7,0.839,89.08702487995032,115.52054627295571,0.9520335788658537,3,0.5202525065094739,4.0,0.6846497445081429,,35
P871b04878c,3,,0.0,8.3,37.0,3,0.748,94.00089761751278,114.07538830709568,0.9025500113454981,10,0.5185814074999435,22.0,0.6989596391894766,,24
Pb46ac34cd7,3,0,23.0,7.66,27.73,0,0.826,95.05984431203984,114.37657845484401,0.893536163552168,11,0.45631120226578864,29.0,0.6781230342992578,,22
P54e531f2ec,3,0,21.0,6.88,15.28,1,0.792,96.1003866499062,107.37615183129543,0.781745057349805,17,0.4832988090464416,70.0,0.6828669506688918,,15
Pd646388a2b,2,1,15.0,7.15,19.09,0,0.769,100.07211406164987,115.4981068875513,0.8387119376717359,10,0.4646184443718734,52.0,0.5803543644203485,,24
P780225999f,3,0,35.0,9.34,28.13,0,0.674,91.52930878451608,111.41007305314284,0.905545806200979,11,0.4715578535637598,17.0,0.6840563289235658,,21
P38bff88a77,3,0,5.0,7.98,33.72,3,0.729,94.00089761751278,114.07538830709568,0.9025500113454981,10,0.5185814074999435,22.0,0.6989596391894766,,24
Pa56ca2c36c,3,0,20.0,3.61,8.27,0,0.889,96.20179806309162,107.21927974141214,0.7767666545446459,13,0.47905939382810664,74.0,0.6800962078140664,,20
Pdc16ca4e2e,3,-1,20.0,7.2,29.83,1,0.754,93.73701144046177,113.02096612911053,0.8958016448509719,10,0.5602464694975512,28.0,0.6882250370529338,,26
P2c1e066057,2,0,55.0,6.16,35.51,0,0.772,95.84117195517028,116.61904925345137,0.9052125801708535,9,0.6539014795424709,18.0,0.675452111176573,,26
P4793f789c0,3,0,21.0,8.02,31.31,1,0.758,96.7233579007435,118.29632552150832,0.9101431906376862,9,0.4553314696982934,15.0,0.6838414492217718,,23
P4d2f3d5dbd,3,,33.0,9.53,47.4,7,0.839,89.08702487995032,115.52054627295571,0.9520335788658537,3,0.5202525065094739,4.0,0.6846497445081429,,35
P7072c546bd,3,0,32.0,9.25,26.96,2,0.844,95.52540609655985,115.38840614367686,0.8977511930117182,12,0.45565103624661735,26.0,0.6821975047560379,,22
P581e368d46,3,0,34.0,8.3,34.03,3,0.748,94.00089761751278,114.07538830709568,0.9025500113454981,10,0.5185814074999435,22.0,0.6989596391894766,,24
P830611c613,2,,21.0,4.14,16.77,0,0.665,99.45362025965284,109.87228520947613,0.7587270561167768,10,0.4967313341169932,77.0,0.5627225604881498,,21
P815e63680a,2,0,23.0,4.81,19.45,1,0.932,102.94723228221989,113.37901232792348,0.7521248439694157,13,0.6155115041564205,80.0,0.5980693492940434,,20
P24b8a1c556,3,0,24.0,6.37,30.08,0,0.811,97.810418311737,112.88414150524534,0.8386618793569889,11,0.4909032300202645,53.0,0.6465375811166248,,24
P96ac6f0cd3,2,,1.0,9.21,18.68,0,0.796,98.47214700223441,114.84410041946748,0.854298539071709,5,0.5674214614264669,45.0,0.6068705048101108,,30
P7a82e40751,3,-1,1.0,9.71,36.11,1,0.874,91.4107273110335,118.5478018012704,0.9520958906882897,5,0.4911609305668797,3.0,0.6920826871602124,,30
P27a3420564,3,0,2.0,3.29,-0.83,0,0.841,99.46275913454738,106.90429903587534,0.6962985757145487,18,0.5256932698427931,100.0,0.6750392173977687,,14
P0aa146e53e,3,,33.0,6.38,23.54,0,0.751,95.12083332218748,106.86784554186588,0.7923447197080891,16,0.5011091992405138,68.0,0.6966636614019065,,19
Pe03992058c,3,0,32.0,4.75,21.54,0,0.865,93.98487593518232,110.65116513965538,0.8673076302718046,12,0.48310136789091235,41.0,0.6377953211546419,,24
Pbd2eb786d3,3,0,1.0,9.18,34.99,1,0.812,92.843135395454,117.25575325662436,0.9361136040231695,7,0.6281944795886798,8.0,0.7646252011927219,,31
P966e81614a,3,0,3.0,9.18,36.34,1,0.879,92.843135395454,117.25575325662436,0.9361136040231695,7,0.6281944795886798,8.0,0.7646252011927219,,31
P433bbb1ab7,2,,23.0,6.04,8.51,0,0.859,97.99742128488273,107.24703957923064,0.7383149047810131,12,0.5238953994418021,82.0,0.603350722033489,,22
Pe82bc0553e,3,0,31.0,8.83,36.37,2,0.692,91.67288607972363,109.80681146136288,0.8885191066881466,13,0.49493971373177814,31.0,0.7220590805424364,,22
P3d55371834,3,0,32.0,8.08,29.12,2,0.782,87.28615215953411,104.5136840409381,0.8880972552643783,10,0.4851854249620615,32.0,0.6857238082795887,,22
P3daa0c9125,2,0,15.0,5.09,5.45,0,0.81,99.42941693920972,104.1189784844334,0.6294812281808365,11,0.43803745331125493,120.0,0.530992994201173,,24
Pc62b6f4e46,3,0,44.0,7.4,30.45,0,0.927,100.40330446689967,120.27507988613431,0.8886220684660777,12,0.38339575527055936,30.0,0.6559809559546241,,23
Pec2bc35d4f,3,0,13.0,4.89,13.25,0,0.88,103.02877717361672,111.19804393809757,0.7063041402914496,18,0.5210910037515233,96.0,0.7124998077931508,,13
Pbbec177bac,2,0,40.0,3.85,-1.71,0,0.899,102.06908445149108,106.31909142890723,0.6151807399358842,13,0.6205953670774847,131.0,0.4564052032992243,,21
Pe6ceea2b5e,3,0,5.0,1.87,-10.12,0,0.839,102.85949865106399,103.83557526757696,0.5271267773634879,17,0.4020437058768335,161.0,0.6552662267844518,,14
P544c115a68,3,0,42.0,8.08,33.15,2,0.782,87.28615215953411,104.5136840409381,0.8880972552643783,10,0.4851854249620615,32.0,0.6857238082795887,,22
P6ff85cb7e1,2,0,4.0,7.02,30.08,1,0.824,90.85489185738561,108.39354072081088,0.8838911595096418,7,0.4565501176057776,35.0,0.5790772249065531,,26
P19913201dd,2,0,1.0,5.41,7.89,1,0.838,97.99742128488273,107.24703957923064,0.7383149047810131,12,0.5238953994418021,82.0,0.603350722033489,,22
P4570803785,3,0,4.0,11.59,55.93,6,0.683,91.03983576895055,120.99474073337713,0.9634265611606779,3,0.5669193546829384,2.0,0.7149603053123675,,33
P11d27a665c,3,0,15.0,8.67,39.9,0,0.68,98.58984967761583,114.83872704345316,0.8525126043453346,13,0.5119918613321575,47.0,0.6995326645723299,,20
P467d53ba82,3,0,,9.53,35.43,1,0.799,93.42709874321177,111.87644232454306,0.8881971553744847,7,0.4462760877296513,26.0,0.6641363988347437,,24
