pid,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_stops,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr
Pd01ecb3669,122.661,88.9148,19.69,34.8,1.61745724,10,7.01303,,,,,,,,,,,,2.65842,2.99503,4.64073,10.1,93.3072,0.198,0.892,50.3,,53.0,0,7.67192,37.0,0,NC,0.315,0.3,83.9,34.8108,4.3546,4.67689,2.7,108.7,2.2,4.41717,16.6486,99.8,0.6374,0.43,1,1,,247.229,0.27,24.2,56.18,26.9,1
Ped95bfcd7e,134.66,83.9437,21.69,37.5,1.36028349,10,11.3474,1,7.776,-4.8,11.7,3.129,2.3,-18.0,-15.6,1.0,-0.28,5.1,5.65301,4.40354,5.38624,23.5,87.8032,0.146,0.581,54.0,4.41249,39.8,0,11.2628,31.0,0,IL,0.4109,0.582,74.4,35.7419,5.69436,6.85921,7.4,108.9,3.1,6.02087,20.3871,90.8,0.7846,0.293,5,3,3.467,257.401,0.124,21.7,58.15,34.5,3
Pcc98298533,118.341,84.3641,19.69,7.3,0.38374508,10,8.828,,,,,,,,,,,,6.03311,3.77572,4.16348,20.2,88.5618,0.32,1.514,61.5,,47.6,0,7.4474,35.0,0,GA,0.3571,0.389,69.2,27.7714,2.79489,3.67168,12.5,109.0,3.8,3.13216,12.5714,100.0,0.7829,0.608,8,1,,235.754,0.003,22.9,62.31,21.8,1
Pb3be83363c,134.082,79.4436,19.69,9.2,0.487187,10,9.5315,,,,,,,,,,,,4.91907,3.54031,3.89846,24.9,83.3244,0.302,1.395,56.0,,72.6,0,9.54933,38.0,0,AL,0.3497,0.455,58.2,23.5,4.61242,6.00902,19.9,113.5,5.5,3.90491,15.1316,99.6,0.7619,0.528,8,1,,242.468,0.017,16.0,57.93,30.8,1
Pc58bcc8049,123.362,87.003,20.69,22.4,1.14286144,10,7.96374,0,1.311,1.5,3.6,-2.011,-4.2,-5.7,9.6,-4.4,-4.49,4.5,4.71849,3.4071,4.83737,25.2,93.1304,0.092,0.618,53.4,9.97442,54.3,0,7.78806,34.0,0,LA,0.3235,0.278,85.6,34.2353,3.24525,4.38096,8.6,106.8,3.0,4.47139,16.1471,98.6,0.6471,0.649,7,2,-2.011,266.081,0.074,20.8,56.68,27.5,2
P297adbbd5f,117.633,85.9556,20.69,9.1,0.41415375,10,6.47474,1,7.488,-1.247,0.1,1.185,-5.7,-0.5,3.9,-2.6,-4.05,5.6,3.81114,2.24252,4.42786,20.5,90.2827,0.277,1.484,47.1,5.28985,53.2,0,6.35565,31.0,0,GA,0.2741,0.361,76.4,31.2903,2.6636,4.11313,14.6,101.8,3.8,3.38288,15.8387,98.4,0.6474,0.463,7,2,1.185,237.061,0.176,20.6,52.4,27.8,2
P1402e898dc,123.638,85.0095,20.69,12.1,0.72942144,10,8.5747,0,-0.824,-3.41,-2.0,-1.736,-7.3,10.1,-1.7,-9.2,-4.58,5.2,4.65761,3.37007,4.9465,23.4,88.9765,0.156,0.514,52.7,10.3109,57.9,0,8.92134,37.0,0,,0.4416,0.211,81.2,33.4865,3.91709,5.55127,7.6,113.3,2.5,4.3908,15.4595,,0.6953,0.351,6,2,-1.736,258.749,0.438,17.5,60.13,24.4,2
P7f86ce09cc,115.602,92.7672,20.69,22.6,0.96627442,10,6.65875,1,6.912,-6.011,10.4,2.793,-4.7,-2.6,-12.6,-1.6,-1.12,6.0,3.25787,2.44215,4.02443,18.6,94.6435,0.208,0.643,51.0,3.86542,34.8,0,6.72555,28.0,0,CA,0.2683,0.234,72.6,33.1786,3.40089,4.28339,6.8,105.6,3.5,3.43996,16.7143,61.6,0.6604,0.302,5,2,2.793,210.186,0.464,20.8,57.22,27.3,2
P7e584efe40,122.431,77.7697,21.69,5.8,0.55354846,10,11.5905,1,-9.596,-2.648,-1.4,0.36,-3.6,13.8,-7.4,-7.4,-4.41,-1.2,8.45539,5.32901,4.6048,25.4,82.6828,0.262,0.889,56.2,7.55554,60.0,0,9.91695,36.0,0,MN,0.4101,0.525,66.4,26.75,3.13507,4.58794,13.6,116.9,3.8,3.38383,11.2778,94.8,0.7302,0.475,8,3,2.017,264.514,0.0,16.4,59.61,20.2,3
P10d0b75bed,121.29,86.8511,19.69,9.8,0.76809101,10,8.11852,,,,,,,,,,,,2.77288,2.71308,3.87329,11.5,92.3379,0.189,0.472,55.5,,32.5,0,8.15227,36.0,0,OK,0.3333,0.28,68.3,27.5,5.34565,5.43919,5.2,113.7,2.7,3.37062,13.4167,99.0,0.6667,0.254,4,1,,196.4,0.466,18.2,59.1,21.7,1
