pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P00193b3ed9,0,0.0,0,0.0,0,0.0,0,0.0,1,4,13.514,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.757,0,0.0,0,0.0,,3,9,0,0.0,0,4789,0.0,0.4,0,0.0,296
P002581103b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0035c2f0b3,1,0.996,0,0.0,0,0.0,0,0.0,1,5,4.98,1,0.996,0,0.0,3,2.988,1,2.988,0,0.0,0,0.0,4,3.984,1,4.98,1,6.972,,40,7,4,3.984,0,20315,0.0,0.571,1,1.992,1004
P004efe3965,1,2.513,1,2.513,1,2.513,0,0.0,1,0,0.0,1,2.513,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,15.075,0,0.0,0,0.0,,9,4,3,7.538,0,5976,0.0,0.667,0,0.0,398
P0057628fa2,0,0.0,0,0.0,0,0.0,1,1.462,1,4,5.848,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.462,6,8.772,0,0.0,0,0.0,,22,6,3,4.386,0,13345,0.0,0.667,0,0.0,684
P0086aec335,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.149,,3,2,1,4.149,0,2928,0.0,0.0,0,0.0,241
P00e7133fc6,15,4.631,3,0.926,1,0.309,23,7.101,1,31,9.571,8,2.47,1,0.309,0,0.0,0,0.0,3,0.926,11,3.396,33,10.188,0,0.0,1,0.309,,154,13,8,2.47,1,66829,0.309,0.769,1,0.309,3239
P01056a0f18,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P011de6a94b,0,0.0,0,0.0,0,0.0,1,2.732,1,1,2.732,3,8.197,0,0.0,0,0.0,0,0.0,0,0.0,1,2.732,3,8.197,0,0.0,0,0.0,,8,5,0,0.0,0,6131,0.0,0.5,0,0.0,366
P014b6ed928,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0157d20b94,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1,3,0,0.0,0,1495,0.0,0.0,0,0.0,76
P01bc9a886e,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01dc454b71,0,0.0,0,0.0,0,0.0,3,6.711,1,0,0.0,1,2.237,0,0.0,0,0.0,0,0.0,0,0.0,2,4.474,3,6.711,0,0.0,1,2.237,,18,7,0,0.0,0,10030,0.0,0.5,0,0.0,447
P01fc763e95,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P021e6add75,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P023bbe5ec1,0,0.0,0,0.0,0,0.0,0,0.0,1,2,7.326,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.663,0,0.0,0,0.0,,3,4,0,0.0,0,4596,0.0,0.25,0,0.0,273
P0267b55e6b,0,0.0,0,0.0,0,0.0,0,0.0,1,6,19.169,0,0.0,0,0.0,0,0.0,1,3.195,0,0.0,0,0.0,2,6.39,0,0.0,1,3.195,,9,4,0,0.0,0,5253,0.0,0.4,0,0.0,313
P027da49c30,0,0.0,0,0.0,0,0.0,0,0.0,1,2,7.722,0,0.0,0,0.0,2,7.722,0,0.0,0,0.0,2,7.722,0,0.0,0,0.0,1,11.583,,5,4,2,7.722,0,4061,0.0,0.0,0,0.0,259
P0326e23b0d,1,1.153,1,1.153,3,3.46,8,9.227,1,9,10.381,2,2.307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.46,0,0.0,0,0.0,,36,9,1,1.153,0,18376,0.0,0.5,1,1.153,867
P032d23c9d9,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,5.587,0,0.0,0,0.0,1,5.587,1,5.587,0,0.0,0,0.0,,2,3,0,0.0,0,2411,0.0,0.25,0,0.0,179
P03f35a2855,1,2.778,0,0.0,0,0.0,2,5.556,1,1,2.778,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.556,0,0.0,0,0.0,0,0.0,,11,5,1,2.778,0,7882,0.0,0.0,1,5.556,360
P04282e0cbf,0,0.0,0,0.0,0,0.0,3,5.282,1,2,3.521,0,0.0,0,0.0,4,7.042,0,0.0,0,0.0,3,5.282,2,3.521,0,0.0,0,0.0,,13,8,2,3.521,0,8311,0.0,0.4,0,0.0,568
P04526b8576,0,0.0,0,0.0,1,1.562,1,1.562,1,1,1.562,2,3.125,0,0.0,0,0.0,0,0.0,0,0.0,2,3.125,5,7.812,0,0.0,1,3.125,,23,6,1,1.562,0,11944,0.0,0.625,1,1.562,640
P0459b830f2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P049a006ba4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04b95b58e0,0,0.0,0,0.0,1,0.625,2,1.251,1,0,0.0,0,0.0,0,0.0,30,18.762,0,0.0,1,0.625,1,0.625,10,6.254,0,0.0,0,0.0,,34,9,7,4.378,0,22746,0.0,0.643,0,0.0,1599
P05061c84a0,1,16.129,0,0.0,0,0.0,1,16.129,1,1,16.129,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,1,0,0.0,1,925,16.129,0.0,0,0.0,62
P058ee51b71,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05f9ca4653,0,0.0,0,0.0,0,0.0,6,7.034,1,10,11.723,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.345,6,7.034,0,0.0,0,0.0,,22,10,7,8.206,0,14261,0.0,0.667,0,0.0,853
P0685226773,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P070f8d3585,0,0.0,0,0.0,0,0.0,6,12.397,1,1,2.066,0,0.0,0,0.0,9,18.595,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,13,7,3,6.198,0,8080,0.0,0.0,1,4.132,484
P07268bf0e1,0,0.0,0,0.0,0,0.0,0,0.0,1,2,3.082,0,0.0,0,0.0,0,0.0,1,1.541,0,0.0,5,7.704,4,6.163,0,0.0,1,4.622,,29,8,0,0.0,0,15168,0.0,0.571,0,0.0,649
P07655923d4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07954fea73,1,2.193,0,0.0,0,0.0,0,0.0,1,1,2.193,0,0.0,0,0.0,13,28.509,0,0.0,0,0.0,0,0.0,4,8.772,0,0.0,0,0.0,,1,11,3,6.579,0,4879,0.0,0.571,0,0.0,456
P079efef655,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07bb9cb58f,0,0.0,0,0.0,1,1.179,1,1.179,1,2,2.358,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.358,1,1.179,1,4.717,0,0.0,,25,10,0,0.0,0,15946,0.0,0.25,1,3.538,848
P07fb065f28,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0820723beb,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P086a09588e,1,0.631,1,0.631,4,2.524,3,1.893,1,4,2.524,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.893,18,11.356,1,1.262,0,0.0,,36,19,5,3.155,0,23711,0.0,0.857,1,0.631,1585
P089ae8ca96,0,0.0,0,0.0,0,0.0,0,0.0,1,1,5.747,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.747,1,5.747,0,0.0,0,0.0,,2,3,0,0.0,0,2337,0.0,0.25,0,0.0,174
P08bc96e9be,3,2.747,0,0.0,0,0.0,3,2.747,1,5,4.579,7,6.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,5.495,0,0.0,0,0.0,,40,11,0,0.0,1,18723,0.916,0.667,0,0.0,1092
P08c56d3590,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,1,1.815,1,1.815,0,0.0,2,3.63,1,3,5.445,0,0.0,0,0.0,2,3.63,0,0.0,0,0.0,2,3.63,4,7.26,0,0.0,0,0.0,,0,1,2,3.63,0,3892,0.0,0.571,0,0.0,551
P09caf918fb,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a16bf5dcd,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a2d28a2d0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a4bbd8b0a,0,0.0,0,0.0,1,3.175,1,3.175,1,2,6.349,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.175,2,6.349,0,0.0,0,0.0,,9,5,1,3.175,0,5867,0.0,0.4,1,3.175,315
P0aa146e53e,2,1.665,1,0.833,5,4.163,1,0.833,1,11,9.159,1,0.833,0,0.0,2,1.665,0,0.0,1,0.833,1,0.833,6,4.996,0,0.0,0,0.0,,26,6,1,0.833,0,14785,0.0,0.5,0,0.0,1201
P0ad01302af,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0af0ac79ae,0,0.0,0,0.0,0,0.0,0,0.0,1,6,28.169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,6,2,0,0.0,0,3351,0.0,0.0,0,0.0,213
P0b1f22f2d4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0b253c1504,0,0.0,0,0.0,0,0.0,2,4.107,1,4,8.214,3,6.16,0,0.0,0,0.0,0,0.0,0,0.0,2,4.107,2,4.107,0,0.0,1,2.053,,18,7,2,4.107,0,10872,0.0,0.4,1,2.053,487
