pid,y_gl_seasons,y_gl_gp,y_gl_minutes,y_gl_pts36,y_gl_reb36,y_gl_ast36,y_gl_value
P53a27c701d,1,1.0,27.8,25.899,3.885,3.885,36.388
P58604dcdcf,1,43.0,1464.8,15.896,6.429,2.158,26.848
P8aa2e06ade,1,15.0,427.5,18.821,3.158,5.305,30.568
P48772fff87,2,53.0,1063.8,22.149,11.58,1.289,37.979
Paa92a86ff3,2,33.0,1083.9,26.514,5.301,5.41,40.991
P5d0988f1e1,2,22.0,755.6,22.698,4.097,8.652,40.593
P1597c7370a,2,40.0,1153.0,16.892,5.776,4.309,30.286
Pe1b87bba68,2,89.0,2944.8,20.158,9.181,3.27,36.08
Pce366ff1b3,1,31.0,1069.5,21.183,10.122,3.13,38.024
Pf0f9e6d8f5,2,47.0,1298.3,18.448,13.415,1.453,36.725
Pdb78b3595b,3,87.0,2886.4,25.447,10.085,2.834,41.8
Pfafab37502,1,30.0,660.0,13.255,11.455,3.109,31.664
P9d178fdf5d,1,35.0,1190.0,18.635,7.518,2.118,30.833
P80ec619552,2,48.0,1104.6,13.219,8.281,1.75,25.782
Pceb9387e05,1,2.0,50.8,23.386,6.378,4.961,38.48
Pff95561f44,1,17.0,525.3,20.505,10.252,1.748,35.429
P30aaba02d5,1,1.0,9.0,,4.0,4.0,10.8
P88accb87c9,1,15.0,400.5,23.191,15.775,2.292,45.56
P7f722372b8,1,24.0,482.4,15.761,12.896,1.612,33.654
P9f8d851f22,1,18.0,505.8,18.833,8.712,1.537,31.593
P8e9f5cd10b,3,73.0,2252.8,11.977,8.533,4.535,29.02
P76650bc6e2,2,29.0,662.1,19.781,8.797,2.262,33.73
P8d6369038a,1,2.0,83.2,23.365,3.462,6.923,37.904
P8e2f7481af,2,14.0,475.2,22.439,7.727,3.485,36.939
P04c242f081,1,16.0,523.2,28.734,7.486,3.853,43.497
P5f230da818,3,83.0,2418.1,20.599,9.495,1.825,34.731
P4e9a2418a1,2,50.0,1694.0,17.724,8.543,3.273,32.885
Pcfa1d05a1c,2,86.0,3087.4,22.212,4.763,6.869,38.231
P7222e0f90b,1,1.0,26.0,23.538,15.231,1.385,43.892
Pa33d5803eb,2,14.0,474.9,25.493,6.201,1.888,35.766
Pc44acb797a,1,2.0,56.4,9.574,8.936,1.915,23.17
Pc42b84faf5,2,71.0,2649.0,22.921,3.376,4.559,33.811
P3692b72eac,3,63.0,2056.4,18.797,3.844,3.806,29.119
P2db6f2cc8f,1,12.0,320.4,21.843,8.629,2.562,36.04
Pe6009787c4,2,37.0,874.6,14.724,11.793,1.926,31.764
P2b78ea748d,1,23.0,664.7,19.308,9.716,1.993,33.957
P6f658be6bb,1,35.0,934.5,16.18,12.135,1.348,32.764
P09fcc624c4,3,71.0,2295.7,22.23,8.837,2.197,36.129
P0d567b6867,3,107.0,3509.2,19.562,7.007,5.701,36.522
P5c19a79a93,1,4.0,136.0,20.647,4.976,3.706,32.178
P87be528da0,2,18.0,591.4,14.195,6.014,6.544,31.228
P3022e1c032,2,31.0,994.7,16.478,3.898,6.601,31.058
P1804943702,2,11.0,376.9,21.682,7.45,1.719,33.201
Pe73b4eac92,3,78.0,2252.8,14.451,6.99,1.711,25.406
P45b94f1aab,3,56.0,1856.7,19.69,5.828,5.817,35.409
Pdb8fb82c3b,1,4.0,65.2,9.939,11.043,0.663,24.184
Pefc5241948,1,31.0,871.1,15.246,7.943,3.459,29.966
P6514225148,1,1.0,34.4,18.837,10.465,4.186,37.674
Pba3a4faeb9,1,17.0,503.2,18.608,4.743,6.689,34.334
Pf5ec6d144b,2,23.0,703.0,14.723,4.604,7.067,30.847
P22340c4458,2,6.0,207.6,22.578,6.763,3.121,35.376
P15c3bdbcba,1,4.0,129.6,21.111,12.222,3.333,40.778
P52f2ddbdea,1,22.0,660.0,17.04,4.32,4.08,28.344
P14a01dedf9,2,44.0,1558.8,25.751,3.393,3.938,35.728
P1ba89514b1,1,7.0,228.2,19.988,9.166,1.546,33.306
Pb2b564e4f2,1,41.0,1455.5,22.817,5.577,6.186,38.789
Pd6736ed788,1,25.0,840.0,19.714,4.929,4.393,32.218
P7dfb5a7395,3,84.0,2380.8,16.204,7.485,2.667,29.186
P36f801ddc1,1,4.0,142.8,15.328,5.244,8.269,34.024
P82dc635a40,3,54.0,1685.9,21.082,3.844,7.459,36.883
Pd46f6361f5,2,54.0,1824.0,17.42,11.937,1.504,34.0
P4f854a47d9,2,78.0,1985.0,17.334,9.87,1.614,31.599
Pcb0e772806,1,3.0,81.3,13.683,5.314,3.587,25.439
P35bbbcf03e,3,86.0,2826.2,19.227,6.076,5.337,34.524
Pe666c9e1f4,1,2.0,45.0,21.6,8.0,1.6,33.6
Pb10189ae74,2,53.0,1755.8,14.205,4.902,7.66,31.578
Pf93789f1b5,3,56.0,1702.6,18.423,5.182,6.039,33.7
Paca468f5b5,2,33.0,1009.3,15.972,10.105,0.803,29.302
P539be6c711,1,12.0,211.2,11.25,8.591,3.477,26.775
P9990134f41,1,30.0,1116.0,17.903,4.645,5.129,31.171
