pid,gt_class_pct,gt_days_above10,gt_last30_ratio,gt_peak_ratio,gt_ratio,gt_topic,gt_trend,gt_zero_share,misc_birth_month,misc_birth_q,misc_born_usa,misc_prep,prog_prev_hit_rate,prog_prev_mean_war5,prog_prev_n,rsci_avg,rsci_best,rsci_chg,rsci_dev,rsci_frac_ranked,rsci_hs_height_in,rsci_hs_pos,rsci_hs_to_pro,rsci_n_ranked,rsci_n_services,rsci_prep_5th,rsci_range,rsci_rank,rsci_std,rsci_top100,rsci_total_norm,rsci_worst,rsci_years_to_draft,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span,ts_coach_prev_hit_rate,ts_coach_prev_mean_war5,ts_coach_prev_n,ts_conf_champ,ts_in_ncaa,ts_ncaa_round,ts_win_pct,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_conf_tier,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state_code,tv_ht_growth,tv_jersey,tv_mates_best_bpm,tv_mates_bpm_sum,tv_mates_drafted,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_star_mate_minshare,tv_stops,tv_team_adjde,tv_team_adjoe,tv_team_barthag,tv_team_losses,tv_team_ncsos,tv_team_rank,tv_team_sos,tv_team_wins,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words,wp_created_days_before,wp_editors_90d,wp_editors_pre,wp_exists,wp_revs_365d,wp_revs_90d,wp_revs_pre,wp_size_pre
P58604dcdcf,0.897,0,0.0,0.02,0.0057,0,0.928,0.971,12,4,1,0,0.167,4.961,6,,,,,,,,,,,,,,,,,,,0.017,0.047,0.089,0.021,-0.149,-3.8,-0.058,1.565,-0.205,37.0,0,32.4,15.556,15.0,4,1,4.83,0.092,3,,,0,0,1,3,0.73,120.674,91.6436,22.52,16.8,1.58730244,12,5.21649,0,3,3.613,-2.923,-1.4,0.518,7.3,-0.5,-9.9,5.5,2.22,-2.0,2.09939,1.74379,4.23594,16.5,97.2899,0.161,0.649,48.5,3.99955,58.4,0,5.54096,37.0,0,35,1,10.0,13.49,36.16,0,0.3478,0.411,80.0,32.4324,3.11709,3.79717,8.0,109.1,2.2,3.65128,13.973,72.8,0.6335,0.411,5,4,-0.17,0.754,206.663,93.0862376253504,115.32829868110974,0.9215755883947558,10,0.5191273147570545,19.0,0.7095080259204923,27,0.179,13.0,51.37,24.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,7,37,1,37,15,91,5207
P379acc01ca,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P16f60c6002,0.0,0,0.0,0.0,0.0,0,1.0,1.0,12,4,,0,,,,49.0,41.0,-5.0,8.2,1.0,77,2,0,5,5,0,19.0,48,7.31,1,0.5251,60.0,5,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.394,135.549,97.6484,23.5,9.9,1.2727707,12,7.57057,1,3,9.922,1.048,-4.0,1.463,3.2,20.1,-0.8,8.5,4.94,0.0,0.974087,1.8583,3.66956,9.2,104.393,0.254,0.743,58.4,4.13128,54.4,0,7.99027,35.0,0,43,1,10.0,9.74,39.61,1,0.4141,0.282,81.9,32.8857,6.59649,6.13197,2.1,126.7,2.2,5.41575,16.2857,91.2,0.7018,0.325,4,4,1.485,0.751,179.448,97.69477291645234,120.32363609207535,0.916512269397739,8,0.5953812723747626,14.0,0.7436332984447275,27,0.393,10.9,64.52,21.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P267f5baf8e,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,10,71,1,89,23,138,5346
P8955b1a9c4,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P099a8d0c1c,,,,,,,,,5,2,0,0,,,0,,,,,,,,,,,,,,,,,,,-0.24,0.415,0.043,-0.004,0.052,4.6,6.18,0.825,0.555,35.0,1,35.0,20.983,4.6,2,1,4.6,6.18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.815,1,1.815,0,0.0,2,3.63,1,3,5.445,0,0.0,0,0.0,2,3.63,0,0.0,0,0.0,2,3.63,4,7.26,0,0.0,0,0.0,,0,1,2,3.63,0,3892,0.0,0.571,0,0.0,551,133,4,4,1,24,14,24,3892
P3470a61a00,,,,,,,,,12,4,1,0,,,0,7.0,5.0,-2.0,2.4,0.833,81,,0,5,6,0,6.0,7,2.19,1,0.94,11.0,1,,,,,,,,,,36.0,1,22.2,18.324,0.0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,1,14.706,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0,0,0.0,0,560,0.0,0.0,0,0.0,68,4,2,2,1,3,3,3,560
P5e4491e5c3,,,,,,,,,10,4,1,0,,,0,10.0,7.0,3.0,,0.875,72,1,0,7,8,0,4.0,6,1.29,1,0.9143,11.0,2,0.792,-0.429,-0.045,0.009,-0.009,-0.2,0.634,1.315,-0.306,32.0,1,33.4,16.491,-0.2,2,1,-0.2,0.634,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,5,40.323,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.065,0,0.0,0,0.0,0,0.0,,0,0,0,0.0,0,934,0.0,0.0,0,0.0,124,143,7,16,1,24,8,24,934
Pc047806c80,,,,,,,,,12,4,1,0,,,0,,3.0,0.0,,1.0,73,1,0,4,4,0,0.0,3,0.0,1,0.9825,3.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,2.74,0,0.0,1,2.74,1,7,19.178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,10.959,8,21.918,0,0.0,0,0.0,10,0,2,2,5.479,0,2388,0.0,0.727,0,0.0,365,107,2,5,1,29,26,29,2388
Pf804162018,,,,,,,,,5,2,1,0,,,,5.0,1.0,4.0,2.4,0.833,78,2,1,5,6,0,6.0,3,2.14,1,0.9717,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
