pid,cbs_g_3p_prior_n,cbs_a_AST_USG,cbs_a_AST_TO,cbs_h_stl_pg,cbs_g_age_at_draft_exact,cbs_g_bpm_age_z,cbs_g_ast_tov_vs_top_opp_se,cbs_g_ast_usg_slope_pop,cbs_g_ts_usg_slope_pop,cbs_g_tov_usg_slope_pop,cbs_g_ft_prior_n,cbs_g_match_conf
P099a8d0c1c,,0.61,0.85,0.8333333333333334,,,,,,,,
P3470a61a00,,0.26,0.46,1.0588235294117647,,,,,,,,
P5e4491e5c3,,1.57,2.38,2.2857142857142856,,,,,,,,
Pc047806c80,,1.7,1.93,2.088235294117647,,,,,,,,
Pf804162018,,,,,,,,,,,,
P572a4194e6,,,0.57,,,,,,,,,
Pcb4360a784,,0.3,0.37,0.4814814814814814,,,,,,,,
P5afd5b991d,,1.59,2.42,0.945945945945946,,,,,,,,
Pff47b96114,,,,,,,,,,,,
P2f15d5867f,,,,,,,,,,,,
P8a3b7b6860,,0.42,0.66,1.1714285714285717,,,,,,,,
P9f246cdbe1,,0.72,1.4,1.2903225806451613,,,,,,,,
Pf4d4553b6f,,,0.92,1.1111111111111112,,,,,,,,
Pc295aab61a,,0.49,0.76,1.0,,,,,,,,
P81f3558def,,,,,,,,,,,,
P959d20dcac,,1.13,1.82,1.4666666666666666,,,,,,,,
P9cbbbfe0cc,,0.97,2.1,1.8,,,,,,,,
Pa4dad52ff4,,1.2,1.32,1.7142857142857142,,,,,,,,
P311b5f6b41,,0.98,1.42,1.7941176470588236,,,,,,,,
P6f59c256f3,,0.93,2.17,1.6756756756756757,,,,,,,,
P5ea12f1777,,,0.55,,,,,,,,,
P17786d3599,,0.25,0.44,0.9333333333333332,,,,,,,,
Pd11ab06c36,,0.44,0.6,0.6129032258064516,,,,,,,,
P3e3a854ff5,,,0.08,,,,,,,,,
P8c537f5a4d,,0.33,0.6,0.6521739130434783,,,,,,,,
P13a7a5112c,,0.54,0.92,0.8529411764705882,,,,,,,,
Pdb057d444b,,,1.35,1.9310344827586208,,,,,,,,
P690d8b352a,,0.24,0.46,0.8148148148148148,,,,,,,,
P19de9513b3,,,,,,,,,,,,
Pc6a39f466a,,,0.0,,,,,,,,,
Pd382320a3c,,0.36,0.69,0.4230769230769231,,,,,,,,
Peb2d46202e,,1.79,2.76,1.5625,,,,,,,,
P83f985b4bd,,0.59,0.98,1.0833333333333333,,,,,,,,
Pce1d0d3699,,,2.12,,,,,,,,,
P01bc9a886e,,0.3,0.51,0.32,,,,,,,,
P6b0e9b0b2a,,,0.4,,,,,,,,,
P11475d8eed,,,0.33,,,,,,,,,
P43e7adb565,,0.67,1.03,1.173913043478261,,,,,,,,
Pdacd6ab94d,,,1.12,,,,,,,,,
P63a21fbef6,,,,,,,,,,,,
P74b71b0d31,,,1.32,1.4444444444444444,,,,,,,,
P83f12f36b1,,,,,,,,,,,,
P1378011126,,,1.18,2.772727272727273,,,,,,,,
P2b78092e41,,0.54,0.69,1.5,,,,,,,,
Pbb4d6101de,,0.44,0.7,1.5,,,,,,,,
P1dfb3826fd,,,,,,,,,,,,
P38dadf836a,,,0.55,,,,,,,,,
Pb5af3844f5,,0.9,1.39,1.3571428571428572,,,,,,,,
P0820723beb,,,0.29,,,,,,,,,
Pb9c495a67d,164.33981469795617,0.34,0.52,0.7631578947368421,19.526351813826142,2.491165530698835,0.1063140888132907,0.0755693937717574,0.0025539896438901,0.0345032219600481,36.15379162183096,1.0
P3e493925a2,,,,,,,,,,,,
P9a02cf437c,196.33243797545308,1.47,2.86,1.5128205128205128,19.123887748117728,2.399479108267823,0.4025432201592891,0.0755693937717574,0.0025539896438901,0.0345032219600481,32.290970117181715,1.0
Pb067831a66,173.9699532091936,0.6,1.45,0.6538461538461539,21.596167008898018,2.2914104092064167,0.3516034698349832,0.0755693937717574,0.0025539896438901,0.0345032219600481,29.1161698511824,1.0
Pf634b73f97,218.06410265892072,0.7,1.31,0.7567567567567568,22.704996577686515,1.177969607186424,0.2158154239703144,0.0755693937717574,0.0025539896438901,0.0345032219600481,30.509383338201303,1.0
P1b292d5147,188.3122621227937,0.41,0.71,0.9428571428571428,21.409993155373034,1.6830462415194445,0.1488101438479146,0.0755693937717574,0.0025539896438901,0.0345032219600481,22.985054247007326,1.0
P0ba0d4e186,207.23244198403393,1.21,2.17,1.0256410256410255,20.657084188911703,1.646271962874028,0.3409957205180978,0.0755693937717574,0.0025539896438901,0.0345032219600481,28.39652151921117,1.0
P16f77dc0c6,205.31828858546237,1.45,2.62,2.085714285714286,23.16221765913758,3.5191068081208483,0.3974221859905412,0.0755693937717574,0.0025539896438901,0.0345032219600481,24.185999068748565,1.0
P3cfad83e39,173.9699532091936,0.69,1.64,2.142857142857143,21.66735112936345,1.6263797609535788,2.194268628681278,0.0755693937717574,0.0025539896438901,0.0345032219600481,29.1161698511824,1.0
P94d904f95a,143.09377062810225,0.37,1.36,0.525,21.136208076659823,2.161304054767902,0.364175826726544,0.0755693937717574,0.0025539896438901,0.0345032219600481,25.576921916013433,1.0
P67cf99c3eb,196.33243797545308,1.0,1.72,1.5714285714285714,19.3347022587269,2.494206488589739,0.2330265523647738,0.0755693937717574,0.0025539896438901,0.0345032219600481,32.290970117181715,1.0
