pid,cons_mock_rank_std,cons_mock_rank_range
P0035c2f0b3,5.656854249492381,8
P0057628fa2,3.1622776601683795,7
P00e7133fc6,0.0,0
P0234a21988,0.7071067811865476,1
P023bbe5ec1,3.2015621187164243,7
P027da49c30,1.4142135623730951,2
P0326e23b0d,9.60902353693305,19
P032d23c9d9,9.899494936611665,14
P03328260f7,4.949747468305833,7
P04282e0cbf,4.509249752822894,9
P04526b8576,1.2909944487358054,3
P05f9ca4653,4.760952285695233,10
P070f8d3585,1.1547005383792526,2
P07268bf0e1,2.217355782608345,5
P076dcdb147,,0
P07954fea73,0.7071067811865476,1
P07bb9cb58f,,0
P086a09588e,2.3452078799117153,5
P08bc96e9be,,0
P0a66817947,,0
P0af0ac79ae,0.7071067811865476,1
P0b253c1504,5.656854249492381,8
P0bcbee5c83,,0
P0cd98a270c,5.315072906367324,12
P0d567b6867,2.1213203435596424,3
P0d7bcc4d57,5.1478150704935,13
P0db0d3c576,1.4142135623730951,2
P0df73941d8,0.957427107756338,2
P0e1f032d1f,,0
P0e202d21b8,,0
P0eb002afb8,1.4142135623730951,2
P0edb7d3b99,2.1213203435596424,3
P0edbaa5011,9.416297927883688,20
P0f6f43de8d,5.033222956847166,10
P0fde3dedb2,0.0,0
P0fe65d2eb8,,0
P10187f6389,9.899494936611665,14
P117a6c6fb1,0.0,0
P1191691c20,4.242640687119286,12
P11ed05516e,0.0,0
P123f055136,6.4485140407177015,14
P128f74a48f,0.7071067811865476,1
P12c0373e62,0.5477225575051662,1
P12ee990c18,1.632993161855452,4
P130d4826ef,0.0,0
P1388f2fd26,1.707825127659933,4
P13f5a8ca49,1.8708286933869709,5
P144ed94c77,0.0,0
P14882ceff6,1.2110601416389963,3
P14a01dedf9,2.449489742783178,5
P152905cef4,8.082903768654761,14
P155e770e32,4.725815626252608,9
P1597c7370a,,0
P15b4774186,,0
P15b5ca7021,5.656854249492381,8
P15b8c13058,2.5819888974716116,6
P16938f3fa9,7.0710678118654755,10
P16b88a2183,1.632993161855452,5
P16dc90cb0b,0.5773502691896263,1
P16f77dc0c6,1.4142135623730951,2
P170284fab5,12.727922061357855,18
P17f11f33c2,1.0,2
P1804943702,9.899494936611665,14
P18c14dbf8f,4.242640687119285,6
P1999b4880f,0.0,0
P19a9559b15,,0
P19aaf87bc8,6.363961030678928,9
P19ae0a39ff,8.48528137423857,12
P1a135db58f,6.683312551921141,15
P1a32cd4176,4.242640687119285,6
P1a41a85440,1.4142135623730951,2
P1a46c41bff,,0
P1a8fd8dc98,6.454972243679028,15
P1b292d5147,2.8284271247461903,4
P1c43036b93,0.7071067811865476,1
P1cb017a474,,0
P1ccfa6c1ee,6.6558245169174945,19
P1cf3ac09b1,6.363961030678928,9
P1d6fd5f29a,,0
P1ddfe32e8c,,0
P1e1b55c58c,6.849574196011505,16
P1e22570fac,3.5355339059327378,5
P1e59a7a7a1,0.7071067811865476,1
P1ea9c7c88d,0.7071067811865476,1
P1f3e01b488,5.291502622129181,10
P1f88525e9f,4.618802153517006,8
P204a101867,3.5355339059327378,5
P20596267f7,3.7282703764614498,10
P2084d7c5fc,5.5677643628300215,11
P212def8838,,0
P21372aaded,9.865765724632496,18
P213b82c86a,,0
P218d8c92b9,11.676186592091328,23
P22340c4458,,0
P2297a93a7f,2.8284271247461903,4
P22caf129cd,3.4156502553198655,8
P23152d31e2,0.8366600265340756,2
P2382218b2e,,0
P24c85e006b,3.415650255319866,8
P24e5e8b7dc,8.48528137423857,12
P2511a36f77,,0
P2524393d71,,0
P259fbebd69,3.0,6
P25bfc6427b,4.949747468305833,7
P25e61f80f8,1.4142135623730951,2
P26ad072598,0.7071067811865476,1
P26b4659b22,,0
P26d2a90c5b,8.962886439832502,16
P272ac40c3c,4.08248290463863,8
P273938bb97,4.645786621588784,11
P277e56e049,,0
P27d264f43c,6.658328118479393,13
P289da7f9c1,4.0824829046386295,8
P297d12820e,1.1547005383792515,2
P2a6c79e3dc,,0
P2a77fa93f7,1.0327955589886444,3
P2acab9acdb,0.7071067811865476,1
P2ad4235514,2.1213203435596424,3
P2b13664da5,4.242640687119285,6
P2b95cb9990,,0
P2bc6f2a3aa,4.708148963941844,11
P2c24c6affb,,0
P2c3a1eb46b,4.242640687119285,6
P2c7c71307b,14.849242404917497,21
P2c8aa67899,3.4641016151377544,8
P2ca61183dc,,0
P2db6f2cc8f,7.7781745930520225,11
P2e6be7d23b,0.7071067811865476,1
P2f4b26e6e1,1.4142135623730951,2
P2f61c21e93,0.5773502691896258,1
P30169adef4,7.7781745930520225,11
P3022e1c032,,0
P307cead4af,3.5000000000000004,8
P30aaba02d5,1.154700538379251,2
P318e86822c,1.892969448600091,4
P32d7e7e1eb,,0
P32fecc73d2,7.118052168020874,14
P32ff4229d3,1.96638416050035,6
P3364db28a5,4.58257569495584,9
P338a42b9d0,5.656854249492381,8
P34a08a87d4,,0
P34c7aa9885,,0
P35654567c0,4.070217029430577,12
P35e592001a,13.435028842544403,19
P35f0fb7731,0.9574271077563381,2
P3651ab0a99,3.605551275463989,7
P367a636ba4,7.767453465154028,15
P37457bff4f,2.362907813126304,5
P379ec45447,2.1213203435596424,3
P388cb0d5da,1.8929694486000914,4
P38e6db5ca1,8.48528137423857,12
P392363bcf2,3.109126351029605,7
P396ba96b58,2.8284271247461903,4
P3a3a5bbbef,2.943920288775949,8
P3a5b76349f,1.9663841605003503,6
P3b0e47f5ec,,0
P3b1e823247,4.9295030175464944,12
P3bedf956bf,4.725815626252608,9
P3c885ec031,1.2909944487358056,3
P3cfad83e39,2.1213203435596424,3
P3d8ccdb639,1.0,2
P3da5d3f3f2,,0
P3dd06c5ebd,5.656854249492381,8
P3e065b4b4e,,0
P3e0fd9667f,0.7071067811865476,1
P3e493925a2,1.4142135623730951,2
P3e655a07ed,,0
P3ebbedffb1,4.509249752822893,10
P3ee6bf444e,0.5773502691896257,1
P3f654a33fe,1.2583057392117918,3
P3f77f707c0,,0
P3ff36ffdc1,1.2583057392117916,3
P4110110f37,7.702813338860895,17
P414be319a7,,0
P416088a2b5,3.286335345030997,9
P41612ab4e2,0.4999999999999999,1
P41ae7c3c75,4.041451884327381,7
P41bcb3bebd,4.242640687119285,6
P42302cf51e,,0
P424c3aa3f2,4.273952113286562,13
P429241cb33,2.338090388900024,6
