pid,dv_length_pc1,dv_athl_pc1,dv_impact_pct,dv_cons_hype_resid,dv_athl_premium,dv_pts_resid,dv_ts_resid_usg,dv_impact_resid_cons,dv_old_unranked_prod,dv_age_ge_23,dv_cohort_offset_d,dv_intl_late,dv_tall
P58604dcdcf,1.352770197837817,-0.6311015495437883,,,,,,,,,,0.0,0.0
P379acc01ca,,,,,,,,,,,,,
P16f60c6002,,,,,,,,,,1.0,149.0,0.0,0.0
P267f5baf8e,,,,,,,,,,,,,
P8955b1a9c4,,,,,,,,,,,,,
P099a8d0c1c,2.507635426231177,-1.9823986749790616,1.0,,,-2.0210111816177943,8.80004888146577,,0.0,0.0,,,1.0
P3470a61a00,1.4194322961141517,0.5625670785482747,,,,1.6237757750108237,6.184950401331143,,,0.0,351.0,,0.0
P5e4491e5c3,-3.1750734990944713,1.2967277575681193,,,,0.26124563416925284,3.4953141474200535,,,0.0,307.0,,0.0
Pc047806c80,-2.381724372373635,1.0857933875419303,,,,-0.2557105553347512,1.9124041787087904,,,0.0,359.0,,0.0
Pf804162018,0.5733822272357834,-1.4369875373836194,,,,,,,,0.0,96.0,,0.0
P572a4194e6,1.5377936620117203,-0.9980606014915052,,,,0.8573965418008704,0.18913649879853978,,,0.0,52.0,,1.0
Pcb4360a784,1.8791460633858288,-1.9727677705397275,,,,,,,,0.0,71.0,,0.0
P5afd5b991d,-1.7876171101889846,0.543691008144483,0.45,,,-1.512813787485456,-3.5595934073352424,,0.0,0.0,359.0,,0.0
Pff47b96114,,,,,,,,,,0.0,425.0,,1.0
P2f15d5867f,,,0.9,,,,,,0.0,0.0,,,1.0
P8a3b7b6860,1.3426720480999181,-0.06808523929278174,,,,2.334469959174001,6.148230151021231,,,0.0,275.0,,0.0
P9f246cdbe1,-0.5993169553252762,1.7471152970364,,,,2.6345800257943495,4.372046467509797,,,0.0,451.0,,0.0
Pf4d4553b6f,-0.3712575692908795,-1.9759910442509283,,,,,,,,0.0,217.0,,0.0
Pc295aab61a,-0.2878060146720352,1.6066002396827588,,,,,,,,0.0,,,0.0
P81f3558def,-0.366052529005585,1.32547417945985,,,,,,,,0.0,-215.0,,0.0
P959d20dcac,0.46486863498201053,-1.1407918212215293,,,,,,,,0.0,501.0,,0.0
P9cbbbfe0cc,,,,,,2.3890960677471327,2.0922253231092967,,,0.0,,,0.0
Pa4dad52ff4,-1.4163987900622033,-1.1679344276915749,,,,,,,,0.0,114.0,,0.0
P311b5f6b41,-0.41712616323210144,-0.6076367885142925,,,,0.10884729797501791,1.837317768354005,,,1.0,-550.0,,0.0
P6f59c256f3,-2.196957739544622,1.3035152345732128,,,,-0.6111933666682425,4.144044053553834,,,0.0,,,0.0
P5ea12f1777,,,0.15,,,,,,0.0,0.0,,,1.0
P17786d3599,1.4828876378478415,,,,,,,,,0.0,227.0,,0.0
Pd11ab06c36,,,0.5,,,,,,0.0,0.0,183.0,,0.0
P3e3a854ff5,,,0.4,,,,,,0.0,0.0,,,1.0
P8c537f5a4d,1.3763135868419134,-1.6916573531846546,,,,,,,,0.0,249.0,,1.0
P13a7a5112c,,,,,,0.3959535700530239,12.206226530087278,,,0.0,100.0,,0.0
Pdb057d444b,,,,,,,,,,0.0,264.0,,0.0
P690d8b352a,,,,,,,,,,0.0,300.0,,0.0
P19de9513b3,,,,,,,,,,0.0,202.0,,0.0
Pc6a39f466a,1.0942005677627356,-3.35970129140192,0.2,,,,,,0.0,0.0,,,1.0
Pd382320a3c,1.3238893198931851,-0.07503153129041237,0.6,,,0.3178735020632786,1.1824102135987005,,0.6,0.0,,,1.0
Peb2d46202e,-3.8642398913295066,-1.1039029350363294,,,,,,,,1.0,-123.0,,0.0
P83f985b4bd,,,,,,-0.2313006918550471,0.4373177683540064,,,0.0,380.0,,0.0
Pce1d0d3699,,,0.95,,,,,,0.0,0.0,,,0.0
P01bc9a886e,2.033892039752225,-0.41132548883599074,,,,-0.026670543529888846,2.1476815144429082,,,0.0,249.0,,1.0
P6b0e9b0b2a,,,0.3,,,,,,0.0,0.0,,,1.0
P11475d8eed,2.2047541757797497,-3.1116424152112216,0.05,,,,,,0.0,0.0,,,1.0
P43e7adb565,-1.4124321655939294,0.0974671401790706,,,,,,,,0.0,363.0,,0.0
Pdacd6ab94d,,,0.35,,,,,,0.35,0.0,,,0.0
P63a21fbef6,,,,,,,,,,0.0,-6.0,,1.0
P74b71b0d31,,,,,,,,,,0.0,,,0.0
P83f12f36b1,2.0302207121721074,-0.8540348550073644,,,,,,,,0.0,286.0,,1.0
P1378011126,,,,,,-0.424579371525617,-6.1425033760465055,,,1.0,216.0,,0.0
P2b78092e41,-0.12493515576979268,,,,,-0.04085208125864881,0.8549564362210589,,,0.0,260.0,,0.0
Pbb4d6101de,,,,,,,,,,0.0,107.0,,1.0
P1dfb3826fd,,,,,,,,,,0.0,246.0,,1.0
P38dadf836a,2.116213822847516,-0.14833040956360205,0.25,,,,,,0.0,0.0,,,1.0
Pb5af3844f5,-0.6960887675950933,-1.2473479842551363,,,,0.6327851325129679,-0.5803208995130618,,,0.0,,,0.0
P0820723beb,,,0.55,,,,,,0.55,0.0,,,1.0
P927dcf71a8,,,0.8,,,,,,,,,,1.0
Pf4d757d073,,,0.65,,,,,,,,,,0.0
P5840594df8,,,0.7,,,,,,,,,,0.0
P5b1d935a26,,,,,,,,,,0.0,,,0.0
Pc067530e3e,,,,,,,,,,0.0,144.0,,1.0
P21b2b49a34,1.661014667613677,-0.36887033066831104,,,,,,,,1.0,,,1.0
Pb87f242f46,-0.2705582574111746,0.5275958251062962,,,,-0.7931551064712679,-2.1512212124004577,,,1.0,,,0.0
Pd650e439a2,-0.10773484489479404,-0.4949489351470102,,,,,,,,0.0,103.0,,0.0
P5104e01e75,-0.5550676191816424,1.6769663619686694,,,,0.6805062209790247,-0.21504959866885542,,,0.0,227.0,,0.0
P32b8c3a5cb,,,0.75,,,,,,0.75,0.0,,,0.0
Pbe0a02c2fd,,,,,,-0.8809671751966093,5.47513529182055,,,0.0,-214.0,,0.0
Pa68189cdce,-3.0081545408648105,1.1099618778423592,,,,0.5817559914499988,3.658593897110137,,,0.0,-141.0,,0.0
Pef98a54ad0,2.8038354935645144,-3.868884196320068,0.1,,,,,,0.1,1.0,,,1.0
P3928bad8a7,-3.2648445141517337,2.677908749785863,,,,,,,,0.0,184.0,,0.0
Pb945050559,1.8064295721414438,-1.0862720538404964,,,,-1.2074516372570674,-3.915598235247174,,,0.0,,,1.0
Pf0c178cb1c,,,,,,,,,,1.0,,,0.0
P7f2c8eb929,,,,,,,,,,0.0,,,0.0
Pd7ea309dee,,,,,,,,,,0.0,,,0.0
P16dd82b034,,,,,,,,,,,,,1.0
