pid,dx_n_events,dx_n_sources_known,dx_n_youth_events,dx_years_spanned,dx_has_youth_measurement,dx_first_is_youth,dx_earliest_age,dx_last_age,dx_age_src,dx_age_is_proxy,dx_first_height_in,dx_first_wingspan_in,dx_first_weight_lb,dx_first_reach_in,dx_first_ws_ht_ratio,dx_last_height_in,dx_last_wingspan_in,dx_last_weight_lb,dx_last_reach_in,dx_last_ws_ht_ratio,dx_d_height_in,dx_d_wingspan_in,dx_d_weight_lb,dx_d_reach_in,dx_d_max_vert_in,dx_height_growth_per_yr,dx_weight_gain_per_yr,dx_height_at_16_in,dx_late_grower_resid,dx_still_growing
P4d044e6517,1,1,0,0,0,0.0,20.22,20.22,2.0,1.0,77.5,82.0,175.0,102.5,1.0581,77.5,82.0,175.0,102.5,1.0581,,,,,,,,,,
P8b55924f31,1,1,0,0,0,0.0,22.03,22.03,2.0,1.0,71.75,72.0,166.0,94.5,1.0035,71.75,72.0,166.0,94.5,1.0035,,,,,,,,,,
P8df0a8788c,1,1,0,0,0,0.0,19.75,19.75,2.0,1.0,80.5,84.5,220.0,105.5,1.0497,80.5,84.5,220.0,105.5,1.0497,,,,,,,,,,
P91ba0ccfb7,1,1,0,0,0,0.0,20.61,20.61,2.0,1.0,85.5,86.0,243.0,110.0,1.0058,85.5,86.0,243.0,110.0,1.0058,,,,,,,,,,
Pc3df7f8dbd,1,1,0,0,0,0.0,24.35,24.35,2.0,1.0,81.0,84.5,237.0,104.5,1.0432,81.0,84.5,237.0,104.5,1.0432,,,,,,,,,,
P39bae689b5,1,1,0,0,0,0.0,21.49,21.49,2.0,1.0,80.0,81.0,210.0,104.0,1.0125,80.0,81.0,210.0,104.0,1.0125,,,,,,,,,,
Pd5c75d3b01,1,1,0,0,0,0.0,22.55,22.55,2.0,1.0,82.0,80.0,198.0,104.0,0.9756,82.0,80.0,198.0,104.0,0.9756,,,,,,,,,,
P189ad0416e,1,1,0,0,0,0.0,22.25,22.25,2.0,1.0,73.5,75.75,175.0,97.5,1.0306,73.5,75.75,175.0,97.5,1.0306,,,,,,,,,,
P07fb065f28,1,1,0,0,0,0.0,21.05,21.05,2.0,1.0,69.75,73.5,200.0,93.0,1.0538,69.75,73.5,200.0,93.0,1.0538,,,,,,,,,,
P6c17983aad,1,1,0,0,0,0.0,24.15,24.15,2.0,1.0,79.75,80.5,198.0,103.0,1.0094,79.75,80.5,198.0,103.0,1.0094,,,,,,,,,,
P1d1b852c8c,1,1,0,0,0,0.0,22.01,22.01,2.0,1.0,72.5,75.5,177.0,95.0,1.0414,72.5,75.5,177.0,95.0,1.0414,,,,,,,,,,
P98015d62ae,1,1,0,0,0,0.0,23.85,23.85,2.0,1.0,79.5,83.5,235.0,104.5,1.0503,79.5,83.5,235.0,104.5,1.0503,,,,,,,,,,
P620c88aaa1,1,1,0,0,0,0.0,22.25,22.25,2.0,1.0,77.0,80.5,205.0,101.5,1.0455,77.0,80.5,205.0,101.5,1.0455,,,,,,,,,,
P65db320efe,1,1,0,0,0,0.0,20.79,20.79,2.0,1.0,77.75,81.0,214.0,102.0,1.0418,77.75,81.0,214.0,102.0,1.0418,,,,,,,,,,
Pd764197a9d,1,1,0,0,0,0.0,23.15,23.15,2.0,1.0,83.0,86.5,241.0,109.5,1.0422,83.0,86.5,241.0,109.5,1.0422,,,,,,,,,,
P7903308993,1,1,0,0,0,0.0,22.05,22.05,2.0,1.0,74.5,78.0,181.0,97.5,1.047,74.5,78.0,181.0,97.5,1.047,,,,,,,,,,
Paff659398c,1,1,0,0,0,0.0,22.17,22.17,2.0,1.0,75.25,77.25,184.0,100.0,1.0266,75.25,77.25,184.0,100.0,1.0266,,,,,,,,,,
P1f7c85948b,1,1,0,0,0,0.0,21.09,21.09,2.0,1.0,83.25,85.25,223.0,109.5,1.024,83.25,85.25,223.0,109.5,1.024,,,,,,,,,,
P0e7eb7e056,1,1,0,0,0,0.0,23.08,23.08,2.0,1.0,84.5,85.5,250.0,107.0,1.0118,84.5,85.5,250.0,107.0,1.0118,,,,,,,,,,
P497243f189,1,1,0,0,0,0.0,22.05,22.05,2.0,1.0,78.5,81.5,214.0,103.5,1.0382,78.5,81.5,214.0,103.5,1.0382,,,,,,,,,,
Pd72f71c2bb,1,1,0,0,0,0.0,22.68,22.68,2.0,1.0,81.0,,253.0,,,81.0,,253.0,,,,,,,,,,,,
P2864fd765b,1,1,0,0,0,0.0,22.18,22.18,2.0,1.0,82.0,,239.0,,,82.0,,239.0,,,,,,,,,,,,
