pid,dxs_last_age,dxs_earliest_age,dxs_first_reach_in,dxs_first_weight_lb,dxs_first_wingspan_in,dxs_n_youth_events
P4d044e6517,20.22,20.22,102.5,175.0,82.0,0
P8b55924f31,22.03,22.03,94.5,166.0,72.0,0
P8df0a8788c,19.75,19.75,105.5,220.0,84.5,0
P91ba0ccfb7,20.61,20.61,110.0,243.0,86.0,0
Pc3df7f8dbd,24.35,24.35,104.5,237.0,84.5,0
P39bae689b5,21.49,21.49,104.0,210.0,81.0,0
Pd5c75d3b01,22.55,22.55,104.0,198.0,80.0,0
P189ad0416e,22.25,22.25,97.5,175.0,75.75,0
P07fb065f28,21.05,21.05,93.0,200.0,73.5,0
P6c17983aad,24.15,24.15,103.0,198.0,80.5,0
P1d1b852c8c,22.01,22.01,95.0,177.0,75.5,0
P98015d62ae,23.85,23.85,104.5,235.0,83.5,0
P620c88aaa1,22.25,22.25,101.5,205.0,80.5,0
P65db320efe,20.79,20.79,102.0,214.0,81.0,0
Pd764197a9d,23.15,23.15,109.5,241.0,86.5,0
P7903308993,22.05,22.05,97.5,181.0,78.0,0
Paff659398c,22.17,22.17,100.0,184.0,77.25,0
P1f7c85948b,21.09,21.09,109.5,223.0,85.25,0
P0e7eb7e056,23.08,23.08,107.0,250.0,85.5,0
P497243f189,22.05,22.05,103.5,214.0,81.5,0
Pd72f71c2bb,22.68,22.68,,253.0,,0
P2864fd765b,22.18,22.18,,239.0,,0
P9a587a1a63,21.8,21.8,93.0,176.0,76.0,0
P2899765f70,23.39,23.39,103.5,209.0,80.0,0
P9aa2c80a45,23.05,23.05,96.0,194.0,75.5,0
Pd49ad433a6,22.88,22.88,,158.0,,0
Pe7b575da0a,21.88,21.88,,242.0,,0
P3f83cdea39,19.21,19.21,108.0,243.0,85.0,0
Pc7c312fdc1,18.62,18.62,110.0,224.0,87.0,0
Pe88af25410,18.5,18.5,111.0,301.0,90.5,0
P854c694553,20.31,20.31,102.5,213.0,83.5,0
P1d7e465328,22.68,22.68,105.0,229.0,82.5,0
Peca9b04dbf,18.98,18.98,110.0,222.0,87.0,0
P0fd2ff4395,19.3,19.3,113.0,314.0,90.5,0
Pac419c235c,20.88,20.88,104.5,243.0,83.5,0
P704a5fd478,19.89,19.89,105.0,226.0,81.0,0
Pdcd864f0fb,20.9,20.9,103.0,223.0,84.0,0
P842a2f3c2e,21.12,21.12,105.5,230.0,83.0,0
P675a30c147,19.6,19.6,108.0,224.0,88.0,0
P563df84956,22.27,22.27,106.0,242.0,84.25,0
P3a25271b04,22.07,22.07,107.0,227.0,85.5,0
