pid,eurs_el2_games,eurs_el2_min_share,eurs_el2_pir40,eurs_el2_ts,eurs_el2_age_first,eurs_el2_ls_min_share,eurs_el2_ls_pir40,eurs_el2_trend_pir40,eurs_eu2_pir40,eurs_eu2_min_share,eurs_yng_games_u20,eurs_yng_age_first_senior,eurs_yng_min_share_age19,eurs_tier_best,eurs_angt_min_share,eurs_angt_pir40,eurs_angt_rel_age
P027da49c30,0,,,,,,,,12.997563,0.057929,19,17.486653,,0.92,0.10041,27.055738,0.022335
P049f342950,114,0.074434,20.100382,0.575498,21.004791,0.106265,21.848623,14.520334,23.125565,0.138375,0,20.098563,,1.61,,,
P05c9e8e43e,1,0.002458,-40.69176,,21.615332,0.002458,-40.69176,,13.820695,0.0846,0,21.615332,,1.61,0.1725,27.439614,-0.364203
P063b0ea350,7,0.112034,14.039334,0.49455,22.403833,0.112034,14.039334,,,,0,22.403833,,1.61,,,
P07109e12fd,0,,,,,,,,,,0,,,-0.65,0.047188,11.655629,-1.081052
P07954fea73,38,0.040191,10.759514,0.554303,17.229295,0.034577,6.440148,-7.868948,,,38,17.229295,,1.61,,,
P079efef655,49,0.081816,15.892427,0.539683,19.340178,0.106966,18.465506,1.114341,,,9,19.340178,0.067879,1.61,,,
P0820723beb,25,0.049212,17.268128,0.588371,20.479124,0.049875,17.243108,-0.037705,,,0,20.479124,,1.61,,,
P0aa581f174,0,,,,,,,,,,0,,,-0.65,0.111233,14.820142,0.3436
P0acc99bae4,44,0.09561,14.694924,0.504431,23.304586,0.11439,17.404573,6.502571,19.70529,0.143785,0,22.398357,,1.61,,,
P0c0603520c,183,0.124431,15.515863,0.598545,26.472279,0.141547,17.862625,2.126362,,,0,26.472279,,1.61,,,
P0dca4f55c4,15,0.083444,21.868488,0.633316,20.194387,0.083444,21.868488,,,,0,20.194387,,1.61,,,
P0fc299eb1c,0,,,,,,,,,0.0,0,16.591376,,0.92,0.12303,25.714254,-0.841631
P10bdb64d5d,42,0.043239,20.097432,0.644941,18.086242,0.107534,20.249554,20.249554,17.327019,0.129855,10,18.086242,0.009378,1.61,0.133939,23.891403,0.061338
P1108cb2921,9,0.090324,7.380845,0.474438,22.425736,0.090324,7.380845,,16.858848,0.143136,0,22.425736,,1.61,,,
P11475d8eed,15,0.032284,0.917782,0.366178,18.642026,0.032284,0.917782,,,,15,18.642026,0.007083,1.61,0.111042,19.812383,0.240109
P1191691c20,0,,,,,,,,,,0,,,-0.65,0.150742,32.56612,0.203486
P11ed05516e,38,0.048489,12.809564,0.572009,17.763176,0.066955,14.72924,8.380034,,,30,17.763176,0.069434,1.61,0.123234,24.234882,-0.19353
P1223e5ee2c,23,0.085603,13.365054,0.565198,25.64271,0.085603,13.365054,,21.931764,0.060041,0,22.464066,,1.61,,,
P12fddfeea1,213,0.134501,17.082969,0.587065,24.799452,0.156211,23.332106,11.54513,24.346125,0.140939,0,23.794661,,1.61,,,
P144ed94c77,13,0.081196,12.491753,0.425963,17.741273,0.081196,12.491753,,8.852006,0.024931,19,15.816564,,1.61,0.136667,42.572062,-1.029144
P14fdb083b4,1,0.024165,-24.829299,0.0,20.336756,0.024165,-24.829299,,,,0,20.336756,,1.61,,,
P15c3bdbcba,7,0.03398,14.488292,0.544425,20.465435,0.03398,14.488292,,17.47787,0.075761,0,20.465435,,1.61,,,
P16dd82b034,0,,,,,,,,,0.0,0,20.364134,,0.92,,,
P187235ce4e,95,0.09233,13.450811,0.561349,23.126626,0.113385,16.210338,4.17802,,,0,23.126626,,1.61,,,
P1a135db58f,0,,,,,,,,,,0,,,-0.65,0.139664,23.000959,0.350134
P1a32cd4176,0,,,,,,,,,,0,,,-0.65,0.075123,23.295038,-0.495874
P1a41a85440,0,,,,,,,,,,0,,,-0.65,0.123695,24.508413,-0.233791
P1b3889c122,0,,,,,,,,16.797583,0.147111,11,18.600958,,0.92,,,
P1ef5f1c321,10,0.075267,6.377297,0.381563,21.232033,0.075267,6.377297,,12.463929,0.086326,0,21.232033,,1.61,0.023834,-6.713099,0.625713
P20a1183fcf,14,0.086964,13.141684,0.50836,18.398357,0.086964,13.141684,,8.977556,0.10025,24,18.398357,0.10025,1.61,,,
P220e9380db,17,0.077669,10.826416,0.491088,23.238877,0.067596,13.442235,5.388585,18.566806,0.061041,0,23.238877,,1.61,,,
P22c8154970,21,0.080069,16.724724,0.481298,16.005476,0.066317,18.698071,2.406681,24.59217,0.104708,37,16.005476,,1.61,,,
P23152d31e2,21,0.044155,6.492232,0.595703,16.635181,0.053795,7.604595,10.438158,15.823048,0.116969,44,16.635181,0.113542,1.61,0.099947,20.153582,-0.742601
P246009ab63,15,0.092193,25.673849,0.595723,21.442847,0.092193,25.673849,,,,0,21.442847,,1.61,,,
P24c85e006b,0,,,,,,,,,,0,,,-0.65,0.172584,18.831437,0.764537
P2528efc939,0,,,,,,,,15.12173,0.1556,0,23.115674,,0.92,,,
P277e56e049,0,,,,,,,,6.319906,0.030229,21,17.451061,,0.92,0.124354,16.62749,0.203707
P2805efe438,4,0.012845,-2.224323,0.307377,19.33744,0.012845,-2.224323,,,,4,19.33744,0.012845,1.61,,,
P289650de8a,0,,,,,,,,15.633711,0.093205,0,20.199863,,0.92,,,
P2900148dca,0,,,,,,,,25.621804,0.1277,0,26.617385,,0.92,,,
P2ad4235514,5,0.004662,10.094637,0.459559,18.444901,0.004662,10.094637,,,0.0,5,16.443532,,1.61,0.134126,45.106756,0.661494
P2b19f4fd38,34,0.048582,15.478984,0.551161,17.103354,0.051592,16.663533,35.122231,20.171667,0.064116,25,17.103354,0.065607,1.61,0.123847,27.587692,-0.924195
P2b2d444bdd,0,,,,,,,,17.860769,0.084295,0,19.975359,0.0,0.92,0.083178,23.441311,-0.206546
P2bc89b6490,0,,,,,,,,19.736842,0.1368,0,25.700205,,0.92,,,
P2d06a24aee,0,,,,,,,,10.266212,0.082255,14,19.203285,0.083381,0.92,,,
P2f15d5867f,1,0.0032,0.0,,17.744011,0.0032,0.0,,,,1,17.744011,,1.61,0.13375,35.514019,0.462628
P31bc34ca23,21,0.04994,21.579829,0.603732,18.042437,0.064523,21.864189,40.911808,,,11,18.042437,0.045314,1.61,0.140958,51.551877,0.24983
P32fecc73d2,0,,,,,,,,27.628373,0.072167,25,16.791239,,0.92,0.084123,29.180915,-0.923125
P33f4d69488,34,0.089152,17.946961,0.572015,20.29295,0.126442,17.820507,-0.728894,,,0,20.29295,,1.61,,,
P34557a899a,30,0.108856,9.982622,0.48258,26.565366,0.108856,9.982622,,13.724609,0.084487,0,25.566051,,1.61,,,
P357471422c,13,0.09644,8.451828,0.454013,18.212183,0.09644,8.451828,,,,13,18.212183,,1.61,,,
P35d8517b9d,0,,,,,,,,20.335196,0.074467,0,22.861054,,0.92,,,
P35fcccf6c9,35,0.03877,21.606173,0.607931,27.342916,0.030988,19.823205,-2.370895,,,0,27.342916,,1.61,,,
P360c31499c,7,0.027563,24.365773,0.673401,18.401095,0.027563,24.365773,,27.900065,0.098925,17,18.401095,0.098925,1.61,0.129061,17.433583,0.663482
P3651ab0a99,0,,,,,,,,,,0,,,-0.65,0.109124,24.719707,-0.077561
P379ec45447,5,0.006885,-4.113111,0.25,19.049966,0.008058,-7.445554,-19.446755,44.861909,0.011888,2,16.709103,0.002051,1.61,0.09384,28.285085,0.403571
P38d9dee28f,26,0.11608,15.506547,0.540738,19.488022,0.124583,17.658863,4.264951,,,14,19.488022,0.108791,1.61,,,
P38dadf836a,0,,,,,,,,19.457286,0.053736,3,19.728953,0.007984,0.92,,,
P3997afa4f2,4,0.042869,1.999433,0.251889,17.533196,0.042869,1.999433,,20.403905,0.156833,15,17.533196,0.163924,1.61,0.17488,34.470626,0.129407
P3bad279cb0,5,0.060417,13.793103,0.508415,23.488022,0.060417,13.793103,,,,0,23.488022,,1.61,,,
P3d1eff1bca,2,0.0085,-28.235294,0.0,18.507871,0.0085,-28.235294,,,,2,18.507871,,1.61,,,
P3e5c820c70,0,,,,,,,,-4.472022,0.020602,8,18.510609,,0.92,0.118231,7.89418,0.079488
P3e86849b89,0,,,,,,,,,,0,,,-0.65,0.125387,18.971421,0.199759
P4043f1171e,0,,,,,,,,26.052448,0.124339,0,25.193703,,0.92,,,
P404f9fdfb6,44,0.068821,14.306956,0.569206,19.241615,0.098546,14.951797,2.419159,9.794319,0.003403,8,18.31896,0.018683,1.61,,,
P4074fe9b9e,0,,,,,,,,21.089213,0.096453,0,22.35729,,0.92,,,
