pid,fys_usage_proxy_z_last,fys_stl_blk40_z_last,fys_age_rel_min,fys_pir40_z_last,fys_best_level,fys_best_pir40_z,fys_pts40_z_last,fys_best_pts40_z,fys_age_rel_last,fys_underage_flag,fys_ts_z_last
Pfb151947b8,,,,,,,,,,,
Pb9c8134dba,,,,,,,,,,,
P70be92ee2a,,,,,,,,,,,
P7aebb4f3da,,,,,,,,,,,
Pe4182c4c9a,,,,,,,,,,,
Pdaa5dc2ffe,,,,,,,,,,,
P0a16bf5dcd,,,,,,,,,,,
P4d044e6517,,,,,,,,,,,
P332366fd23,,,,,,,,,,,
Pf596e595fa,,,,,,,,,,,
P2225ba1e79,,,,,,,,,,,
Pa1cb69e2d5,,,,,,,,,,,
Pbd1bd31363,,,,,,,,,,,
P049a006ba4,,,,,,,,,,,
Pf2b2bf7c90,,,,,,,,,,,
P382ba08b06,,,,,,,,,,,
Pdfcccbc0ee,,,,,,,,,,,
P180bfe573f,,,,,,,,,,,
P5ea8063b82,,,,,,,,,,,
P8b55924f31,,,,,,,,,,,
P360a02c8f3,,,,,,,,,,,
P8df0a8788c,,,,,,,,,,,
P22993a7ac8,,,,,,,,,,,
P52ae6ebde1,,,,,,,,,,,
P3ef49a42d2,,,,,,,,,,,
Pa5a2a6e8b9,,,,,,,,,,,
P91ba0ccfb7,,,,,,,,,,,
P8b719e2981,,,,,,,,,,,
Pc3df7f8dbd,,,,,,,,,,,
P39bae689b5,,,,,,,,,,,
Pd5c75d3b01,,,,,,,,,,,
P189ad0416e,,,,,,,,,,,
Pefcb67dee7,,,,,,,,,,,
P07fb065f28,,,,,,,,,,,
P6c17983aad,,,,,,,,,,,
P0b8d4db24c,,,,,,,,,,,
P1d1b852c8c,,,,,,,,,,,
P98015d62ae,,,,,,,,,,,
P620c88aaa1,,,,,,,,,,,
P69d740b582,,,,,,,,,,,
P9c1ee88716,,,,,,,,,,,
P65db320efe,,,,,,,,,,,
Pfdb326aa01,,,,,,,,,,,
Pd764197a9d,,,,,,,,,,,
P7903308993,,,,,,,,,,,
P1c5dc0dbc6,,,,,,,,,,,
Paff659398c,,,,,,,,,,,
P1f7c85948b,,,,,,,,,,,
P0e7eb7e056,,,,,,,,,,,
P497243f189,,,,,,,,,,,
P8955b1a9c4,,,,,,,,,,,
P9e0485e8f6,,,,,,,,,,,
Pd72f71c2bb,,,,,,,,,,,
P2864fd765b,,,,,,,,,,,
P530a84e49c,,,,,,,,,,,
P3cfed129a3,,,,,,,,,,,
P8105ba296c,,,,,,,,,,,
P7cf0118ef7,,,,,,,,,,,
P7b63dad40c,,,,,,,,,,,
Pbc657442d8,,,,,,,,,,,
Pa0da0f38dc,,,,,,,,,,,
P9a587a1a63,,,,,,,,,,,
P2899765f70,,,,,,,,,,,
P1f84c6033c,,,,,,,,,,,
Pcb83527531,,,,,,,,,,,
P9aa2c80a45,,,,,,,,,,,
Pd49ad433a6,,,,,,,,,,,
P1de330dcda,,,,,,,,,,,
Pe7b575da0a,,,,,,,,,,,
Pbcfa5eaec6,,,,,,,,,,,
P3f83cdea39,,,,,,,,,,,
Pc7c312fdc1,,,,,,,,,,,
Pff73e1eace,,,,,,,,,,,
Pe88af25410,,,,,,,,,,,
P854c694553,,,,,,,,,,,
P1d7e465328,,,,,,,,,,,
Peca9b04dbf,,,,,,,,,,,
P0fd2ff4395,,,,,,,,,,,
Pac419c235c,,,,,,,,,,,
P704a5fd478,,,,,,,,,,,
P0d7e76d154,,,,,,,,,,,
P98f905fdef,,,,,,,,,,,
Pdcd864f0fb,,,,,,,,,,,
P842a2f3c2e,,,,,,,,,,,
P675a30c147,,,,,,,,,,,
P563df84956,,,,,,,,,,,
