pid,lis_r_exclusive,lis_days_to_draft_last,lis_r_verb,lis_r_we,lis_r_social,lis_r_auxverb,lis_i_we_ratio,lis_r_article
Pfb151947b8,,,,,,,,
Pb9c8134dba,,,,,,,,
P70be92ee2a,,,,,,,,
P7aebb4f3da,,,,,,,,
Pe4182c4c9a,9.9432,86.0,245.0284,47.9403,76.3494,111.5057,0.38356,66.4062
Pdaa5dc2ffe,,,,,,,,
P0a16bf5dcd,,,,,,,,
P4d044e6517,,,,,,,,
P332366fd23,,,,,,,,
Pf596e595fa,,,,,,,,
P2225ba1e79,,,,,,,,
Pa1cb69e2d5,20.6186,483.0,268.0412,10.3093,20.6186,103.0928,0.8,92.7835
Pbd1bd31363,,,,,,,,
P049a006ba4,7.7922,86.0,246.5677,30.6122,55.4731,100.3711,0.62069,60.6679
Pf2b2bf7c90,,,,,,,,
P382ba08b06,,,,,,,,
Pdfcccbc0ee,,,,,,,,
P180bfe573f,,,,,,,,
P5ea8063b82,,,,,,,,
P8b55924f31,,,,,,,,
P360a02c8f3,9.1623,86.0,248.0366,43.8482,64.1361,88.3508,0.58642,60.8639
P8df0a8788c,,,,,,,,
P22993a7ac8,,,,,,,,
P52ae6ebde1,,,,,,,,
P3ef49a42d2,,,,,,,,
Pa5a2a6e8b9,,,,,,,,
P91ba0ccfb7,,,,,,,,
P8b719e2981,9.3168,109.0,281.0559,38.8199,49.6894,100.9317,0.59677,46.5839
Pc3df7f8dbd,,,,,,,,
P39bae689b5,,,,,,,,
Pd5c75d3b01,,,,,,,,
P189ad0416e,,,,,,,,
Pefcb67dee7,10.2564,112.0,256.4103,56.4103,66.6667,107.6923,0.38889,56.4103
P07fb065f28,10.7685,110.0,251.5908,51.8845,69.5056,104.7479,0.50467,80.7636
P6c17983aad,,,,,,,,
P0b8d4db24c,,,,,,,,
P1d1b852c8c,,,,,,,,
P98015d62ae,,,,,,,,
P620c88aaa1,12.987,109.0,246.7532,77.9221,114.2857,111.6883,0.38776,62.3377
P69d740b582,,,,,,,,
P9c1ee88716,,,,,,,,
P65db320efe,1.443,459.0,215.0072,38.961,60.6061,108.2251,0.44898,83.6941
Pfdb326aa01,,,,,,,,
Pd764197a9d,,,,,,,,
P7903308993,3.663,482.0,285.7143,80.5861,87.9121,117.2161,0.26667,54.9451
P1c5dc0dbc6,,,,,,,,
Paff659398c,,,,,,,,
P1f7c85948b,,,,,,,,
P0e7eb7e056,,,,,,,,
P497243f189,,,,,,,,
P8955b1a9c4,,,,,,,,
P9e0485e8f6,,,,,,,,
Pd72f71c2bb,,,,,,,,
P2864fd765b,,,,,,,,
P530a84e49c,,,,,,,,
P3cfed129a3,,,,,,,,
P8105ba296c,,,,,,,,
P7cf0118ef7,,,,,,,,
P7b63dad40c,,,,,,,,
Pbc657442d8,,,,,,,,
Pa0da0f38dc,,,,,,,,
P9a587a1a63,,,,,,,,
P2899765f70,,,,,,,,
P1f84c6033c,,,,,,,,
Pcb83527531,,,,,,,,
P9aa2c80a45,,,,,,,,
Pd49ad433a6,,,,,,,,
P1de330dcda,,,,,,,,
Pe7b575da0a,,,,,,,,
Pbcfa5eaec6,,,,,,,,
P3f83cdea39,,,,,,,,
Pc7c312fdc1,,,,,,,,
Pff73e1eace,,,,,,,,
Pe88af25410,,,,,,,,
P854c694553,,,,,,,,
P1d7e465328,9.0909,87.0,223.6364,40.0,63.6364,129.0909,0.38889,92.7273
Peca9b04dbf,,,,,,,,
P0fd2ff4395,,,,,,,,
Pac419c235c,,,,,,,,
P704a5fd478,,,,,,,,
P0d7e76d154,,,,,,,,
P98f905fdef,,,,,,,,
