pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses
Pfb151947b8,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,35.0,164.0
Pb9c8134dba,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0
P70be92ee2a,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,0.0,16.0,10.0
P7aebb4f3da,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,62.0,115.0
Pe4182c4c9a,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,81.0,41.0
Pdaa5dc2ffe,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,58.0,27.0
P0a16bf5dcd,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,26.0,100.0
P4d044e6517,,,,,,,,,,,,,,,,,,,,,,,,
P332366fd23,,,,,,,,,,,,,,,,,,,,,,,,
Pf596e595fa,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,36.0,38.0
P2225ba1e79,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0
Pa1cb69e2d5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.0
Pbd1bd31363,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,45.0,16.0
P049a006ba4,,,,,,,,,,,,,,,,,,,,,,,,
Pf2b2bf7c90,,,,,,,,,,,,,,,,,,,,,,,,
P382ba08b06,,,,,,,,,,,,,,,,,,,,,,,,
Pdfcccbc0ee,,,,,,,,,,,,,,,,,,,,,,,,
P180bfe573f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31.0,141.0
P5ea8063b82,,,,,,,,,,,,,,,,,,,,,,,,
P8b55924f31,,,,,,,,,,,,,,,,,,,,,,,,
P360a02c8f3,,,,,,,,,,,,,,,,,,,,,,,,
P8df0a8788c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,35.0,18.0
P22993a7ac8,,,,,,,,,,,,,,,,,,,,,,,,
P52ae6ebde1,,,,,,,,,,,,,,,,,,,,,,,,
P3ef49a42d2,,,,,,,,,,,,,,,,,,,,,,,,
Pa5a2a6e8b9,,,,,,,,,,,,,,,,,,,,,,,,
P91ba0ccfb7,,,,,,,,,,,,,,,,,,,,,,,,
P8b719e2981,,,,,,,,,,,,,,,,,,,,,,,,
Pc3df7f8dbd,,,,,,,,,,,,,,,,,,,,,,,,
P39bae689b5,,,,,,,,,,,,,,,,,,,,,,,,
Pd5c75d3b01,,,,,,,,,,,,,,,,,,,,,,,,
P189ad0416e,,,,,,,,,,,,,,,,,,,,,,,,
Pefcb67dee7,,,,,,,,,,,,,,,,,,,,,,,,
P07fb065f28,,,,,,,,,,,,,,,,,,,,,,,,
P6c17983aad,,,,,,,,,,,,,,,,,,,,,,,,
P0b8d4db24c,,,,,,,,,,,,,,,,,,,,,,,,
P1d1b852c8c,,,,,,,,,,,,,,,,,,,,,,,,
P98015d62ae,,,,,,,,,,,,,,,,,,,,,,,,
P620c88aaa1,,,,,,,,,,,,,,,,,,,,,,,,
P69d740b582,,,,,,,,,,,,,,,,,,,,,,,,
P9c1ee88716,,,,,,,,,,,,,,,,,,,,,,,,
P65db320efe,,,,,,,,,,,,,,,,,,,,,,,,
Pfdb326aa01,,,,,,,,,,,,,,,,,,,,,,,,
Pd764197a9d,,,,,,,,,,,,,,,,,,,,,,,,
P7903308993,,,,,,,,,,,,,,,,,,,,,,,,
P1c5dc0dbc6,,,,,,,,,,,,,,,,,,,,,,,,
Paff659398c,,,,,,,,,,,,,,,,,,,,,,,,
P1f7c85948b,,,,,,,,,,,,,,,,,,,,,,,,
P0e7eb7e056,,,,,,,,,,,,,,,,,,,,,,,,
P497243f189,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,158.0
P8955b1a9c4,,,,,,,,,,,,,,,,,,,,,,,,
P9e0485e8f6,,,,,,,,,,,,,,,,,,,,,,,,
Pd72f71c2bb,,,,,,,,,,,,,,,,,,,,,,,,
P2864fd765b,,,,,,,,,,,,,,,,,,,,,,,,
P530a84e49c,,,,,,,,,,,,,,,,,,,,,,,,
P3cfed129a3,,,,,,,,,,,,,,,,,,,,,,,,
P8105ba296c,,,,,,,,,,,,,,,,,,,,,,,,
P7cf0118ef7,,,,,,,,,,,,,,,,,,,,,,,,
P7b63dad40c,,,,,,,,,,,,,,,,,,,,,,,,
Pbc657442d8,,,,,,,,,,,,,,,,,,,,,,,,
Pa0da0f38dc,,,,,,,,,,,,,,,,,,,,,,,,
P9a587a1a63,,,,,,,,,,,,,,,,,,,,,,,,
P2899765f70,,,,,,,,,,,,,,,,,,,,,,,,
P1f84c6033c,,,,,,,,,,,,,,,,,,,,,,,,
Pcb83527531,,,,,,,,,,,,,,,,,,,,,,,,
P9aa2c80a45,,,,,,,,,,,,,,,,,,,,,,,,
Pd49ad433a6,,,,,,,,,,,,,,,,,,,,,,,,
P1de330dcda,,,,,,,,,,,,,,,,,,,,,,,,
Pe7b575da0a,,,,,,,,,,,,,,,,,,,,,,,,
Pbcfa5eaec6,,,,,,,,,,,,,,,,,,,,,,,,
P3f83cdea39,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,32.0
Pc7c312fdc1,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,11.0,209.0
Pff73e1eace,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,124.0,50.0
Pe88af25410,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,11.0,197.0
P854c694553,,,,,,,,,,,,,,,,,,,,,,,,
P1d7e465328,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,59.0,40.0
Peca9b04dbf,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,1.0,0.0,95.0,163.0
P0fd2ff4395,,,,,,,,,,,,,,,,,,,,,,,,
Pac419c235c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,35.0,44.0
P704a5fd478,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,56.0,39.0
P0d7e76d154,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,78.0
P98f905fdef,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,
Pdcd864f0fb,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,50.0,62.0
P842a2f3c2e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,50.0,56.0
P675a30c147,,,,,,,,,,,,,,,,,,,,,,,,
P563df84956,,,,,,,,,,,,,,,,,,,,,,,,
P3a25271b04,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,45.0,67.0
P75d87cd190,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,21.0,42.0
Paf6a9c1c9e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,27.0,43.0
P2ee25c689c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,37.0
P1bd862cc0f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,20.0,47.0
P9650bb1a40,,,,,,,,,,,,,,,,,,,,,,,,
Pcba63fe240,,,,,,,,,,,,,,,,,,,,,,,,
Pd4900db84d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,177.0,
P4da2c7e178,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,33.0,24.0
Pfcc31e3705,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0
P3ebb78aaf3,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,36.0,37.0
P6dc3d3ca5e,,,,,,,,,,,,,,,,,,,,,,,,
P2a8e69fc8a,,,,,,,,,,,,,,,,,,,,,,,,
P07655923d4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,32.0,38.0
Pc0571f7238,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,39.0,55.0
Pd3b6bf6d79,,,,,,,,,,,,,,,,,,,,,,,,
Paeace7e70c,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,23.0,102.0
P989fbfa539,,,,,,,,,,,,,,,,,,,,,,,,
Pe0dd44e42b,,,,,,,,,,,,,,,,,,,,,,,,
Pf532d918b8,,,,,,,,,,,,,,,,,,,,,,,,
Paa277db6ca,,,,,,,,,,,,,,,,,,,,,,,,
P3d1a59b5a2,,,,,,,,,,,,,,,,,,,,,,,,
P002581103b,,,,,,,,,,,,,,,,,,,,,,,,
P6d3c0c239e,,,,,,,,,,,,,,,,,,,,,,,,
P5303425662,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,38.0,52.0
P0fee52cfc4,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,24.0,196.0
P4f8c953cc8,,,,,,,,,,,,,,,,,,,,,,,,
Pe0f44d3916,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,29.0,57.0
Pc5a3285209,,,,,,,,,,,,,,,,,,,,,,,,
P0a2d28a2d0,,,,,,,,,,,,,,,,,,,,,,,,
Pc0e2cf5bcc,,,,,,,,,,,,,,,,,,,,,,,,
Pf65d71b77e,,,,,,,,,,,,,,,,,,,,,,,,
P9aa7ef7a41,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,30.0,53.0
P666726f41f,,,,,,,,,,,,,,,,,,,,,,,,
Pd1e82d8666,,,,,,,,,,,,,,,,,,,,,,,,
P820aca19f1,,,,,,,,,,,,,,,,,,,,,,,,
Pf7459f37f3,,,,,,,,,,,,,,,,,,,,,,,,
Pa93cedf1ed,,,,,,,,,,,,,,,,,,,,,,,,
Pbd83a701c7,,,,,,,,,,,,,,,,,,,,,,,,
Pca59ea1b39,,,,,,,,,,,,,,,,,,,,,,,,
P2c0a429f79,,,,,,,,,,,,,,,,,,,,,,,,
Pa33e366fdf,,,,,,,,,,,,,,,,,,,,,,,,
P759a9434cf,,,,,,,,,,,,,,,,,,,,,,,,
P8fba680b01,,,,,,,,,,,,,,,,,,,,,,,,
P6d016b475a,,,,,,,,,,,,,,,,,,,,,,,,
P73f5726100,,,,,,,,,,,,,,,,,,,,,,,,
P0e7fc05f4f,,,,,,,,,,,,,,,,,,,,,,,,
P4caf77098c,,,,,,,,,,,,,,,,,,,,,,,,
Pd06a43915a,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,52.0,192.0
Pe929ebb536,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,219.0
P1199724869,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,117.0,63.0
P979bc77e15,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,11.0,30.0
Pc692096d48,,,,,,,,,,,,,,,,,,,,,,,,
Pa08cb88c9e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,94.0
P634aaac9d4,,,,,,,,,,,,,,,,,,,,,,,,
P3d9db1cda1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,49.0,35.0
P6031807405,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,79.0,34.0
P01fc763e95,,,,,,,,,,,,,,,,,,,,,,,,
P91e42fff83,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0
