col,n,rho_raw,rho_res,block,abs_res
eur_birth_src_wiki,59,,,eur,
eur_bio_height_cm,58,,,eur,
eur_el2_games,59,,,eur,
eur_el2_dnp,59,,,eur,
eur_el2_start_games,59,,,eur,
eur_el2_starts,50,,,eur,
eur_el2_start_rate,50,,,eur,
eur_el2_min,59,,,eur,
eur_el2_min_share,51,,,eur,
eur_el2_pts40,50,,,eur,
eur_el2_oreb40,50,,,eur,
eur_el2_dreb40,50,,,eur,
eur_el2_ast40,50,,,eur,
eur_el2_stl40,50,,,eur,
eur_el2_blk40,50,,,eur,
eur_el2_tov40,50,,,eur,
eur_el2_pf40,50,,,eur,
eur_el2_pir40,50,,,eur,
eur_el2_ts,49,,,eur,
eur_el2_efg,49,,,eur,
eur_el2_3par,49,,,eur,
eur_el2_ftr,49,,,eur,
eur_el2_ftpct,48,,,eur,
eur_el2_3ppct,44,,,eur,
eur_el2_2ppct,48,,,eur,
eur_el2_usage,50,,,eur,
eur_el2_pm40,3,,,eur,
eur_el2_seasons,59,,,eur,
eur_el2_age_first,51,,,eur,
eur_el2_age_last,51,,,eur,
eur_el2_ls_games,51,,,eur,
eur_el2_ls_dnp,51,,,eur,
eur_el2_ls_start_games,51,,,eur,
eur_el2_ls_starts,50,,,eur,
eur_el2_ls_start_rate,50,,,eur,
eur_el2_ls_min,51,,,eur,
eur_el2_ls_min_share,51,,,eur,
eur_el2_ls_pts40,50,,,eur,
eur_el2_ls_oreb40,50,,,eur,
eur_el2_ls_dreb40,50,,,eur,
eur_el2_ls_ast40,50,,,eur,
eur_el2_ls_stl40,50,,,eur,
eur_el2_ls_blk40,50,,,eur,
eur_el2_ls_tov40,50,,,eur,
eur_el2_ls_pf40,50,,,eur,
eur_el2_ls_pir40,50,,,eur,
eur_el2_ls_ts,49,,,eur,
eur_el2_ls_efg,49,,,eur,
eur_el2_ls_3par,49,,,eur,
eur_el2_ls_ftr,49,,,eur,
eur_el2_ls_ftpct,48,,,eur,
eur_el2_ls_3ppct,38,,,eur,
eur_el2_ls_2ppct,48,,,eur,
eur_el2_ls_usage,50,,,eur,
eur_el2_ls_pm40,2,,,eur,
eur_el2_trend_pts40,31,,,eur,
eur_el2_trend_pir40,31,,,eur,
eur_eu2_games,59,,,eur,
eur_eu2_dnp,59,,,eur,
eur_eu2_start_games,59,,,eur,
eur_eu2_starts,15,,,eur,
eur_eu2_start_rate,15,,,eur,
eur_eu2_min,59,,,eur,
eur_eu2_min_share,16,,,eur,
eur_eu2_pts40,15,,,eur,
eur_eu2_oreb40,15,,,eur,
eur_eu2_dreb40,15,,,eur,
eur_eu2_ast40,15,,,eur,
eur_eu2_stl40,15,,,eur,
eur_eu2_blk40,15,,,eur,
eur_eu2_tov40,15,,,eur,
eur_eu2_pf40,15,,,eur,
eur_eu2_pir40,15,,,eur,
eur_eu2_ts,15,,,eur,
eur_eu2_efg,15,,,eur,
eur_eu2_3par,15,,,eur,
eur_eu2_ftr,15,,,eur,
eur_eu2_ftpct,15,,,eur,
eur_eu2_3ppct,13,,,eur,
eur_eu2_2ppct,15,,,eur,
eur_eu2_usage,15,,,eur,
eur_eu2_pm40,0,,,eur,
eur_eu2_seasons,59,,,eur,
eur_yng_min_e,59,,,eur,
eur_yng_min_u,59,,,eur,
eur_yng_min_senior,59,,,eur,
eur_yng_games_u20,59,,,eur,
eur_yng_age_first_senior,59,,,eur,
eur_yng_min_share_age18,28,,,eur,
eur_yng_min_age18,59,,,eur,
eur_yng_min_share_age19,33,,,eur,
eur_yng_min_age19,59,,,eur,
eur_angt_has,59,,,eur,
eur_angt_tournaments,59,,,eur,
eur_club_n_senior,59,,,eur,
eur_club_n_all,59,,,eur,
eur_club_midseason_moves,59,,,eur,
eur_club_registrations,59,,,eur,
eur_tier_best,59,,,eur,
eur_tier_e,51,,,eur,
eur_tier_u,16,,,eur,
eur_intl_any,59,,,eur,
eur_eu2_age_first,16,,,eur,
eur_eu2_age_last,16,,,eur,
eur_eu2_ls_games,16,,,eur,
eur_eu2_ls_dnp,16,,,eur,
eur_eu2_ls_start_games,16,,,eur,
eur_eu2_ls_starts,15,,,eur,
eur_eu2_ls_start_rate,15,,,eur,
eur_eu2_ls_min,16,,,eur,
eur_eu2_ls_min_share,16,,,eur,
eur_eu2_ls_pts40,15,,,eur,
eur_eu2_ls_oreb40,15,,,eur,
eur_eu2_ls_dreb40,15,,,eur,
eur_eu2_ls_ast40,15,,,eur,
eur_eu2_ls_stl40,15,,,eur,
eur_eu2_ls_blk40,15,,,eur,
eur_eu2_ls_tov40,15,,,eur,
eur_eu2_ls_pf40,15,,,eur,
eur_eu2_ls_pir40,15,,,eur,
eur_eu2_ls_ts,15,,,eur,
eur_eu2_ls_efg,15,,,eur,
eur_eu2_ls_3par,15,,,eur,
eur_eu2_ls_ftr,15,,,eur,
eur_eu2_ls_ftpct,15,,,eur,
eur_eu2_ls_3ppct,11,,,eur,
eur_eu2_ls_2ppct,15,,,eur,
eur_eu2_ls_usage,15,,,eur,
eur_eu2_ls_pm40,0,,,eur,
eur_eu2_trend_pts40,9,,,eur,
eur_eu2_trend_pir40,9,,,eur,
eur_angt_games,7,,,eur,
eur_angt_starts,7,,,eur,
eur_angt_start_rate,7,,,eur,
eur_angt_min,7,,,eur,
eur_angt_min_share,7,,,eur,
eur_angt_pts40,7,,,eur,
eur_angt_oreb40,7,,,eur,
eur_angt_dreb40,7,,,eur,
eur_angt_ast40,7,,,eur,
eur_angt_stl40,7,,,eur,
eur_angt_blk40,7,,,eur,
eur_angt_tov40,7,,,eur,
eur_angt_pf40,7,,,eur,
eur_angt_pir40,7,,,eur,
eur_angt_ts,7,,,eur,
eur_angt_efg,7,,,eur,
eur_angt_3par,7,,,eur,
eur_angt_ftr,7,,,eur,
eur_angt_ftpct,7,,,eur,
eur_angt_3ppct,7,,,eur,
eur_angt_2ppct,7,,,eur,
eur_angt_usage,7,,,eur,
eur_angt_age_first,7,,,eur,
eur_angt_rel_age,7,,,eur,
