pid,dvs_impact_resid_cons,dvs_length_pc1,dvs_impact_pct,dvs_cohort_offset_d,dvs_tall,dvs_athl_pc1,dvs_cons_hype_resid,gls_stl40,gls_t100_spg,gls_ast40,gls_close_d_gmsc40,gls_close_d_ts,gls_late_d_ast40,gls_ncaa_d_stl40,gls_d100_efg,gls_pase_neg,gls_ncaa_d_tov40,scs_intangibles,scs_athleticism,scs_leadership,scs_defense,scs_nbaready,tcs_first_bpm,tcs_seasons_span,tcs_age_at_season,tcs_pct_age_bpm,tcs_pct_age_stl,tcs_conf_tourn_wins,tcs_bpm_first_to_last,tcs_pct_age_obpm,tcs_bpm_share,tcs_champion,wts_years_hs_to_draft,wts_hs_track,wts_hs_football,wts_transferred,wts_hs_multisport,nb_tc_first_bpm,nb_gl2_stl40,nb_gl2_t100_spg,nb_tc_seasons_span,nb_gl2_ast40,nb_sc_intangibles,nb_tc_age_at_season,nb_dv_impact_resid_cons,nb_gl2_close_d_gmsc40,nb_gl2_close_d_ts,nb_dv_length_pc1,nb_gl2_late_d_ast40,nb_gl2_ncaa_d_stl40,nb_gl2_d100_efg,nb_tc_pct_age_bpm,nb_dv_impact_pct,nb_tc_pct_age_stl,nb_sc_intang_lead,nb_gl2_pase_neg,nb_gl2_ncaa_d_tov40,nb_wt_years_hs_to_draft,nb_gl2_d100_gmsc40,nb_gl2_g_all,nb_wt_hs_track,nb_gl2_t50_fg
P58604dcdcf,,1.352770197837817,,,0.0,-0.6311015495437883,,0.9349,0.69,3.3389,-1.1684,0.01543,-1.665,-0.6373,-0.01053,0.0,0.0434,7.0,6.0,8.0,8.0,8.0,3.99955,4.0,22.0835,0.87931,0.339757,2.0,1.21694,0.826572,0.152853,0.0,4.0,0.0,0.0,0.0,0.0,3.99955,0.9349,0.69,4.0,3.3389,7.0,22.0835,,-1.1684,0.01543,1.352770197837817,-1.665,-0.6373,-0.01053,0.87931,,0.339757,7.5,0.0,0.0434,4.0,-0.8379,37.0,0.0,0.43902
P379acc01ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16f60c6002,,,,149.0,0.0,,,,,,,,,,,,,,,,,,4.13128,5.0,23.0664,0.936916,0.647196,1.0,3.43929,0.978972,0.227958,0.0,,,,,,4.13128,,,5.0,,,23.0664,,,,,,,,0.936916,,0.647196,,,,,,,,
P267f5baf8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
P8955b1a9c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
P099a8d0c1c,,2.507635426231177,1.0,,1.0,-1.9823986749790616,,0.9164,0.4,2.3368,-5.017,0.02146,-0.3356,-0.676,0.03818,0.0,0.8659,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,1.0,,0.9164,0.4,,2.3368,,,,-5.017,0.02146,2.507635426231177,-0.3356,-0.676,0.03818,,1.0,,,0.0,0.8659,2.0,-1.6346,24.0,0.0,0.57895
P3470a61a00,,1.4194322961141517,,351.0,0.0,0.5625670785482747,,1.8972,1.0,1.3175,-4.5541,-0.06726,-0.5863,0.1088,-0.01125,0.0,-1.2752,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,1.8972,1.0,,1.3175,,,,-4.5541,-0.06726,1.4194322961141517,-0.5863,0.1088,-0.01125,,,,,0.0,-1.2752,1.0,0.0557,34.0,0.0,0.43299
P5e4491e5c3,,-3.1750734990944713,,307.0,0.0,1.2967277575681193,,2.7487,2.4,7.7538,-4.8615,-0.09538,0.388,,-0.01576,-2.35,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,2.7487,2.4,,7.7538,,,,-4.8615,-0.09538,-3.1750734990944713,0.388,,-0.01576,,,,,-2.35,,2.0,0.4014,29.0,0.0,0.41333
Pc047806c80,,-2.381724372373635,,359.0,0.0,1.0857933875419303,,2.6272,2.095,8.6586,-6.2528,-0.08523,-2.199,-1.4851,-0.05053,0.0,-1.0295,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,2.6272,2.095,,8.6586,,,,-6.2528,-0.08523,-2.381724372373635,-2.199,-1.4851,-0.05053,,,,,0.0,-1.0295,3.0,-1.1422,34.0,0.0,0.39752
Pf804162018,,0.5733822272357834,,96.0,0.0,-1.4369875373836194,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.5733822272357834,,,,,,,,,,,,,0.0,
P572a4194e6,,1.5377936620117203,,52.0,1.0,-0.9980606014915052,,0.9845,0.667,2.0207,-5.1022,-0.03601,-0.4159,0.3551,-0.03136,-1.35,-1.5208,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,0.9845,0.667,,2.0207,,,,-5.1022,-0.03601,1.5377936620117203,-0.4159,0.3551,-0.03136,,,,,-1.35,-1.5208,2.0,-2.1864,29.0,0.0,0.5
Pcb4360a784,,1.8791460633858288,,71.0,0.0,-1.9727677705397275,,0.5285,0.583,1.4634,-0.5645,-0.00943,-1.2317,,-0.01031,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,0.5285,0.583,,1.4634,,,,-0.5645,-0.00943,1.8791460633858288,-1.2317,,-0.01031,,,,,,,3.0,1.5548,27.0,0.0,0.57353
P5afd5b991d,,-1.7876171101889846,0.45,359.0,0.0,0.543691008144483,,1.118,0.895,8.1056,-2.6878,-0.04074,-1.1758,-0.3237,0.00068,0.0,-0.2301,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,1.118,0.895,,8.1056,,,,-2.6878,-0.04074,-1.7876171101889846,-1.1758,-0.3237,0.00068,,0.45,,,0.0,-0.2301,3.0,-1.3679,38.0,0.0,0.43103
Pff47b96114,,,,425.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
P2f15d5867f,,,0.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.9,,,,,,,,,
P8a3b7b6860,,1.342672048099918,,275.0,0.0,-0.0680852392927817,,1.7428,0.952,2.4655,0.7749,0.03327,-1.8473,-0.832,-0.0239,0.0,-1.2308,,,,,,,,,,,,,,,,3.0,,,0.0,,,1.7428,0.952,,2.4655,,,,0.7749,0.03327,1.342672048099918,-1.8473,-0.832,-0.0239,,,,,0.0,-1.2308,3.0,-1.5008,35.0,,0.54359
P9f246cdbe1,,-0.5993169553252762,,451.0,0.0,1.7471152970364,,1.968,0.889,4.1328,-8.6015,-0.11365,-1.0199,-1.2983,-0.01217,0.0,0.135,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,1.968,0.889,,4.1328,,,,-8.6015,-0.11365,-0.5993169553252762,-1.0199,-1.2983,-0.01217,,,,,0.0,0.135,3.0,0.0427,31.0,0.0,0.48148
Pf4d4553b6f,,-0.3712575692908795,,217.0,0.0,-1.9759910442509283,,1.2685,1.154,2.6216,-2.5245,-0.0513,0.0916,,-0.01585,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,1.2685,1.154,,2.6216,,,,-2.5245,-0.0513,-0.3712575692908795,0.0916,,-0.01585,,,,,,,3.0,-2.3158,27.0,0.0,0.43
Pc295aab61a,,-0.2878060146720352,,,0.0,1.6066002396827588,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,-0.2878060146720352,,,,,,,,,,5.0,,,,
P81f3558def,,-0.366052529005585,,-215.0,0.0,1.32547417945985,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.366052529005585,,,,,,,,,,,,,0.0,
P959d20dcac,,0.4648686349820105,,501.0,0.0,-1.1407918212215291,,1.6972,1.467,5.6316,-4.7506,-0.06651,0.5462,0.4384,-0.00707,0.0,-0.6455,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,1.6972,1.467,,5.6316,,,,-4.7506,-0.06651,0.4648686349820105,0.5462,0.4384,-0.00707,,,,,0.0,-0.6455,4.0,-1.6297,30.0,0.0,0.43609
P9cbbbfe0cc,,,,,0.0,,,2.3402,1.714,5.8505,-1.8626,-0.04448,-2.0529,-0.4532,-0.00871,-1.3,-0.2094,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.0,1.0,,2.3402,1.714,,5.8505,,,,-1.8626,-0.04448,,-2.0529,-0.4532,-0.00871,,,,,-1.3,-0.2094,3.0,-0.3512,30.0,1.0,0.45946
Pa4dad52ff4,,-1.4163987900622033,,114.0,0.0,-1.1679344276915749,,2.0774,2.133,5.4175,-2.705,-0.05107,0.0594,-0.9276,-0.05108,-0.15,-0.8562,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,2.0774,2.133,,5.4175,,,,-2.705,-0.05107,-1.4163987900622033,0.0594,-0.9276,-0.05108,,,,,-0.15,-0.8562,3.0,-1.0958,29.0,0.0,0.48872
P311b5f6b41,,-0.4171261632321014,,-550.0,0.0,-0.6076367885142925,,2.2677,1.65,4.9071,-4.965,-0.06047,-1.0933,-2.1895,-0.04974,0.0,-0.4593,,,,,,,,,,,,,,,,3.0,,,0.0,,,2.2677,1.65,,4.9071,,,,-4.965,-0.06047,-0.4171261632321014,-1.0933,-2.1895,-0.04974,,,,,0.0,-0.4593,3.0,-3.9713,34.0,,0.38739
P6f59c256f3,,-2.196957739544622,,,0.0,1.3035152345732128,,1.9858,1.632,4.4444,-0.6253,-0.06381,-0.6028,-0.0467,-0.05869,0.0,-0.2312,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,1.9858,1.632,,4.4444,,,,-0.6253,-0.06381,-2.196957739544622,-0.6028,-0.0467,-0.05869,,,,,0.0,-0.2312,4.0,-2.7936,38.0,0.0,0.41451
P5ea12f1777,,,0.15,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.15,,,,,,,,,
P17786d3599,,1.4828876378478415,,227.0,0.0,,,1.0811,1.176,0.9514,-4.0518,-0.06949,0.073,0.0847,-0.0419,0.0,-0.2513,,,,,,,,,,,,,,,,4.0,,,0.0,,,1.0811,1.176,,0.9514,,,,-4.0518,-0.06949,1.4828876378478415,0.073,0.0847,-0.0419,,,,,0.0,-0.2513,4.0,-1.7367,29.0,,0.48193
Pd11ab06c36,,,0.5,183.0,0.0,,,0.7827,0.438,2.1009,1.0579,0.00327,-1.4387,,-0.0106,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,0.7827,0.438,,2.1009,,,,1.0579,0.00327,,-1.4387,,-0.0106,,0.5,,,,,2.0,-0.5327,31.0,0.0,0.38793
P3e3a854ff5,,,0.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.4,,,,,,,,0.0,
P8c537f5a4d,,1.3763135868419134,,249.0,1.0,-1.6916573531846546,,0.7538,0.5,1.7085,-0.9459,0.00867,-0.4452,,0.01108,-1.8,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,0.7538,0.5,,1.7085,,,,-0.9459,0.00867,1.3763135868419134,-0.4452,,0.01108,,,,,-1.8,,4.0,-1.4229,23.0,0.0,0.57759
P13a7a5112c,,,,100.0,0.0,,,1.0821,0.933,2.7985,-4.8583,-0.09429,0.6451,0.4939,-0.02775,0.0,0.2695,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,1.0821,0.933,,2.7985,,,,-4.8583,-0.09429,,0.6451,0.4939,-0.02775,,,,,0.0,0.2695,4.0,-0.1164,34.0,0.0,0.43077
Pdb057d444b,,,,264.0,0.0,,,2.1735,1.824,4.5758,-6.0709,-0.07692,0.096,1.4016,-0.00828,-1.3,0.3701,,,,,,,,,,,,,,,,4.0,,,0.0,,,2.1735,1.824,,4.5758,,,,-6.0709,-0.07692,,0.096,1.4016,-0.00828,,,,,-1.3,0.3701,4.0,-0.3461,30.0,,0.43902
P690d8b352a,,,,300.0,0.0,,,0.9756,0.8,0.8426,-2.1043,-0.0507,-0.0476,,0.04537,-1.1,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,0.9756,0.8,,0.8426,,,,-2.1043,-0.0507,,-0.0476,,0.04537,,,,,-1.1,,2.0,0.7894,27.0,0.0,0.59375
P19de9513b3,,,,202.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,
