pid,season,ridge_rank,neg,pos,missing
Peecc71d248,2019,2,"{""col_gl_top50_ts"": -0.08, ""cons_src2_n"": -0.075, ""bio_combine_vertical_max_in"": -0.07, ""col_mid_fg_pct"": -0.07, ""col_team_strength"": -0.053, ""x_ft_vol"": -0.047}","{""shr_col_impact"": 0.302, ""col_impact"": 0.183, ""col_impact_def"": 0.116, ""pre_green_room_invite"": 0.093, ""bio_country_usa"": 0.09, ""shr_col_ortg"": 0.088}",50
P2f4b26e6e1,2019,39,"{""col_dunks_per40"": -0.057, ""col_ast_pct_age"": -0.055, ""x_ft_vol"": -0.054, ""x_proj_vol"": -0.052, ""col_fg3a_per40"": -0.051, ""col_fg3ar"": -0.046}","{""col_blk_pct_age"": 0.051, ""col_ftar"": 0.047, ""bio_pos_src"": 0.039, ""col_gl_worst5_game_score"": 0.039, ""col_reb36"": 0.035, ""col_orb_pct"": 0.034}",49
P4832cf3ea3,2019,6,"{""col_hm_fg_2pt_j"": -0.089, ""cons_src2_n"": -0.075, ""col_usg_pct_age"": -0.062, ""shr_col_tov_pct"": -0.051, ""col_ftar"": -0.045, ""shr_col_ortg"": -0.038}","{""shr_col_impact"": 0.149, ""col_impact_def"": 0.124, ""col_mid_fg_pct"": 0.113, ""pre_green_room_invite"": 0.093, ""col_impact"": 0.087, ""col_stl_pg"": 0.073}",67
P18facb688d,2019,41,"{""hs_recruit_rank_delta"": -0.141, ""cons_mock_best_rank"": -0.116, ""cons_mock_consensus_rank"": -0.108, ""col_hm_fg_2pt_j"": -0.059, ""hs_recruit_rank_final"": -0.051, ""col_usg_pct_age"": -0.05}","{""col_mid_fg_pct"": 0.086, ""shr_col_impact"": 0.052, ""col_sc_unassisted_rim"": 0.049, ""col_minutes_total"": 0.041, ""shr_col_pts36"": 0.039, ""bio_pos_src"": 0.039}",43
P5be180758a,2020,17,"{""col_ftar"": -0.075, ""cons_src2_n"": -0.075, ""bio_pos_src"": -0.055, ""shr_col_fg3_pct"": -0.038, ""col_n_seasons"": -0.034, ""col_class_index"": -0.033}","{""pre_withdrew_previous_draft"": 0.068, ""col_minutes_total"": 0.062, ""x_proj_vol"": 0.049, ""x_ft_vol"": 0.047, ""col_ast_pct_age"": 0.045, ""col_fg3a_per40"": 0.042}",66
P63236d3a70,2020,49,"{""intl_impact"": -0.076, ""adj_intl_reb36"": -0.071, ""cons_mock_consensus_rank"": -0.064, ""col_blk_pct_age"": -0.062, ""col_gl_late_minus_early_pts40"": -0.045, ""intl_season_gap"": -0.043}","{""intl_ft_pct"": 0.089, ""intl_fg3ar"": 0.078, ""feat_coverage"": 0.053, ""col_hm_assisted_rim"": 0.053, ""intl_pts36"": 0.05, ""col_gl_late_minus_early_mpg"": 0.048}",15
Pa7dbf13041,2020,52,"{""shr_col_impact"": -0.109, ""col_gl_late_minus_early_mpg"": -0.1, ""col_impact"": -0.08, ""cons_src2_n"": -0.075, ""shr_col_tov_pct"": -0.068, ""shr_col_ortg"": -0.067}","{""hs_jordan_brand"": 0.094, ""cons_mock_n_sources"": 0.069, ""cons_mock_best_rank"": 0.065, ""col_n_seasons"": 0.056, ""col_class_index"": 0.054, ""bio_pos_src"": 0.039}",59
Pf46613d969,2020,36,"{""col_blk_pct_age"": -0.092, ""cons_mock_consensus_rank"": -0.089, ""cons_mock_best_rank"": -0.083, ""adj_intl_reb36"": -0.052, ""col_impact_def"": -0.051, ""hs_recruit_rank_points"": -0.049}","{""col_minutes_total"": 0.084, ""pre_withdrew_previous_draft"": 0.068, ""intl_fg3ar"": 0.066, ""x_ft_vol"": 0.057, ""shr_col_impact"": 0.057, ""x_proj_vol"": 0.057}",27
Pa3fa433740,2020,35,"{""intl_impact"": -0.081, ""cons_src2_n"": -0.075, ""hs_recruit_rank_points"": -0.066, ""adj_intl_reb36"": -0.066, ""shr_col_impact"": -0.064, ""col_minutes_total"": -0.051}","{""intl_fg3ar"": 0.1, ""hs_jordan_brand"": 0.094, ""col_n_seasons"": 0.056, ""col_class_index"": 0.054, ""intl_stl36"": 0.053, ""x_ft_gap"": 0.053}",33
Pb3cfb2c388,2021,5,"{""intl_pts36"": -0.106, ""cons_src2_n"": -0.075, ""intl_fg3ar"": -0.06, ""feat_coverage"": -0.059, ""intl_youth_n"": -0.036, ""col_final_is_current"": -0.022}","{""intl_impact"": 0.296, ""adj_intl_reb36"": 0.099, ""pre_green_room_invite"": 0.093, ""bio_country_usa"": 0.09, ""cons_mock_best_rank"": 0.065, ""cons_mock_n_sources"": 0.051}",131
