pid,draft_year,y_s1_war,y_s2_war,y_s3_war,y_s4_war,y_s5_war,y_early_war,war5,player_name,actual_pick,bio_age_at_draft,bio_height_in,bio_combine_wingspan_in,cons_mock_consensus_rank,cons_mock_n_sources,hs_rsci_rank,hs_recruit_rank_final,col_gp,col_mpg,col_pts36,col_ts_pct,col_usg_pct,col_ast_pct,col_stl_pct,col_blk_pct,col_fg3_pct,col_fg3a_per40,col_ft_pct,col_impact,col_ortg,col_drtg,intl_gp,intl_pts36,path,bio_pos_code,tv_bpm,tv_min_per,pick,outcome_rank,pick_rank,steal
Pb9c495a67d,2015,-0.940000544,-1.664188597,-0.483189713,0.11037343,-0.139265961,-3.116271385,-3.1162713849999997,Jahlil Okafor,3.0,19.5,83.0,,2.0,4.0,1.0,1.0,38.0,30.0789,20.69297746925585,64.14,27.6,9.4,1.5,4.5,,0.0,0.51,9.18755,116.4,94.5347,9.0,27.069767441860463,college_2008plus,5.0,9.18755,72.8,3,43.0,3.0,-40.0
P3e493925a2,2015,-2.48494603,-2.661491854,-1.737548554,-0.192586663,-0.768796621,-7.845369722,-7.845369722,Emmanuel Mudiay,7.0,19.2,77.0,,5.25,4.0,,,,,,,,,,,,,,,,,12.0,20.5063,international,1.0,,,7,44.0,7.0,-37.0
P9a02cf437c,2015,0.03127928,1.275579534,3.718874129,2.426331208,1.53664464,8.988708791,8.988708791,Tyus Jones,24.0,19.1,74.0,77.0,18.75,4.0,7.0,4.0,39.0,33.8974,12.553706183955113,57.49,19.9,27.5,2.7,0.2,0.379,3.75,0.889,8.43463,121.8,98.3377,5.0,13.418181818181818,college_2008plus,1.0,8.43463,84.2,24,12.0,24.0,12.0
Pb067831a66,2015,0.610282045,0.451296847,0.353191785,0.060024256,0.130703085,1.605498018,1.6054980179999998,Justin Anderson,21.0,21.5,78.25,83.75,25.5,4.0,48.0,49.0,26.0,27.8462,15.76239486895878,60.97,22.0,14.0,1.6,2.5,0.452,5.75,0.78,9.63299,120.5,88.5752,8.0,23.785714285714285,college_2008plus,3.0,9.63299,52.8,21,25.0,21.0,-4.0
Pf634b73f97,2015,-0.075920123,-0.034032871,0.049560381,,,-0.060392613,-0.060392613,Anthony Brown,34.0,22.6,79.25,83.0,36.333333333333336,3.0,54.0,54.0,37.0,35.6757,14.91818801032636,57.3,21.2,15.2,1.3,0.6,0.441,5.42,0.795,5.58778,114.1,100.992,5.0,11.571428571428571,college_2008plus,3.0,5.58778,87.7,34,32.0,33.0,1.0
P1b292d5147,2015,0.386356703,1.217511902,2.920790724,5.290323998,5.986880398,15.801863725,15.801863725,Montrezl Harrell,32.0,21.4,79.5,88.25,20.25,4.0,85.0,90.0,35.0,35.1143,16.08134577650701,58.81,22.6,9.2,1.6,3.7,0.243,1.2,0.597,7.31407,113.7,89.4932,,,college_2008plus,4.0,7.31407,84.8,32,4.0,31.0,27.0
P0ba0d4e186,2015,-1.19995119,1.222603424,-0.20203891,,,-0.1793866759999998,-0.17938667599999983,Andrew Harrison,44.0,20.6,77.5,81.0,48.5,2.0,5.0,5.0,39.0,25.4872,13.183040898961046,53.13,21.8,26.0,2.5,0.9,0.383,3.78,0.792,6.86545,111.6,88.0517,,,college_2008plus,1.0,6.86545,63.1,44,35.0,41.0,6.0
P16f77dc0c6,2015,0.574753587,1.760251713,5.35095193,4.504778666,2.915670723,15.106406619,15.106406619,Delon Wright,20.0,23.1,77.5,79.5,23.0,4.0,,,34.0,33.2857,15.728808467299771,61.66,24.2,32.8,3.9,3.2,0.356,2.58,0.835,14.2752,125.2,87.5652,,,college_2008plus,1.0,14.2752,83.7,20,6.0,20.0,14.0
P3cfad83e39,2015,0.035134061,-0.081684149,0.007102981,0.20352293,,0.164075823,0.164075823,RJ Hunter,28.0,21.6,78.0,82.5,25.0,4.0,,,34.0,36.9714,19.14062221068177,54.93,28.5,19.7,3.6,3.6,0.298,8.02,0.887,7.16987,111.9,95.2301,,,college_2008plus,2.0,7.16987,92.1,28,30.0,27.0,-3.0
P94d904f95a,2015,0.009066483,1.658242341,0.814566641,-0.174591029,-0.0325881586068698,2.2746962773931303,2.27469627739313,Sam Dekker,18.0,21.1,81.0,83.5,18.5,4.0,19.0,17.0,40.0,30.975,16.154963680387407,60.48,22.4,8.6,1.1,1.5,0.331,4.87,0.708,9.00458,125.8,98.6443,,,college_2008plus,3.0,9.00458,77.0,18,23.0,18.0,-5.0
