draft_year,player,pick,war5,r,colin_rank,outcome_rank,pick_rank,pid,bio_age_at_draft,cons_mock_consensus_rank,hs_rsci_rank,col_impact,col_ts_pct,col_fg3_pct,col_ast_pct,path,bio_height_in,steal,our_rank
2019,Admiral Schofield,42.0,-1.0329410967310633,0.1791666666666666,51.0,54.0,42.0,P2084d7c5fc,22.22,36.0,,5.04023,56.23,0.422,11.7,college_2008plus,77.25,-12.0,55.0
2019,Alen Smailagić,39.0,-0.1984284774700906,0.325,42.0,41.0,39.0,P76650bc6e2,18.84,55.0,,,,,,international,82.0,-2.0,36.0
2019,Bol Bol,44.0,1.89117024528998,0.8583333333333334,9.0,25.0,44.0,P273938bb97,19.61,17.0,6.0,10.5006,63.18,0.52,9.5,college_2008plus,86.5,19.0,10.0
2019,Brandon Clarke,21.0,12.301241684417588,0.9625,3.0,9.0,21.0,Peecc71d248,22.75,13.8,,16.5978,69.89,,12.1,college_2008plus,80.25,12.0,2.0
2019,Bruno Fernando,34.0,-0.5655637827370754,0.6791666666666667,20.0,46.0,34.0,P5cd98708f1,20.85,24.666666666666668,70.0,9.88224,65.28,,14.5,college_2008plus,82.25,-12.0,12.0
2019,Cam Reddish,10.0,-0.9130253729774208,0.5625,28.0,53.0,10.0,P2f61c21e93,19.8,7.5,,3.1857,49.88,0.333,10.7,college_2008plus,80.0,-43.0,23.0
2019,Cameron Johnson,11.0,17.195074563041302,0.7124999999999999,16.0,3.0,11.0,Pb14f594f0a,23.3,23.2,,11.3563,64.65,0.457,13.8,college_2008plus,80.5,8.0,17.0
2019,Carsen Edwards,33.0,-0.6420111444792238,0.4583333333333333,32.0,47.0,33.0,P14a01dedf9,21.27,32.6,,5.21873,54.09,0.355,18.3,college_2008plus,72.0,-14.0,47.0
2019,Chuma Okeke,16.0,2.276860443950375,0.8333333333333334,12.0,23.0,16.0,P7c5888ec9d,20.84,38.0,48.0,12.5748,59.8,0.388,12.6,college_2008plus,80.0,-7.0,13.0
2019,Coby White,7.0,6.866090092891116,0.9208333333333334,5.0,16.0,7.0,P43dec358d1,19.34,6.833333333333333,27.0,6.65494,55.56,0.352,24.4,college_2008plus,76.75,-9.0,8.0
2019,Cody Martin,36.0,7.395858325257781,0.3333333333333333,40.0,11.0,36.0,P1ddfe32e8c,23.73,49.0,70.0,6.17067,59.58,0.358,25.6,college_2008plus,77.5,25.0,53.0
2019,Daniel Gafford,38.0,13.091657063520174,0.5208333333333334,29.0,7.0,38.0,P2f4b26e6e1,20.72,32.666666666666664,36.0,6.45391,65.11,,6.0,college_2008plus,82.5,31.0,45.0
2019,Darius Bazley,23.0,-2.249246344936163,0.3583333333333333,38.0,59.0,23.0,Pb15c668c3a,19.02,30.0,,,,,,college_pre2008_or_unlinked,81.0,-36.0,37.0
2019,Darius Garland,5.0,15.291573250167136,0.6583333333333333,22.0,6.0,5.0,P297d12820e,19.4,5.5,15.0,2.89813,65.75,0.478,25.7,college_2008plus,74.0,-1.0,29.0
2019,De'Andre Hunter,4.0,2.41732412715006,0.875,6.0,22.0,4.0,P846172a369,21.55,5.0,,8.84269,61.78,0.438,13.0,college_2008plus,79.0,-18.0,20.0
2019,Deividas Sirvydis,37.0,-0.0410556474509969,0.4166666666666666,35.0,37.0,37.0,P027da49c30,19.03,41.0,,,,,,international,80.0,0.0,35.0
2019,Dewan Hernandez,59.0,0.050252357,0.2708333333333333,45.0,33.0,59.0,P8a97dbabe6,22.53,,,,,0.0,,college_pre2008_or_unlinked,82.25,26.0,32.0
2019,Didi Louzada,35.0,-0.8002960729114255,0.3416666666666667,39.0,50.0,35.0,P2bdd03741b,19.98,,,,,,,international,77.0,-15.0,41.0
