pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P00193b3ed9,3.25142,1.2,0.593161,-6.21,60.6,7.1,96.7,1.5
P0029c9d3a9,1.57918,0.0,2.08374,-4.68,36.1,10.1,100.9,0.1
P0035c2f0b3,2.2363,0.3,2.88687,-2.28,65.2,11.4,106.4,0.9
P004efe3965,3.00246,0.9,0.871325,-1.37,74.3,8.4,101.5,-1.8
P0057628fa2,9.24933,2.0,7.0135,-1.06,80.7,7.5,124.9,0.4
P007123cefb,9.60528,1.6,4.08579,0.62,63.8,21.4,110.3,2.1
P0074b51801,1.91091,0.5,2.53144,1.32,34.2,6.4,107.4,-1.2
P0086aec335,6.15578,2.7,4.82377,-1.33,83.9,16.7,113.9,-0.8
P00e7133fc6,18.6334,3.9,11.6699,1.96,53.1,18.2,130.5,0.2
P00fdb72e43,2.85885,1.2,4.04317,1.37,79.3,12.4,115.7,0.3
P011de6a94b,16.6374,5.4,11.7029,6.27,53.2,13.8,147.6,2.0
P01a00a5983,5.08619,2.4,2.03062,-3.57,84.6,23.4,100.2,-0.9
P01dc454b71,7.27798,0.5,4.89151,-2.42,71.6,19.8,118.3,0.7
P023bbe5ec1,11.3887,2.0,7.55506,0.36,79.7,15.9,126.0,0.0
P0252f7ff7f,5.56864,1.8,2.37553,1.18,71.7,7.0,112.3,0.4
P0267b55e6b,13.4375,4.8,6.70041,2.27,88.1,13.2,123.0,-0.7
P026aafcf31,-0.0806572,1.8,0.201526,0.24,76.0,6.4,112.2,-0.2
P02b23e4abb,3.11637,1.8,5.23298,1.35,86.9,35.8,111.2,-0.9
P02bad696ed,7.11258,5.2,2.40198,-0.74,74.9,31.1,100.9,1.5
P030ee18cdd,3.00549,0.4,2.4756,-6.28,48.5,2.8,105.4,0.0
P0326e23b0d,6.95609,0.7,2.87511,3.35,76.3,4.7,121.7,-0.4
P032d23c9d9,5.27846,1.2,4.11594,1.19,73.6,13.2,114.5,0.3
P03328260f7,7.7046,3.5,5.04464,0.99,83.9,32.6,118.3,0.2
P03938af6ae,1.50354,3.6,2.16862,-7.08,75.2,27.9,93.8,-1.0
P03a04d0174,3.48453,2.7,1.25831,-1.7,75.8,12.6,93.0,0.7
P03ad9770c3,4.23755,0.7,4.14481,1.46,78.8,7.8,111.4,1.0
P03f35a2855,8.35594,2.2,7.78474,1.96,95.2,23.0,120.9,1.8
P04282e0cbf,4.32742,1.3,2.91103,-1.0,81.5,7.3,108.6,-0.7
P04526b8576,7.51031,1.6,6.28396,0.97,87.6,13.5,116.3,0.6
P04a83dcaaf,6.60518,3.6,4.1331,5.67,84.1,29.3,119.2,-0.5
P051c4d4903,3.08122,2.2,-0.27776,-0.03,64.4,20.1,91.3,0.3
P05848850fc,1.83127,1.9,1.09989,-1.04,86.7,28.0,93.1,-1.7
P05c9e8e43e,-0.844988,0.8,0.875067,0.39,77.2,30.6,97.6,0.3
P05f9ca4653,9.18511,3.4,6.18324,-0.24,76.7,13.4,117.7,1.4
P06e60a886f,7.28297,0.8,0.366165,2.4,65.5,11.0,103.7,-1.0
P07046a9145,5.58571,1.9,5.81994,3.85,87.2,5.5,143.6,0.5
P070f8d3585,6.38718,1.4,0.564837,-2.28,59.6,6.8,107.0,-0.9
P07109e12fd,1.39105,1.1,2.54776,0.47,65.2,21.1,116.5,0.7
P072482f331,1.12871,1.3,1.09511,-4.04,42.7,3.2,98.2,0.3
P07268bf0e1,9.78461,1.9,7.36261,1.33,74.8,14.1,132.1,0.4
P0736b54145,5.08542,1.5,-0.359249,-0.74,67.8,16.9,93.3,0.4
P076dcdb147,9.51993,3.5,6.16013,-0.27,82.1,21.0,113.4,-0.6
P079058f390,-1.12415,1.8,0.266562,-0.81,80.6,8.1,103.3,0.0
P0790a32ce5,2.38665,3.1,2.80398,1.82,85.0,15.7,109.1,0.2
P07a1fb349e,2.49403,1.0,2.44411,-3.3,87.1,12.8,102.8,0.5
P07bb9cb58f,3.19348,1.5,1.34729,-1.49,87.2,13.4,102.9,0.1
P07d140dc91,6.94794,1.3,3.18828,0.24,77.4,10.8,110.4,0.0
P082336d76f,-3.45459,1.0,-2.95886,-0.22,83.4,4.4,102.2,-0.3
P0843caad4a,2.98127,1.4,3.473,1.42,80.7,15.3,112.1,1.1
P0846fd837c,4.59097,0.9,2.11266,-1.42,63.4,2.3,108.9,1.7
P086a09588e,6.488,1.1,6.35364,-2.4,64.6,10.8,121.4,-1.4
P089ae8ca96,2.46,2.3,0.707466,0.88,91.2,8.9,98.9,-0.6
P08bc96e9be,10.6037,0.7,3.5737,-1.31,71.9,5.3,112.7,1.4
P093c255389,0.0803531,1.9,0.771161,-3.43,83.8,16.6,93.4,-1.2
P093d3a11ad,6.13006,0.7,5.28784,-2.36,96.3,7.3,121.7,-0.1
P097ac7e3e1,1.85669,0.9,0.530414,-3.65,60.7,2.9,111.4,1.1
